scenario,event_index,window_start_s,window_end_s,availability_s,prn,a,z,activation,degree
clean-sealed,0,410.0,411.0,411.0,3,0.8025145175166588,0.4271049188750657,0.00043889998073213144,10
clean-sealed,0,410.0,411.0,411.0,6,1.2641470678186588,2.717918593913022,0.004320792313157913,10
clean-sealed,0,410.0,411.0,411.0,7,0.9675333224997451,1.2459972063586287,0.0009948654242205996,10
clean-sealed,0,410.0,411.0,411.0,8,1.425122731757066,3.516747125517155,0.009554356084617514,10
clean-sealed,0,410.0,411.0,411.0,10,0.7123372720184246,-0.020392266991628227,0.0002806007170718235,10
clean-sealed,0,410.0,411.0,411.0,13,0.9427826878223495,1.1231742114295364,0.0008799802587703627,10
clean-sealed,0,410.0,411.0,411.0,16,0.782260840992022,0.32659771000931276,0.0003969484061979018,10
clean-sealed,0,410.0,411.0,411.0,19,1.1222135889242986,2.013585344049677,0.0021410414265492206,10
clean-sealed,0,410.0,411.0,411.0,20,0.7428037600085846,0.130795181277736,0.0003263839255978334,10
clean-sealed,0,410.0,411.0,411.0,23,0.8979143528469749,0.9005187785088505,0.0007044516571177727,10
clean-sealed,0,410.0,411.0,411.0,30,0.8705025966920823,0.7644901864709773,0.0006149129509562648,10
clean-sealed,1,410.5,411.5,411.5,3,0.7771012809996389,0.30099381665301145,0.0003869178722703376,10
clean-sealed,1,410.5,411.5,411.5,6,0.8491506377611459,0.6585328412277988,0.0005531256510442255,10
clean-sealed,1,410.5,411.5,411.5,7,0.9100251966382182,0.9606178476821118,0.0007480539821440746,10
clean-sealed,1,410.5,411.5,411.5,8,1.4850841625400193,3.8143008086847954,0.0128230607885019,10
clean-sealed,1,410.5,411.5,411.5,10,0.7969082471250292,0.39928426179465887,0.00042686292287782187,10
clean-sealed,1,410.5,411.5,411.5,13,1.0305196961733998,1.5585619205631716,0.00135941156784844,10
clean-sealed,1,410.5,411.5,411.5,16,0.9202271044703848,1.011243978699335,0.0007868695114788427,10
clean-sealed,1,410.5,411.5,411.5,19,0.8491351482413375,0.6584559757559565,0.0005530831599281702,10
clean-sealed,1,410.5,411.5,411.5,20,0.6292645606324252,-0.43263378492841964,0.00018582140172619874,10
clean-sealed,1,410.5,411.5,411.5,23,1.0947632810421757,1.8773654422268296,0.0018688909013534912,10
clean-sealed,1,410.5,411.5,411.5,30,1.006483795719032,1.4392857356046036,0.0012067473635423483,10
clean-sealed,2,411.0,412.0,412.0,3,0.6592291641549994,-0.2839368971727856,0.00021560609395465715,10
clean-sealed,2,411.0,412.0,412.0,6,0.8012623724044541,0.42089125143698314,0.00043618244344075516,10
clean-sealed,2,411.0,412.0,412.0,7,0.6977791504698312,-0.09263575134853702,0.00026104917398322454,10
clean-sealed,2,411.0,412.0,412.0,8,1.195500726038861,2.3772667521232407,0.003077246220213099,10
clean-sealed,2,411.0,412.0,412.0,10,0.5797461889980133,-0.6783646434467621,0.00014534287894747317,10
clean-sealed,2,411.0,412.0,412.0,13,0.8547407807602478,0.6862734674453019,0.0005686756635478787,10
clean-sealed,2,411.0,412.0,412.0,16,0.7735215357193171,0.28322962425377757,0.00038010786753414535,10
clean-sealed,2,411.0,412.0,412.0,19,0.5807610964070498,-0.6733282486561499,0.00014607662229679287,10
clean-sealed,2,411.0,412.0,412.0,20,0.7062399586375656,-0.05064968463846846,0.00027223990157098743,10
clean-sealed,2,411.0,412.0,412.0,23,1.2473103666363299,2.6343678449769374,0.003975833604708863,10
clean-sealed,2,411.0,412.0,412.0,30,0.797690132976427,0.40316430621424987,0.0004285216761791167,10
clean-sealed,3,411.5,412.5,412.5,3,0.6599109531822621,-0.2805535750345992,0.000216336636148406,10
clean-sealed,3,411.5,412.5,412.5,6,0.5647404936575865,-0.7528291760426867,0.00013491453859855684,10
clean-sealed,3,411.5,412.5,412.5,7,0.7988579071247488,0.40895928966284184,0.00043101108796390246,10
clean-sealed,3,411.5,412.5,412.5,8,1.2943271741298812,2.867684896585176,0.005015370305959587,10
clean-sealed,3,411.5,412.5,412.5,10,0.7633955038995086,0.2329800217257247,0.0003614862844928152,10
clean-sealed,3,411.5,412.5,412.5,13,0.48251353844702327,-1.1608736983144856,8.971537979675934e-05,10
clean-sealed,3,411.5,412.5,412.5,16,0.6943137514904865,-0.10983250960605602,0.00025659949604665464,10
clean-sealed,3,411.5,412.5,412.5,19,0.6742358214799382,-0.20946759080760716,0.00023227122015232227,10
clean-sealed,3,411.5,412.5,412.5,20,0.899335767171822,0.9075724305338743,0.0007094346422868436,10
clean-sealed,3,411.5,412.5,412.5,23,0.736130873182814,0.09768152760999615,0.00031575650144173453,10
clean-sealed,3,411.5,412.5,412.5,30,0.6580125156103134,-0.28997441580542643,0.0002143085679761343,10
clean-sealed,4,412.0,413.0,413.0,3,0.8454221846747191,0.6400306985354425,0.0005429912415518262,10
clean-sealed,4,412.0,413.0,413.0,6,0.60881720077906,-0.534102131430129,0.00016789446378538938,10
clean-sealed,4,412.0,413.0,413.0,7,0.6567560972171217,-0.2962092890499795,0.0002129768217450122,10
clean-sealed,4,412.0,413.0,413.0,8,1.276080985391662,2.7771396812369695,0.004583194768643845,10
clean-sealed,4,412.0,413.0,413.0,10,0.9158195159466066,0.9893716820911214,0.0007698588274113601,10
clean-sealed,4,412.0,413.0,413.0,13,0.6306983958345678,-0.42551849531838193,0.00018714804148916444,10
clean-sealed,4,412.0,413.0,413.0,16,0.624671634168301,-0.45542580586709985,0.00018163481730939864,10
clean-sealed,4,412.0,413.0,413.0,19,0.8086292607608709,0.457448830789473,0.00045241592408017833,10
clean-sealed,4,412.0,413.0,413.0,20,0.4682167427418013,-1.2318203746034964,8.357142711267615e-05,10
clean-sealed,4,412.0,413.0,413.0,23,0.6073654623635378,-0.5413062642684231,0.00016668947703588058,10
clean-sealed,4,412.0,413.0,413.0,30,0.7656484526515468,0.24416009515631878,0.0003655489183075942,10
clean-sealed,5,412.5,413.5,413.5,3,0.8021159323068587,0.425126972457118,0.00043803309795944134,10
clean-sealed,5,412.5,413.5,413.5,6,0.4706825313239564,-1.21958410096972,8.460022493974027e-05,10
clean-sealed,5,412.5,413.5,413.5,7,0.81224011352053,0.4753673915039725,0.00046059186421421153,10
clean-sealed,5,412.5,413.5,413.5,8,1.1639773594051819,2.220834630253964,0.0026328020769470343,10
clean-sealed,5,412.5,413.5,413.5,10,0.7099298600215025,-0.03233885160831448,0.00027726936508999173,10
clean-sealed,5,412.5,413.5,413.5,13,0.7647711122328129,0.23980636527400376,0.0003639614545054418,10
clean-sealed,5,412.5,413.5,413.5,16,0.7305460324816733,0.06996721361131464,0.00030712832848897055,10
clean-sealed,5,412.5,413.5,413.5,19,0.3677366268241879,-1.7304447100470939,5.076007695149309e-05,10
clean-sealed,5,412.5,413.5,413.5,20,0.5778009951160663,-0.6880175085717392,0.00014394685435240763,10
clean-sealed,5,412.5,413.5,413.5,23,0.5881220884347668,-0.6367999293513089,0.00015151038629888377,10
clean-sealed,5,412.5,413.5,413.5,30,0.6279881204618667,-0.4389680146012845,0.0001846483028881606,10
clean-sealed,6,413.0,414.0,414.0,3,0.7528287948613586,0.1805435946390613,0.00034302596364968257,10
clean-sealed,6,413.0,414.0,414.0,6,0.5767308351821194,-0.693328089486277,0.00014318454832665332,10
clean-sealed,6,413.0,414.0,414.0,7,0.7723622680419813,0.27747685346988643,0.00037792829580407744,10
clean-sealed,6,413.0,414.0,414.0,8,1.488156175159161,3.8295454193891643,0.013017476801515028,10
clean-sealed,6,413.0,414.0,414.0,10,0.5244128780601567,-0.9529516614086542,0.00011044785563561837,10
clean-sealed,6,413.0,414.0,414.0,13,0.8736805535887122,0.7802605369644995,0.0006246811071135272,10
clean-sealed,6,413.0,414.0,414.0,16,0.648290531616164,-0.3382189641322887,0.00020421685182545244,10
clean-sealed,6,413.0,414.0,414.0,19,0.6618632574968109,-0.2708654249709219,0.00021844226345729085,10
clean-sealed,6,413.0,414.0,414.0,20,0.697688118865607,-0.09308748821952022,0.00026093130584135804,10
clean-sealed,6,413.0,414.0,414.0,23,0.7542211787408093,0.18745318545942577,0.0003454035185410773,10
clean-sealed,6,413.0,414.0,414.0,30,0.5132479716121559,-1.008356594086966,0.00010449555505508978,10
clean-sealed,7,413.5,414.5,414.5,3,0.7126038108104829,-0.019069590093355387,0.0002809720023679485,10
clean-sealed,7,413.5,414.5,414.5,6,0.7309215790153683,0.07183083248836035,0.0003077010560278843,10
clean-sealed,7,413.5,414.5,414.5,7,0.9801433223130551,1.3085732963584753,0.0010590412790802708,10
clean-sealed,7,413.5,414.5,414.5,8,1.711863168272711,4.93967302778871,0.038485359332231586,10
clean-sealed,7,413.5,414.5,414.5,10,0.8476086196305498,0.6508807027067716,0.000548911524366365,10
clean-sealed,7,413.5,414.5,414.5,13,0.8122506758085339,0.4754198059920392,0.00046061599541334143,10
clean-sealed,7,413.5,414.5,414.5,16,0.9349494140203896,1.0843022325491323,0.0008464583907913903,10
clean-sealed,7,413.5,414.5,414.5,19,0.6832242461348348,-0.16486327054679606,0.0002428634780466811,10
clean-sealed,7,413.5,414.5,414.5,20,0.6812620382482504,-0.17460056627456533,0.000240510686809178,10
clean-sealed,7,413.5,414.5,414.5,23,0.8368414248408564,0.5974493815187603,0.0005203670922946638,10
clean-sealed,7,413.5,414.5,414.5,30,0.7186467598594224,0.010918049014441586,0.0002895228185675974,10
clean-sealed,8,414.0,415.0,415.0,3,0.6269011229481947,-0.44436215062445505,0.00018365514876212834,10
clean-sealed,8,414.0,415.0,415.0,6,0.6985704467096507,-0.08870900864809515,0.0002620759929822128,10
clean-sealed,8,414.0,415.0,415.0,7,0.8781852310734375,0.8026146295797045,0.0006387935135645036,10
clean-sealed,8,414.0,415.0,415.0,8,1.5396296392003261,4.084978263650114,0.016742400867884602,10
clean-sealed,8,414.0,415.0,415.0,10,0.7802723716752704,0.31673009408788816,0.00039305226576736815,10
clean-sealed,8,414.0,415.0,415.0,13,0.7784188364217688,0.30753207739017335,0.0003894549419451662,10
clean-sealed,8,414.0,415.0,415.0,16,0.6342517016346736,-0.4078855066715698,0.00019047665264788978,10
clean-sealed,8,414.0,415.0,415.0,19,0.7539177048165682,0.1859472209965338,0.00034488392385725376,10
clean-sealed,8,414.0,415.0,415.0,20,0.65378413901068,-0.3109573879362127,0.0002098595213168942,10
clean-sealed,8,414.0,415.0,415.0,23,0.829102718938395,0.5590466880846472,0.0005007722568780953,10
clean-sealed,8,414.0,415.0,415.0,30,0.7126050944322947,-0.019063220225376574,0.00028097379162533387,10
clean-sealed,9,414.5,415.5,415.5,3,0.8227274792188759,0.5274100837733494,0.00048518507263180407,10
clean-sealed,9,414.5,415.5,415.5,6,0.5890500521043835,-0.6321949857378097,0.00015220958553947738,10
clean-sealed,9,414.5,415.5,415.5,7,0.8783563203561717,0.8034636461152231,0.0006393357432273593,10
clean-sealed,9,414.5,415.5,415.5,8,1.561377701350763,4.192901238637912,0.01861488021110206,10
clean-sealed,9,414.5,415.5,415.5,10,0.6915143332393742,-0.12372439311297843,0.00025306038717142485,10
clean-sealed,9,414.5,415.5,415.5,13,0.8767826431163392,0.7956544018607922,0.0006343656132014613,10
clean-sealed,9,414.5,415.5,415.5,16,0.7603829021536808,0.21803023260823112,0.00035612424585671084,10
clean-sealed,9,414.5,415.5,415.5,19,0.8246268883651385,0.5368357459020361,0.0004897776333111003,10
clean-sealed,9,414.5,415.5,415.5,20,0.6313227869609448,-0.4224200055564683,0.0001877287080503875,10
clean-sealed,9,414.5,415.5,415.5,23,0.7787620516335014,0.3092352547332871,0.00039011855897691175,10
clean-sealed,9,414.5,415.5,415.5,30,0.5041875902392229,-1.0533179936602755,9.990180262548514e-05,10
clean-sealed,10,415.0,416.0,416.0,3,1.2630678717852855,2.712563172096079,0.0042978136827574315,10
clean-sealed,10,415.0,416.0,416.0,6,1.1615941640818548,2.2090082188941227,0.0026019294080636564,10
clean-sealed,10,415.0,416.0,416.0,7,0.8516735352362933,0.6710525130598772,0.0005600902302323502,10
clean-sealed,10,415.0,416.0,416.0,8,1.4349144851950058,3.565337898987435,0.010025304571182773,10
clean-sealed,10,415.0,416.0,416.0,10,0.7822965346011572,0.3267748366176184,0.00039701869463312203,10
clean-sealed,10,415.0,416.0,416.0,13,0.7799201933934166,0.3149824382443078,0.0003923662148675518,10
clean-sealed,10,415.0,416.0,416.0,16,0.9811090067806602,1.313365426338725,0.0010641231087207105,10
clean-sealed,10,415.0,416.0,416.0,19,1.0175973576238755,1.4944358751979685,0.0012750817969901327,10
clean-sealed,10,415.0,416.0,416.0,20,0.8120780228851048,0.4745630300177972,0.00046022170125418436,10
clean-sealed,10,415.0,416.0,416.0,23,0.8898493618138327,0.8604969218705047,0.0006768336249648344,10
clean-sealed,10,415.0,416.0,416.0,30,0.8304926735039773,0.5659442236341532,0.0005042365434265563,10
clean-sealed,11,415.5,416.5,416.5,3,1.28311115481945,2.812026320518526,0.0047451367012189835,10
clean-sealed,11,415.5,416.5,416.5,6,0.9784475812219868,1.3001583202520424,0.0010501761830868277,10
clean-sealed,11,415.5,416.5,416.5,7,0.8120157284920573,0.4742538992007046,0.0004600795199759914,10
clean-sealed,11,415.5,416.5,416.5,8,1.4336716443794368,3.559170403358416,0.009964278034449117,10
clean-sealed,11,415.5,416.5,416.5,10,0.6524132706438082,-0.31776020978976804,0.000208437025928752,10
clean-sealed,11,415.5,416.5,416.5,13,0.7516790787795591,0.174838222864748,0.0003410751109755125,10
clean-sealed,11,415.5,416.5,416.5,16,0.9131929396364868,0.976337512542599,0.0007598970449052024,10
clean-sealed,11,415.5,416.5,416.5,19,0.8956596642184655,0.8893300710839458,0.000696619143876361,10
clean-sealed,11,415.5,416.5,416.5,20,0.7195002580156432,0.015153463624202631,0.00029075131096051066,10
clean-sealed,11,415.5,416.5,416.5,23,1.032358766896285,1.5676881582138555,0.0013718575673784157,10
clean-sealed,11,415.5,416.5,416.5,30,0.8730045088712596,0.7769057204926876,0.0006225902306166525,10
clean-sealed,12,416.0,417.0,417.0,3,0.6454064023889956,-0.3525312189112286,0.00020131544895299068,10
clean-sealed,12,416.0,417.0,417.0,6,0.7611697353993907,0.22193482806638856,0.0003575169871108299,10
clean-sealed,12,416.0,417.0,417.0,7,1.0288110039395195,1.550082675472583,0.0013479489871952542,10
clean-sealed,12,416.0,417.0,417.0,8,1.2596034645747165,2.6953713354097806,0.00422486737308022,10
clean-sealed,12,416.0,417.0,417.0,10,0.6019198440000302,-0.5683296988334252,0.00016224599517883728,10
clean-sealed,12,416.0,417.0,417.0,13,0.7332253847469943,0.08326327950967012,0.0003112379161445314,10
clean-sealed,12,416.0,417.0,417.0,16,0.8194764285979883,0.5112770116671954,0.0004774240567667199,10
