scenario,event_index,window_start_s,window_end_s,availability_s,prn_i,prn_j,e
clean-sealed,0,410.0,411.0,411.0,3,6,0.8439994327151034
clean-sealed,0,410.0,411.0,411.0,3,7,0.9660041952087847
clean-sealed,0,410.0,411.0,411.0,3,8,1.4264370249935499
clean-sealed,0,410.0,411.0,411.0,3,10,0.7610296023182143
clean-sealed,0,410.0,411.0,411.0,3,13,1.6972275372885346
clean-sealed,0,410.0,411.0,411.0,3,16,0.6619136963381282
clean-sealed,0,410.0,411.0,411.0,3,19,0.4721233946483334
clean-sealed,0,410.0,411.0,411.0,3,20,0.32063011360991045
clean-sealed,0,410.0,411.0,411.0,3,23,0.627831807929845
clean-sealed,0,410.0,411.0,411.0,3,30,0.9286219702005345
clean-sealed,0,410.0,411.0,411.0,6,7,0.9467766673667862
clean-sealed,0,410.0,411.0,411.0,6,8,2.757039027730449
clean-sealed,0,410.0,411.0,411.0,6,10,0.9090379770826434
clean-sealed,0,410.0,411.0,411.0,6,13,0.7108653830334506
clean-sealed,0,410.0,411.0,411.0,6,16,2.179789460407141
clean-sealed,0,410.0,411.0,411.0,6,19,1.6969469682738598
clean-sealed,0,410.0,411.0,411.0,6,20,1.5815174682705315
clean-sealed,0,410.0,411.0,411.0,6,23,2.0291641074263866
clean-sealed,0,410.0,411.0,411.0,6,30,0.3743715835760387
clean-sealed,0,410.0,411.0,411.0,7,8,1.423808438520582
clean-sealed,0,410.0,411.0,411.0,7,10,0.39051921064323863
clean-sealed,0,410.0,411.0,411.0,7,13,1.0587991197414548
clean-sealed,0,410.0,411.0,411.0,7,16,0.7799362362632853
clean-sealed,0,410.0,411.0,411.0,7,19,1.145274622853273
clean-sealed,0,410.0,411.0,411.0,7,20,0.40993964285517004
clean-sealed,0,410.0,411.0,411.0,7,23,0.9690624497907054
clean-sealed,0,410.0,411.0,411.0,7,30,1.0947696010030952
clean-sealed,0,410.0,411.0,411.0,8,10,0.6636449417186349
clean-sealed,0,410.0,411.0,411.0,8,13,1.4235836983558305
clean-sealed,0,410.0,411.0,411.0,8,16,1.9616584103634487
clean-sealed,0,410.0,411.0,411.0,8,19,1.1304807922879463
clean-sealed,0,410.0,411.0,411.0,8,20,1.046549752494459
clean-sealed,0,410.0,411.0,411.0,8,23,1.5323766590049284
clean-sealed,0,410.0,411.0,411.0,8,30,1.6825536205894145
clean-sealed,0,410.0,411.0,411.0,10,13,0.31309324472441935
clean-sealed,0,410.0,411.0,411.0,10,16,1.3096346771508816
clean-sealed,0,410.0,411.0,411.0,10,19,1.0031886550557825
clean-sealed,0,410.0,411.0,411.0,10,20,1.0998837471267293
clean-sealed,0,410.0,411.0,411.0,10,23,0.3609610958383529
clean-sealed,0,410.0,411.0,411.0,10,30,0.27639447314314425
clean-sealed,0,410.0,411.0,411.0,13,16,1.4311702669220954
clean-sealed,0,410.0,411.0,411.0,13,19,1.113946385560651
clean-sealed,0,410.0,411.0,411.0,13,20,0.7010220742964105
clean-sealed,0,410.0,411.0,411.0,13,23,0.8267662559032442
clean-sealed,0,410.0,411.0,411.0,13,30,0.5947133752947562
clean-sealed,0,410.0,411.0,411.0,16,19,0.7159663370028737
clean-sealed,0,410.0,411.0,411.0,16,20,0.7845854457207586
clean-sealed,0,410.0,411.0,411.0,16,23,0.7492810929494165
clean-sealed,0,410.0,411.0,411.0,16,30,0.37164369607017617
clean-sealed,0,410.0,411.0,411.0,19,20,0.5971224649857713
clean-sealed,0,410.0,411.0,411.0,19,23,1.1787494678564525
clean-sealed,0,410.0,411.0,411.0,19,30,1.311053710854482
clean-sealed,0,410.0,411.0,411.0,20,23,0.38966803190657884
clean-sealed,0,410.0,411.0,411.0,20,30,0.81238322318363
clean-sealed,0,410.0,411.0,411.0,23,30,1.333247676235223
clean-sealed,1,410.5,411.5,411.5,3,6,0.5064713283838398
clean-sealed,1,410.5,411.5,411.5,3,7,0.8090250137528828
clean-sealed,1,410.5,411.5,411.5,3,8,1.8881118308278015
clean-sealed,1,410.5,411.5,411.5,3,10,1.1758305347387037
clean-sealed,1,410.5,411.5,411.5,3,13,1.0942254872532846
clean-sealed,1,410.5,411.5,411.5,3,16,0.6899249003444227
clean-sealed,1,410.5,411.5,411.5,3,19,0.7451775482463949
clean-sealed,1,410.5,411.5,411.5,3,20,0.4125209247231366
clean-sealed,1,410.5,411.5,411.5,3,23,1.1034333516881962
clean-sealed,1,410.5,411.5,411.5,3,30,0.7024003361176105
clean-sealed,1,410.5,411.5,411.5,6,7,1.51845778602527
clean-sealed,1,410.5,411.5,411.5,6,8,1.2045076949261464
clean-sealed,1,410.5,411.5,411.5,6,10,0.8036214748205184
clean-sealed,1,410.5,411.5,411.5,6,13,0.6130823799342464
clean-sealed,1,410.5,411.5,411.5,6,16,0.8946798007017733
clean-sealed,1,410.5,411.5,411.5,6,19,1.33744956737408
clean-sealed,1,410.5,411.5,411.5,6,20,0.6217721384390593
clean-sealed,1,410.5,411.5,411.5,6,23,1.086093210396155
clean-sealed,1,410.5,411.5,411.5,6,30,0.7222128717874803
clean-sealed,1,410.5,411.5,411.5,7,8,1.3041828949842054
clean-sealed,1,410.5,411.5,411.5,7,10,0.5084293982066457
clean-sealed,1,410.5,411.5,411.5,7,13,1.5527279173401989
clean-sealed,1,410.5,411.5,411.5,7,16,0.5617603268582095
clean-sealed,1,410.5,411.5,411.5,7,19,1.0439289913426444
clean-sealed,1,410.5,411.5,411.5,7,20,0.30631776367713415
clean-sealed,1,410.5,411.5,411.5,7,23,0.9279645833044945
clean-sealed,1,410.5,411.5,411.5,7,30,0.8920858099719421
clean-sealed,1,410.5,411.5,411.5,8,10,1.0759071308974364
clean-sealed,1,410.5,411.5,411.5,8,13,1.3204036399764016
clean-sealed,1,410.5,411.5,411.5,8,16,1.4646962668102017
clean-sealed,1,410.5,411.5,411.5,8,19,1.5483903710212357
clean-sealed,1,410.5,411.5,411.5,8,20,1.9436029239788837
clean-sealed,1,410.5,411.5,411.5,8,23,1.5054720582698367
clean-sealed,1,410.5,411.5,411.5,8,30,1.736300313319985
clean-sealed,1,410.5,411.5,411.5,10,13,0.4468247853128545
clean-sealed,1,410.5,411.5,411.5,10,16,0.42226861056972653
clean-sealed,1,410.5,411.5,411.5,10,19,0.9923211779438587
clean-sealed,1,410.5,411.5,411.5,10,20,0.2204956990321767
clean-sealed,1,410.5,411.5,411.5,10,23,0.79019501942954
clean-sealed,1,410.5,411.5,411.5,10,30,1.2744933794584712
clean-sealed,1,410.5,411.5,411.5,13,16,1.0566313463729424
clean-sealed,1,410.5,411.5,411.5,13,19,0.9530927482362801
