left,pearson,right,scenario
Full,0.9999999999999999,Full,os1
Full,0.8370978965292986,A0,os1
Full,0.7340541815002579,A1,os1
Full,0.998767821084582,A2,os1
Full,0.18977595215233697,A3,os1
Full,0.29024945920925854,A4,os1
A0,0.8370978965292986,Full,os1
A0,0.9999999999999999,A0,os1
A0,0.675289997263087,A1,os1
A0,0.8404745625463367,A2,os1
A0,0.06053797389537408,A3,os1
A0,0.19091102177346891,A4,os1
A1,0.734054181500258,Full,os1
A1,0.675289997263087,A0,os1
A1,1.0,A1,os1
A1,0.7343693232881462,A2,os1
A1,0.1398860184221335,A3,os1
A1,0.1660184772968874,A4,os1
A2,0.9987678210845821,Full,os1
A2,0.8404745625463367,A0,os1
A2,0.7343693232881462,A1,os1
A2,1.0,A2,os1
A2,0.1450548766686624,A3,os1
A2,0.24853650345537792,A4,os1
A3,0.18977595215233697,Full,os1
A3,0.06053797389537409,A0,os1
A3,0.1398860184221335,A1,os1
A3,0.14505487666866237,A2,os1
A3,1.0,A3,os1
A3,0.6136855728469609,A4,os1
A4,0.29024945920925854,Full,os1
A4,0.19091102177346891,A0,os1
A4,0.1660184772968874,A1,os1
A4,0.24853650345537795,A2,os1
A4,0.6136855728469608,A3,os1
A4,1.0,A4,os1
Full,1.0,Full,os2
Full,0.7966689187199766,A0,os2
Full,0.4672373412319187,A1,os2
Full,0.9982613323685234,A2,os2
Full,0.13047198439968843,A3,os2
Full,0.3439099950858068,A4,os2
A0,0.7966689187199766,Full,os2
A0,0.9999999999999998,A0,os2
A0,0.5505000217617457,A1,os2
A0,0.8032148375411854,A2,os2
A0,-0.03467806681740986,A3,os2
A0,0.18327754188706627,A4,os2
A1,0.4672373412319187,Full,os2
A1,0.5505000217617457,A0,os2
A1,1.0,A1,os2
A1,0.46799954825971507,A2,os2
A1,0.06042839540292068,A3,os2
A1,0.10917725544549078,A4,os2
A2,0.9982613323685234,Full,os2
A2,0.8032148375411854,A0,os2
A2,0.4679995482597151,A1,os2
A2,1.0,A2,os2
A2,0.0761828571588629,A3,os2
A2,0.2953066340522626,A4,os2
A3,0.1304719843996884,Full,os2
A3,-0.03467806681740986,A0,os2
A3,0.06042839540292068,A1,os2
A3,0.0761828571588629,A2,os2
A3,1.0,A3,os2
A3,0.6159113524989012,A4,os2
A4,0.3439099950858068,Full,os2
A4,0.18327754188706627,A0,os2
A4,0.10917725544549077,A1,os2
A4,0.2953066340522626,A2,os2
A4,0.615911352498901,A3,os2
A4,1.0,A4,os2
Full,1.0,Full,os3
Full,0.7677915171149035,A0,os3
Full,0.4533758496236497,A1,os3
Full,0.9980825262640025,A2,os3
Full,0.21794454465668614,A3,os3
Full,0.36175021033248844,A4,os3
A0,0.7677915171149035,Full,os3
A0,1.0,A0,os3
A0,0.547000941949651,A1,os3
A0,0.7732327376668151,A2,os3
A0,0.05444198703304575,A3,os3
A0,0.19747809834209196,A4,os3
A1,0.45337584962364974,Full,os3
A1,0.5470009419496511,A0,os3
A1,1.0,A1,os3
A1,0.45039169556261965,A2,os3
A1,0.11043019937044161,A3,os3
A1,0.21478475173485945,A4,os3
A2,0.9980825262640025,Full,os3
A2,0.7732327376668151,A0,os3
A2,0.4503916955626196,A1,os3
A2,1.0,A2,os3
A2,0.1613549063576476,A3,os3
A2,0.3092586382233269,A4,os3
A3,0.21794454465668617,Full,os3
A3,0.054441987033045744,A0,os3
A3,0.11043019937044161,A1,os3
A3,0.1613549063576476,A2,os3
A3,1.0,A3,os3
A3,0.6907205424009962,A4,os3
A4,0.36175021033248844,Full,os3
A4,0.19747809834209198,A0,os3
A4,0.21478475173485942,A1,os3
A4,0.3092586382233269,A2,os3
A4,0.6907205424009962,A3,os3
A4,1.0,A4,os3
Full,1.0,Full,os4
Full,0.6709337373450371,A0,os4
Full,0.669408310016586,A1,os4
Full,0.999335801951409,A2,os4
Full,-0.15245964225149006,A3,os4
Full,0.12213648833622984,A4,os4
A0,0.6709337373450371,Full,os4
A0,1.0,A0,os4
A0,0.7840794274758124,A1,os4
A0,0.6785777073268302,A2,os4
A0,-0.3234458715787055,A3,os4
A0,-0.083075595734222,A4,os4
A1,0.6694083100165859,Full,os4
A1,0.7840794274758123,A0,os4
A1,0.9999999999999998,A1,os4
A1,0.6747441833155361,A2,os4
A1,-0.22895062250806034,A3,os4
A1,-0.07280969334202181,A4,os4
A2,0.9993358019514089,Full,os4
A2,0.6785777073268303,A0,os4
A2,0.6747441833155361,A1,os4
A2,0.9999999999999998,A2,os4
A2,-0.18499259127147177,A3,os4
A2,0.09064632185611238,A4,os4
A3,-0.15245964225149006,Full,os4
A3,-0.32344587157870547,A0,os4
A3,-0.22895062250806034,A1,os4
A3,-0.18499259127147177,A2,os4
A3,0.9999999999999999,A3,os4
A3,0.5475089267564681,A4,os4
A4,0.12213648833622985,Full,os4
A4,-0.08307559573422199,A0,os4
A4,-0.07280969334202181,A1,os4
A4,0.09064632185611236,A2,os4
A4,0.5475089267564681,A3,os4
A4,1.0,A4,os4
