first_alarm_delay_s,persistence,post_detection_rate,post_events,pr_auc,pre_events,pre_fpr,roc_auc,scenario,score,threshold
13.5,0.004285714285714286,0.004285714285714286,700,0.8010093564901077,160,0.00625,0.4810446428571429,os1,RelationOnly,8.055172651734528
116.0,0.005714285714285714,0.005714285714285714,700,0.876189699918199,160,0.0,0.6024107142857142,os1,EnergyOnly,3.5873610596999046
65.5,0.004285714285714286,0.004285714285714286,700,0.821519306956195,160,0.00625,0.5214821428571429,os1,Full,8.92725718498114
35.5,0.015714285714285715,0.015714285714285715,700,0.8718572054996319,160,0.00625,0.623455357142857,os2,RelationOnly,8.055172651734528
10.0,0.9657142857142857,0.9657142857142857,700,0.9998604011708205,160,0.0,0.9993839285714285,os2,EnergyOnly,3.5873610596999046
12.5,0.5142857142857142,0.5142857142857142,700,0.9946439835845258,160,0.0,0.9781250000000001,os2,Full,8.92725718498114
320.0,0.002857142857142857,0.002857142857142857,700,0.8242318067404631,160,0.00625,0.5227678571428571,os3,RelationOnly,8.055172651734528
35.5,0.03571428571428571,0.03571428571428571,700,0.861985301633668,160,0.04375,0.6445535714285715,os3,EnergyOnly,3.5873610596999046
13.5,0.005714285714285714,0.005714285714285714,700,0.8437192824815754,160,0.0,0.5817232142857143,os3,Full,8.92725718498114
175.0,0.005714285714285714,0.005714285714285714,700,0.7948028187733629,160,0.00625,0.44662499999999994,os4,RelationOnly,8.055172651734528
10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,EnergyOnly,3.5873610596999046
10.0,1.0,1.0,700,0.9999999999999999,160,0.0,1.0,os4,Full,8.92725718498114
