criterion,first_alarm_delay_s,persistence,post_detection_rate,post_events,pr_auc,pre_events,pre_fpr,roc_auc,scenario,score,threshold
q99,65.5,0.004285714285714286,0.004285714285714286,700,0.821519306956195,160,0.00625,0.5214821428571429,os1,Full,8.92725718498114
q995,65.5,0.002857142857142857,0.002857142857142857,700,0.821519306956195,160,0.00625,0.5214821428571429,os1,Full,9.59855959495032
FPR1,65.5,0.004285714285714286,0.004285714285714286,700,0.821519306956195,160,0.00625,0.5214821428571429,os1,Full,8.92725718498114
q99,116.0,0.005714285714285714,0.005714285714285714,700,0.876189699918199,160,0.0,0.6024107142857142,os1,A2,3.5873610596999046
q995,116.0,0.004285714285714286,0.004285714285714286,700,0.876189699918199,160,0.0,0.6024107142857142,os1,A2,3.8634110763153147
FPR1,116.0,0.005714285714285714,0.005714285714285714,700,0.876189699918199,160,0.0,0.6024107142857142,os1,A2,3.5873610596999046
q99,13.5,0.007142857142857143,0.007142857142857143,700,0.7833980479790722,160,0.03125,0.45898214285714284,os1,A3,3.55456013818232
q995,13.5,0.007142857142857143,0.007142857142857143,700,0.7833980479790722,160,0.025,0.45898214285714284,os1,A3,3.5997956112571123
FPR1,13.5,0.007142857142857143,0.007142857142857143,700,0.7833980479790722,160,0.03125,0.45898214285714284,os1,A3,3.55456013818232
q99,13.5,0.002857142857142857,0.002857142857142857,700,0.818335553415933,160,0.00625,0.5013482142857143,os1,A4,4.500612513552208
q995,13.5,0.0014285714285714286,0.0014285714285714286,700,0.818335553415933,160,0.00625,0.5013482142857143,os1,A4,5.236979456232935
FPR1,13.5,0.002857142857142857,0.002857142857142857,700,0.818335553415933,160,0.00625,0.5013482142857143,os1,A4,4.500612513552208
q99,12.5,0.5142857142857142,0.5142857142857142,700,0.9946439835845258,160,0.0,0.9781250000000001,os2,Full,8.92725718498114
q995,12.5,0.45285714285714285,0.45285714285714285,700,0.9946439835845258,160,0.0,0.9781250000000001,os2,Full,9.59855959495032
FPR1,12.5,0.5142857142857142,0.5142857142857142,700,0.9946439835845258,160,0.0,0.9781250000000001,os2,Full,8.92725718498114
q99,10.0,0.9657142857142857,0.9657142857142857,700,0.9998604011708205,160,0.0,0.9993839285714285,os2,A2,3.5873610596999046
q995,10.0,0.9571428571428572,0.9571428571428572,700,0.9998604011708205,160,0.0,0.9993839285714285,os2,A2,3.8634110763153147
FPR1,10.0,0.9657142857142857,0.9657142857142857,700,0.9998604011708205,160,0.0,0.9993839285714285,os2,A2,3.5873610596999046
q99,23.0,0.047142857142857146,0.047142857142857146,700,0.8789536827119324,160,0.01875,0.6286071428571428,os2,A3,3.55456013818232
q995,23.0,0.047142857142857146,0.047142857142857146,700,0.8789536827119324,160,0.01875,0.6286071428571428,os2,A3,3.5997956112571123
FPR1,23.0,0.047142857142857146,0.047142857142857146,700,0.8789536827119324,160,0.01875,0.6286071428571428,os2,A3,3.55456013818232
q99,106.0,0.002857142857142857,0.002857142857142857,700,0.8576974735253446,160,0.0,0.5967589285714285,os2,A4,4.500612513552208
q995,,0.0,0.0,700,0.8576974735253446,160,0.0,0.5967589285714285,os2,A4,5.236979456232935
FPR1,106.0,0.002857142857142857,0.002857142857142857,700,0.8576974735253446,160,0.0,0.5967589285714285,os2,A4,4.500612513552208
q99,13.5,0.005714285714285714,0.005714285714285714,700,0.8437192824815754,160,0.0,0.5817232142857143,os3,Full,8.92725718498114
q995,140.5,0.004285714285714286,0.004285714285714286,700,0.8437192824815754,160,0.0,0.5817232142857143,os3,Full,9.59855959495032
FPR1,13.5,0.005714285714285714,0.005714285714285714,700,0.8437192824815754,160,0.0,0.5817232142857143,os3,Full,8.92725718498114
q99,35.5,0.03571428571428571,0.03571428571428571,700,0.861985301633668,160,0.04375,0.6445535714285715,os3,A2,3.5873610596999046
q995,35.5,0.02857142857142857,0.02857142857142857,700,0.861985301633668,160,0.0375,0.6445535714285715,os3,A2,3.8634110763153147
FPR1,35.5,0.03571428571428571,0.03571428571428571,700,0.861985301633668,160,0.04375,0.6445535714285715,os3,A2,3.5873610596999046
q99,81.0,0.008571428571428572,0.008571428571428572,700,0.8310951948582807,160,0.00625,0.5304285714285715,os3,A3,3.55456013818232
