scenario,method,roc_auc,low_fpr_pauc,attack_detection_rate_q99,delay_from_onset_s,status,reason
DS3,A0,1.0,0.9999999999999951,1.0,83.1,AVAILABLE,
DS3,A1,0.9709599797365756,0.5412867274569385,0.2708333333333333,1.5999999999999943,AVAILABLE,
DS3,A2,0.5374556737588652,0.02320795339412362,0.002976190476190476,281.6,AVAILABLE,
DS3,A3,0.7954913880445795,0.004274316109422493,0.44642857142857145,1.5999999999999943,AVAILABLE,
DS3,A4,0.7848214285714286,0.005414133738601824,0.4479166666666667,1.5999999999999943,AVAILABLE,
DS3,A5,0.621637537993921,0.00044326241134751794,0.34672619047619047,1.5999999999999943,AVAILABLE,
DS3,Full,0.8267983789260385,0.004654255319148937,0.6220238095238095,1.5999999999999943,AVAILABLE,
DS7,A0,0.9746575342465753,0.8571506849315075,0.952,9.0,AVAILABLE,
DS7,A1,0.9714314880709327,0.6474946042116337,0.8670886075949367,4.5,AVAILABLE,
DS7,A2,0.42161523653969546,0.013897800851659571,0.02531645569620253,15.5,AVAILABLE,
DS7,A3,0.5725952283730968,0.0,0.18037974683544303,21.5,AVAILABLE,
DS7,A4,0.5454412879892667,0.0,0.21518987341772153,21.5,AVAILABLE,
DS7,A5,0.5250539578836844,0.03930175581870152,0.310126582278481,35.5,AVAILABLE,
DS7,Full,0.5991366738610512,0.0,0.29430379746835444,21.5,AVAILABLE,
DS4,A0,,,,,UNAVAILABLE,SOURCE_UNAVAILABLE
DS4,A1,,,,,UNAVAILABLE,SOURCE_UNAVAILABLE
DS4,A2,,,,,UNAVAILABLE,SOURCE_UNAVAILABLE
DS4,A3,,,,,UNAVAILABLE,SOURCE_UNAVAILABLE
DS4,A4,,,,,UNAVAILABLE,SOURCE_UNAVAILABLE
DS4,A5,,,,,UNAVAILABLE,SOURCE_UNAVAILABLE
DS4,Full,,,,,UNAVAILABLE,SOURCE_UNAVAILABLE
DS8,A0,,,,,UNAVAILABLE,AUTHENTICATED_OBSERVABLES_ABSENT
DS8,A1,,,,,UNAVAILABLE,AUTHENTICATED_OBSERVABLES_ABSENT
DS8,A2,,,,,UNAVAILABLE,AUTHENTICATED_OBSERVABLES_ABSENT
DS8,A3,,,,,UNAVAILABLE,AUTHENTICATED_OBSERVABLES_ABSENT
DS8,A4,,,,,UNAVAILABLE,AUTHENTICATED_OBSERVABLES_ABSENT
DS8,A5,,,,,UNAVAILABLE,AUTHENTICATED_OBSERVABLES_ABSENT
DS8,Full,,,,,UNAVAILABLE,AUTHENTICATED_OBSERVABLES_ABSENT
