scenario,method,method_total,full_total,exact_common,method_only,full_only,coverage,status
DS3,A1,907,907,880,27,27,0.9702315325248071,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS3,A2,907,907,907,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS3,A3,907,907,907,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS3,A4,907,907,907,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS3,A5,907,907,907,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS3,Full,907,907,907,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS3,A0,643,907,643,0,264,0.7089305402425579,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS7,A1,533,533,493,40,40,0.924953095684803,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS7,A2,533,533,500,33,33,0.9380863039399625,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS7,A3,533,533,533,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS7,A4,533,533,533,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS7,A5,533,533,500,33,33,0.9380863039399625,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS7,Full,533,533,533,0,0,1.0,AVAILABLE_ON_EXACT_COMMON_SUPPORT
DS7,A0,396,533,396,0,137,0.7429643527204502,AVAILABLE_ON_EXACT_COMMON_SUPPORT
