scenario,method,roc_auc,low_fpr_pauc,pr_auc,pre_onset_fpr_q99,attack_detection_rate_q99,transition_detection_rate_q99,established_detection_rate_q99,first_alarm_delay_from_onset_s,first_alarm_delay_from_pull_off_s,first_persistent_alarm_s,persistent_alarm_ratio,windows
DS3,A0,1.0,0.9999999999999951,1.0,0.3273809523809524,1.0,,1.0,83.1,7.0,210.0,0.7931570762052877,643
DS3,A1,0.9709599797365756,0.5412867274569385,0.975851662210965,0.01702127659574468,0.2708333333333333,0.5436241610738255,0.1931166347992352,1.5999999999999943,-74.5,122.5,0.16758544652701213,907
DS3,A2,0.5374556737588652,0.02320795339412362,0.7733141440940575,0.0,0.002976190476190476,0.0,0.0038240917782026767,281.6,205.5,,0.0,907
DS3,A3,0.7954913880445795,0.004274316109422493,0.8427808397079539,0.14042553191489363,0.44642857142857145,0.4966442953020134,0.4321223709369025,1.5999999999999943,-74.5,122.5,0.33737596471885334,907
DS3,A4,0.7848214285714286,0.005414133738601824,0.8399819290583611,0.15319148936170213,0.4479166666666667,0.697986577181208,0.37667304015296366,1.5999999999999943,-74.5,122.5,0.32524807056229327,907
DS3,A5,0.621637537993921,0.00044326241134751794,0.7719609737855905,0.14042553191489363,0.34672619047619047,0.959731543624161,0.17208413001912046,1.5999999999999943,-74.5,122.5,0.28004410143329656,907
DS3,Full,0.8267983789260385,0.004654255319148937,0.856045579149652,0.14893617021276595,0.6220238095238095,0.6778523489932886,0.6061185468451242,1.5999999999999943,-74.5,122.5,0.515986769570011,907
DS7,A0,0.9746575342465753,0.8571506849315075,0.9871098237945074,0.1506849315068493,0.952,0.9090909090909091,0.967391304347826,9.0,-31.0,121.0,0.6262626262626263,396
DS7,A1,0.9714314880709327,0.6474946042116337,0.9591261646975479,0.03686635944700461,0.8670886075949367,0.6623376623376623,0.9330543933054394,4.5,-35.5,115.5,0.5365853658536586,533
DS7,A2,0.42161523653969546,0.013897800851659571,0.5347815451377482,0.027649769585253458,0.02531645569620253,0.025974025974025976,0.02510460251046025,15.5,-24.5,,0.0,533
DS7,A3,0.5725952283730968,0.0,0.5780072203013042,0.2995391705069124,0.18037974683544303,0.15584415584415584,0.18828451882845187,21.5,-18.5,139.5,0.17448405253283303,533
DS7,A4,0.5454412879892667,0.0,0.5673555636127183,0.3087557603686636,0.21518987341772153,0.14285714285714285,0.2384937238493724,21.5,-18.5,140.5,0.19324577861163228,533
DS7,A5,0.5250539578836844,0.03930175581870152,0.6015021288377085,0.2857142857142857,0.310126582278481,0.025974025974025976,0.401673640167364,35.5,-4.5,162.0,0.2870544090056285,533
DS7,Full,0.5991366738610512,0.0,0.5917355205278749,0.3087557603686636,0.29430379746835444,0.24675324675324675,0.30962343096234307,21.5,-18.5,139.5,0.24765478424015008,533
