path,receiver,area,band,reconstructed_object,oid_sha256,logical_size_bytes,payload_present
all_crpa_files.npy,CRPA,ALL_RELEASED_CRPA,UNKNOWN_MIXED_WITHIN_OBJECT,all_crpa_files.npy,d869fa20d552288002e4d2a5b6c5d1300083a6348c01a956cd6a34ff232e0a3f,1398308992,false
dataset/Sample_Area1_0000000_0024999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0000000_0024999.h5,527b0c89491dd2703c3a522d08a9a60aa087cff6aa91015fe282f1aae7868d87,1992294400,false
dataset/Sample_Area1_0000000_0024999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0000000_0024999.h5,c4a23bad8a64ee05d712f8d6d34758c7906f20ab5f098f58b0130098a0de1b13,933385505,false
dataset/Sample_Area1_0025000_0049999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0025000_0049999.h5,ae823667f1bfe92abef6e32cad5bdb89a4b3d7d94f4a3812151cad98e96c6a9a,1992294400,false
dataset/Sample_Area1_0025000_0049999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0025000_0049999.h5,6271d166d48f9f62735f0fddb3605d5fbc69a3679b9e4508422e180cd7e2efc9,967859064,false
dataset/Sample_Area1_0050000_0074999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0050000_0074999.h5,f1ce34fd0877faf41b6365ac6ae410dec5aea83071e1552b721be0c6586339a8,1992294400,false
dataset/Sample_Area1_0050000_0074999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0050000_0074999.h5,170c2af972c00d748a0ff0a7109c2297f199c3dcaa2209e7ad164afd8b516830,1681646827,false
dataset/Sample_Area1_0075000_0099999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0075000_0099999.h5,0f0a94d4e1e1363212238a94a52c4c3582410b30c04b011aed32636d78f46d64,1992294400,false
dataset/Sample_Area1_0075000_0099999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0075000_0099999.h5,cefe3c2499b2fdbbab797db38721992fdd05eed21d61057b8d243da4f75c6b16,1427453708,false
dataset/Sample_Area1_0100000_0124999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0100000_0124999.h5,e82509353a7f8870bae67756af691a2eca37159fd68ce0a04d2f805c10894b9e,1992294400,false
dataset/Sample_Area1_0100000_0124999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0100000_0124999.h5,dd59e54a13437aeff96c7faeb4140fbd33701519c4081d52041a5a80e4dba5b6,1739244347,false
dataset/Sample_Area1_0125000_0149999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0125000_0149999.h5,b0ff475590f53aa102843b0b4df2ed3c6ccddcddd8daf98d64b2186f34f702f6,1992294400,false
dataset/Sample_Area1_0125000_0149999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0125000_0149999.h5,8dd2efd16a2c2eeda52d0f5353ad384bb005a36e78e7dec5c81e6735897ed391,1992294400,false
dataset/Sample_Area1_0125000_0149999.h5.part-ac,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0125000_0149999.h5,a12a119fa0f876c732b85dbd3ed64b036d9caf456935147b73b661ffb4feeb68,60310221,false
dataset/Sample_Area1_0150000_0174999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0150000_0174999.h5,ab5e706308d88f839a644f0fab3056058aecef1ffadd8c140dfa79e4fd9fe028,1992294400,false
dataset/Sample_Area1_0150000_0174999.h5.part-ab,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0150000_0174999.h5,8c736662d1de44fe53866905211796ca43590e9b806546c003c0fee1188c63b8,1792151239,false
dataset/Sample_Area1_0175000_0199999.h5.part-aa,Innosense,Area1,UNKNOWN_MIXED_WITHIN_OBJECT,dataset/Sample_Area1_0175000_0199999.h5,ef1da913f52d043b4ad87484637ec45d15b68b53d7da7cc3fb8df8641ecde1da,1992294400,false
