sample_index,area,transmit_power_dbm,class_id,class_name,binary_class,reason
0,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
1,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
2,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
3,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
4,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
5,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
6,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
7,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
8,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
9,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
10,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
11,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
12,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
13,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
14,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
15,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
16,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
17,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
18,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
19,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
20,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
21,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
22,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
23,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
24,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
25,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
26,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
27,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
28,1,47,0,CW,negative,PRIMARY_EXCLUDED_POWER_NOT_30_OR_40
