evaluation,fold,experiment,training_view,view,model,train_count,test_count,train_block_count,test_block_count,scaler_fit_sample_count,threshold,auroc,auprc,balanced_accuracy,tpr_at_5pct_fpr,tn,fp,fn,tp
primary,0,actual_oof,actual,actual,M0,366,90,89,4,366,0.5,1.0,1.0,1.0,1.0,45,0,0,45
primary,0,actual_oof,actual,actual,M1,366,90,89,4,366,0.5,1.0,1.0,1.0,1.0,45,0,0,45
primary,0,actual_oof,actual,actual,M2,366,90,89,4,366,0.5,0.9822222222222222,0.9768942351189807,0.7,0.9555555555555556,45,0,27,18
primary,0,actual_oof,actual,actual,M3,366,90,89,4,366,0.5,1.0,1.0,0.9777777777777779,1.0,45,0,2,43
primary,0,destruction_retrained,mismatched,mismatched,M2,366,90,89,4,366,0.5,0.6064197530864198,0.5485416927020316,0.5888888888888888,0.0,30,15,22,23
primary,0,destruction_cross_apply,actual,mismatched,M2,366,90,89,4,366,0.5,0.5,0.5,0.5,0.0,0,45,0,45
primary,0,destruction_retrained,mismatched,mismatched,M3,366,90,89,4,366,0.5,0.5585185185185185,0.5105334246512754,0.5666666666666667,0.0,26,19,20,25
primary,0,destruction_cross_apply,actual,mismatched,M3,366,90,89,4,366,0.5,0.5,0.5,0.5,0.0,0,45,0,45
primary,0,destruction_retrained,circular_shift,circular_shift,M2,366,90,89,4,366,0.5,0.5733333333333333,0.5409832563570779,0.5444444444444445,0.0,28,17,24,21
primary,0,destruction_cross_apply,actual,circular_shift,M2,366,90,89,4,366,0.5,0.5111111111111111,0.5057442564610329,0.5111111111111111,0.0,1,44,0,45
primary,0,destruction_retrained,circular_shift,circular_shift,M3,366,90,89,4,366,0.5,0.5545679012345679,0.5319031307145645,0.5333333333333333,0.06666666666666667,25,20,22,23
primary,0,destruction_cross_apply,actual,circular_shift,M3,366,90,89,4,366,0.5,0.5219753086419753,0.5114943529889964,0.5111111111111111,0.0,1,44,0,45
primary,0,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M2,366,90,89,4,366,0.5,0.6839506172839506,0.6432613808849282,0.6111111111111112,0.1111111111111111,29,16,19,26
primary,0,destruction_cross_apply,actual,fourier_phase_randomized,M2,366,90,89,4,366,0.5,0.5,0.5,0.5,0.0,0,45,0,45
primary,0,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M3,366,90,89,4,366,0.5,0.6320987654320988,0.6194803596387082,0.5888888888888888,0.1111111111111111,26,19,18,27
primary,0,destruction_cross_apply,actual,fourier_phase_randomized,M3,366,90,89,4,366,0.5,0.5,0.5,0.5,0.0,0,45,0,45
primary,0,stress_cross_apply,actual,channel_permutation,M2,366,90,89,4,366,0.5,0.9822222222222222,0.9768942351189807,0.7,0.9555555555555556,45,0,27,18
primary,0,stress_cross_apply,actual,channel_permutation,M3,366,90,89,4,366,0.5,0.43407407407407406,0.4351703805623927,0.5,0.0,45,0,45,0
primary,0,stress_cross_apply,actual,one_channel_ablation,M2,366,90,89,4,366,0.5,0.4743209876543209,0.48979458307627977,0.5,0.06666666666666667,45,0,45,0
primary,0,stress_cross_apply,actual,one_channel_ablation,M3,366,90,89,4,366,0.5,0.47234567901234564,0.4849313057844903,0.5,0.06666666666666667,45,0,45,0
primary,1,actual_oof,actual,actual,M0,308,128,82,4,308,0.5,1.0,1.0,1.0,1.0,64,0,0,64
primary,1,actual_oof,actual,actual,M1,308,128,82,4,308,0.5,1.0,1.0,1.0,1.0,64,0,0,64
primary,1,actual_oof,actual,actual,M2,308,128,82,4,308,0.5,0.973388671875,0.9751045591893388,0.7734375,0.828125,64,0,29,35
primary,1,actual_oof,actual,actual,M3,308,128,82,4,308,0.5,1.0,1.0,1.0,1.0,64,0,0,64
primary,1,destruction_retrained,mismatched,mismatched,M2,308,128,82,4,308,0.5,0.6171875,0.5779009199889305,0.5703125,0.015625,37,27,28,36
primary,1,destruction_cross_apply,actual,mismatched,M2,308,128,82,4,308,0.5,0.5,0.5,0.5,0.0,0,64,0,64
primary,1,destruction_retrained,mismatched,mismatched,M3,308,128,82,4,308,0.5,0.611328125,0.617453798139566,0.609375,0.140625,45,19,31,33
primary,1,destruction_cross_apply,actual,mismatched,M3,308,128,82,4,308,0.5,0.5,0.5,0.5,0.0,0,64,0,64
primary,1,destruction_retrained,circular_shift,circular_shift,M2,308,128,82,4,308,0.5,0.482666015625,0.48065761893411707,0.5,0.046875,31,33,31,33
primary,1,destruction_cross_apply,actual,circular_shift,M2,308,128,82,4,308,0.5,0.499755859375,0.5,0.5,0.0,0,64,0,64
primary,1,destruction_retrained,circular_shift,circular_shift,M3,308,128,82,4,308,0.5,0.4365234375,0.4668121087380644,0.4765625,0.046875,27,37,30,34
primary,1,destruction_cross_apply,actual,circular_shift,M3,308,128,82,4,308,0.5,0.4921875,0.49612550813008127,0.5,0.0,1,63,1,63
primary,1,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M2,308,128,82,4,308,0.5,0.547607421875,0.5788541748469804,0.5390625,0.109375,45,19,40,24
primary,1,destruction_cross_apply,actual,fourier_phase_randomized,M2,308,128,82,4,308,0.5,0.5,0.5,0.5,0.0,0,64,0,64
primary,1,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M3,308,128,82,4,308,0.5,0.51904296875,0.5397486346914199,0.484375,0.0625,36,28,38,26
primary,1,destruction_cross_apply,actual,fourier_phase_randomized,M3,308,128,82,4,308,0.5,0.5,0.5,0.5,0.0,0,64,0,64
primary,1,stress_cross_apply,actual,channel_permutation,M2,308,128,82,4,308,0.5,0.973388671875,0.9751045591893388,0.7734375,0.828125,64,0,29,35
primary,1,stress_cross_apply,actual,channel_permutation,M3,308,128,82,4,308,0.5,0.285888671875,0.3812194118299547,0.5,0.0,64,0,64,0
primary,1,stress_cross_apply,actual,one_channel_ablation,M2,308,128,82,4,308,0.5,0.505859375,0.5190139412909797,0.5,0.109375,64,0,64,0
primary,1,stress_cross_apply,actual,one_channel_ablation,M3,308,128,82,4,308,0.5,0.526123046875,0.5280566535073833,0.5,0.109375,64,0,64,0
primary,2,actual_oof,actual,actual,M0,414,42,98,4,414,0.5,1.0,1.0,1.0,1.0,21,0,0,21
primary,2,actual_oof,actual,actual,M1,414,42,98,4,414,0.5,1.0,1.0,1.0,1.0,21,0,0,21
primary,2,actual_oof,actual,actual,M2,414,42,98,4,414,0.5,1.0,1.0,1.0,1.0,21,0,0,21
primary,2,actual_oof,actual,actual,M3,414,42,98,4,414,0.5,1.0,1.0,1.0,1.0,21,0,0,21
primary,2,destruction_retrained,mismatched,mismatched,M2,414,42,98,4,414,0.5,0.5442176870748299,0.5139496747072834,0.5476190476190476,0.0,7,14,5,16
primary,2,destruction_cross_apply,actual,mismatched,M2,414,42,98,4,414,0.5,0.5,0.5,0.5,0.0,0,21,0,21
primary,2,destruction_retrained,mismatched,mismatched,M3,414,42,98,4,414,0.5,0.5600907029478458,0.5519098376045842,0.6190476190476191,0.09523809523809523,11,10,6,15
primary,2,destruction_cross_apply,actual,mismatched,M3,414,42,98,4,414,0.5,0.5,0.5,0.5,0.0,0,21,0,21
primary,2,destruction_retrained,circular_shift,circular_shift,M2,414,42,98,4,414,0.5,0.38095238095238093,0.5119464746728042,0.40476190476190477,0.09523809523809523,6,15,10,11
primary,2,destruction_cross_apply,actual,circular_shift,M2,414,42,98,4,414,0.5,0.4523809523809524,0.47680023228803714,0.5,0.0,0,21,0,21
primary,2,destruction_retrained,circular_shift,circular_shift,M3,414,42,98,4,414,0.5,0.41043083900226757,0.5097286964928995,0.45238095238095233,0.09523809523809523,7,14,9,12
primary,2,destruction_cross_apply,actual,circular_shift,M3,414,42,98,4,414,0.5,0.4523809523809524,0.47680023228803714,0.5,0.0,0,21,0,21
primary,2,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M2,414,42,98,4,414,0.5,0.7414965986394557,0.7966447030934924,0.6190476190476191,0.47619047619047616,11,10,6,15
primary,2,destruction_cross_apply,actual,fourier_phase_randomized,M2,414,42,98,4,414,0.5,0.5,0.5,0.5,0.0,0,21,0,21
primary,2,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M3,414,42,98,4,414,0.5,0.655328798185941,0.7030533440388913,0.5952380952380952,0.2857142857142857,11,10,7,14
primary,2,destruction_cross_apply,actual,fourier_phase_randomized,M3,414,42,98,4,414,0.5,0.5,0.5,0.5,0.0,0,21,0,21
primary,2,stress_cross_apply,actual,channel_permutation,M2,414,42,98,4,414,0.5,1.0,1.0,1.0,1.0,21,0,0,21
primary,2,stress_cross_apply,actual,channel_permutation,M3,414,42,98,4,414,0.5,0.5487528344671202,0.6239225390369247,0.5,0.23809523809523808,21,0,21,0
primary,2,stress_cross_apply,actual,one_channel_ablation,M2,414,42,98,4,414,0.5,0.47165532879818595,0.574056503253418,0.5,0.14285714285714285,21,0,21,0
primary,2,stress_cross_apply,actual,one_channel_ablation,M3,414,42,98,4,414,0.5,0.46825396825396826,0.5698520436918155,0.5,0.14285714285714285,21,0,21,0
sensitivity_a,0,actual_oof,actual,actual,M0,188,140,25,4,188,0.5,1.0,0.9999999999999998,1.0,1.0,70,0,0,70
sensitivity_a,0,actual_oof,actual,actual,M1,188,140,25,4,188,0.5,1.0,0.9999999999999998,1.0,1.0,70,0,0,70
sensitivity_a,0,actual_oof,actual,actual,M2,188,140,25,4,188,0.5,1.0,0.9999999999999998,1.0,1.0,70,0,0,70
sensitivity_a,0,actual_oof,actual,actual,M3,188,140,25,4,188,0.5,1.0,0.9999999999999998,1.0,1.0,70,0,0,70
sensitivity_a,0,destruction_retrained,mismatched,mismatched,M2,188,140,25,4,188,0.5,0.5353061224489797,0.5466351988390722,0.55,0.1,33,37,26,44
sensitivity_a,0,destruction_cross_apply,actual,mismatched,M2,188,140,25,4,188,0.5,0.5,0.5,0.5,0.0,0,70,0,70
sensitivity_a,0,destruction_retrained,mismatched,mismatched,M3,188,140,25,4,188,0.5,0.4912244897959184,0.4867991788798174,0.5214285714285715,0.014285714285714285,34,36,31,39
sensitivity_a,0,destruction_cross_apply,actual,mismatched,M3,188,140,25,4,188,0.5,0.5,0.5,0.5,0.0,0,70,0,70
sensitivity_a,0,destruction_retrained,circular_shift,circular_shift,M2,188,140,25,4,188,0.5,0.5277551020408163,0.5225057312776772,0.5285714285714286,0.05714285714285714,32,38,28,42
sensitivity_a,0,destruction_cross_apply,actual,circular_shift,M2,188,140,25,4,188,0.5,0.4930612244897959,0.4965060277117201,0.5,0.0,0,70,0,70
sensitivity_a,0,destruction_retrained,circular_shift,circular_shift,M3,188,140,25,4,188,0.5,0.5371428571428571,0.534926101664636,0.5071428571428571,0.05714285714285714,30,40,29,41
sensitivity_a,0,destruction_cross_apply,actual,circular_shift,M3,188,140,25,4,188,0.5,0.5,0.5000513874614594,0.5071428571428571,0.0,1,69,0,70
sensitivity_a,0,destruction_retrained,fourier_phase_randomized,fourier_phase_randomized,M2,188,140,25,4,188,0.5,0.6432653061224489,0.6516976098411388,0.5928571428571429,0.12857142857142856,40,30,27,43
sensitivity_a,0,destruction_cross_apply,actual,fourier_phase_randomized,M2,188,140,25,4,188,0.5,0.5,0.5,0.5,0.0,0,70,0,70
