evaluation,fold,block_size,sample_index,group_key,area,transmit_power_dbm,class_id,class_name,binary_class,raw_role,selected,final_role,selection_rank,selection_sha256
primary,0,32,2717,84,1,40,3,Meac,positive,train,false,balance_excluded,1422,c61eb157d704650785b4c506b604b73845b3762b2bb7a2b67e7dded6c62575e5
primary,0,32,2718,84,1,40,3,Meac,positive,train,false,balance_excluded,1691,e7cc9434d4b64a7a5815f3f8b28fecc671a5979dcc730ceadc9f38ffda3926ed
primary,0,32,2719,84,1,40,3,Meac,positive,train,false,balance_excluded,854,7a3affd74a42c4c8752755a9ff836e371fa9ef3be8893d4347e1c0266477cf81
primary,0,32,2720,85,1,40,3,Meac,positive,train,false,balance_excluded,987,8ba7edc13dc49249e23ee9541203fd1efc89dc873ca02233e15e0fdcad7dea5c
primary,0,32,2721,85,1,40,3,Meac,positive,train,false,balance_excluded,865,7c46a4afdcb272127f03df4667f0b8c2cb4a0b9d55deec5321f4331ca5ec9988
primary,0,32,2722,85,1,40,3,Meac,positive,train,false,balance_excluded,1585,da396442d0963379507514f5f330e39496414c3f8e337e37943b7a1cecb0b828
primary,0,32,2723,85,1,40,3,Meac,positive,train,false,balance_excluded,1646,e216200cb0f4449f4ba7f362fd052a2e3d080e070025d02d6007a9a35c4550d2
primary,0,32,2724,85,1,40,3,Meac,positive,train,false,balance_excluded,429,3f9dd44e4c48b26f924e91a0be947cb432c606d0b2d8f0686d96f53b5ebab664
primary,0,32,2725,85,1,40,3,Meac,positive,train,true,train,92,0befcfd4c44e8da9ffa2c0a4bb1b717f80baf80bbe616f8ea44e6550db75f97e
primary,0,32,2726,85,1,40,3,Meac,positive,train,false,balance_excluded,1824,fa28eff3cb13aa4ba4240739291265c7b9a7c144d8e436d80a344f3fc3d376e3
primary,0,32,2727,85,1,40,3,Meac,positive,train,false,balance_excluded,993,8cc362926775622172fcd99649eefcf880b5e4ab3c0fbd748bfa2d9eb576b98b
