fold,sample_index,class_name,binary_label,area,transmit_power_dbm,block_size,class_block,class_block_key,role
0,3044,Prn,0,1,40,32,95,Prn:95,test
0,3045,Prn,0,1,40,32,95,Prn:95,test
0,3046,Prn,0,1,40,32,95,Prn:95,test
0,3047,Prn,0,1,40,32,95,Prn:95,test
0,3048,Prn,0,1,40,32,95,Prn:95,test
0,3049,Prn,0,1,40,32,95,Prn:95,test
0,3050,Prn,0,1,40,32,95,Prn:95,test
0,3051,Prn,0,1,40,32,95,Prn:95,test
0,3052,Prn,0,1,40,32,95,Prn:95,test
0,3053,Prn,0,1,40,32,95,Prn:95,test
0,3054,Prn,0,1,40,32,95,Prn:95,test
0,3055,Prn,0,1,40,32,95,Prn:95,test
0,3056,Prn,0,1,40,32,95,Prn:95,test
0,3057,Prn,0,1,40,32,95,Prn:95,test
0,3058,Prn,0,1,40,32,95,Prn:95,test
0,3059,Prn,0,1,40,32,95,Prn:95,test
0,3060,Prn,0,1,40,32,95,Prn:95,test
0,3061,Prn,0,1,40,32,95,Prn:95,test
0,3062,Prn,0,1,40,32,95,Prn:95,test
0,3063,Prn,0,1,40,32,95,Prn:95,test
0,3064,Prn,0,1,40,32,95,Prn:95,test
0,3065,Prn,0,1,40,32,95,Prn:95,test
0,3066,Prn,0,1,40,32,95,Prn:95,test
0,3067,Prn,0,1,40,32,95,Prn:95,test
0,3068,Prn,0,1,40,32,95,Prn:95,test
0,3069,Prn,0,1,40,32,95,Prn:95,test
0,3070,Prn,0,1,40,32,95,Prn:95,test
0,3071,Prn,0,1,40,32,95,Prn:95,test
0,3072,Prn,0,1,40,32,96,Prn:96,guard
0,3073,Prn,0,1,40,32,96,Prn:96,guard
0,3074,Prn,0,1,40,32,96,Prn:96,guard
0,3075,Prn,0,1,40,32,96,Prn:96,guard
0,3076,Prn,0,1,40,32,96,Prn:96,guard
0,3077,Prn,0,1,40,32,96,Prn:96,guard
0,3078,Prn,0,1,40,32,96,Prn:96,guard
0,3079,Prn,0,1,40,32,96,Prn:96,guard
0,3080,Prn,0,1,40,32,96,Prn:96,guard
0,3081,Prn,0,1,40,32,96,Prn:96,guard
0,3082,Prn,0,1,40,32,96,Prn:96,guard
0,3083,Prn,0,1,40,32,96,Prn:96,guard
0,3084,Prn,0,1,40,32,96,Prn:96,guard
0,3085,Prn,0,1,40,32,96,Prn:96,guard
0,3086,Prn,0,1,40,32,96,Prn:96,guard
0,3087,Prn,0,1,40,32,96,Prn:96,guard
0,3088,Prn,0,1,40,32,96,Prn:96,guard
0,3089,Prn,0,1,40,32,96,Prn:96,guard
0,3090,Prn,0,1,40,32,96,Prn:96,guard
0,3091,Prn,0,1,40,32,96,Prn:96,guard
0,3092,Prn,0,1,40,32,96,Prn:96,guard
0,3093,Prn,0,1,40,32,96,Prn:96,guard
0,3094,Prn,0,1,40,32,96,Prn:96,guard
0,3095,Prn,0,1,40,32,96,Prn:96,guard
0,3096,Prn,0,1,40,32,96,Prn:96,guard
0,3097,Prn,0,1,40,32,96,Prn:96,guard
0,3098,Prn,0,1,40,32,96,Prn:96,guard
0,3099,Prn,0,1,40,32,96,Prn:96,guard
0,3100,Prn,0,1,40,32,96,Prn:96,guard
0,3101,Prn,0,1,40,32,96,Prn:96,guard
0,3102,Prn,0,1,40,32,96,Prn:96,guard
0,3103,Prn,0,1,40,32,96,Prn:96,guard
0,3104,Prn,0,1,40,32,97,Prn:97,train
0,3105,Prn,0,1,40,32,97,Prn:97,train
0,3106,Prn,0,1,40,32,97,Prn:97,train
0,3107,Prn,0,1,40,32,97,Prn:97,train
0,3108,Prn,0,1,40,32,97,Prn:97,train
0,3109,Prn,0,1,40,32,97,Prn:97,train
0,3110,Prn,0,1,40,32,97,Prn:97,train
0,3111,Prn,0,1,40,32,97,Prn:97,train
0,3112,Prn,0,1,40,32,97,Prn:97,train
0,3113,Prn,0,1,40,32,97,Prn:97,train
0,3114,Prn,0,1,40,32,97,Prn:97,train
0,3115,Prn,0,1,40,32,97,Prn:97,train
0,3116,Prn,0,1,40,32,97,Prn:97,train
0,3117,Prn,0,1,40,32,97,Prn:97,train
0,3118,Prn,0,1,40,32,97,Prn:97,train
0,3119,Prn,0,1,40,32,97,Prn:97,train
0,3120,Prn,0,1,40,32,97,Prn:97,train
0,3121,Prn,0,1,40,32,97,Prn:97,train
0,3122,Prn,0,1,40,32,97,Prn:97,train
0,3123,Prn,0,1,40,32,97,Prn:97,train
0,3124,Prn,0,1,40,32,97,Prn:97,train
0,3125,Prn,0,1,40,32,97,Prn:97,train
0,3126,Prn,0,1,40,32,97,Prn:97,train
0,3127,Prn,0,1,40,32,97,Prn:97,train
0,3128,Prn,0,1,40,32,97,Prn:97,train
0,3129,Prn,0,1,40,32,97,Prn:97,train
0,3130,Prn,0,1,40,32,97,Prn:97,train
0,3131,Prn,0,1,40,32,97,Prn:97,train
0,3132,Prn,0,1,40,32,97,Prn:97,train
0,3133,Prn,0,1,40,32,97,Prn:97,train
0,3134,Prn,0,1,40,32,97,Prn:97,train
0,3135,Prn,0,1,40,32,97,Prn:97,train
0,3136,Prn,0,1,40,32,98,Prn:98,train
0,3137,Prn,0,1,40,32,98,Prn:98,train
0,3138,Prn,0,1,40,32,98,Prn:98,train
0,3139,Prn,0,1,40,32,98,Prn:98,train
0,3140,Prn,0,1,40,32,98,Prn:98,train
0,3141,Prn,0,1,40,32,98,Prn:98,train
0,3142,Prn,0,1,40,32,98,Prn:98,train
0,3143,Prn,0,1,40,32,98,Prn:98,train
0,3144,Prn,0,1,40,32,98,Prn:98,train
0,3145,Prn,0,1,40,32,98,Prn:98,train
0,3146,Prn,0,1,40,32,98,Prn:98,train
0,3147,Prn,0,1,40,32,98,Prn:98,train
0,3148,Prn,0,1,40,32,98,Prn:98,train
0,3149,Prn,0,1,40,32,98,Prn:98,train
0,3150,Prn,0,1,40,32,98,Prn:98,train
0,3151,Prn,0,1,40,32,98,Prn:98,train
0,3152,Prn,0,1,40,32,98,Prn:98,train
0,3153,Prn,0,1,40,32,98,Prn:98,train
0,3154,Prn,0,1,40,32,98,Prn:98,train
0,3155,Prn,0,1,40,32,98,Prn:98,train
0,3156,Prn,0,1,40,32,98,Prn:98,train
0,3157,Prn,0,1,40,32,98,Prn:98,train
0,3158,Prn,0,1,40,32,98,Prn:98,train
0,3159,Prn,0,1,40,32,98,Prn:98,train
0,3160,Prn,0,1,40,32,98,Prn:98,train
0,3161,Prn,0,1,40,32,98,Prn:98,train
0,3162,Prn,0,1,40,32,98,Prn:98,train
0,3163,Prn,0,1,40,32,98,Prn:98,train
0,3164,Prn,0,1,40,32,98,Prn:98,train
0,3165,Prn,0,1,40,32,98,Prn:98,train
0,3166,Prn,0,1,40,32,98,Prn:98,train
0,3167,Prn,0,1,40,32,98,Prn:98,train
0,3168,Prn,0,1,40,32,99,Prn:99,guard
0,3169,Prn,0,1,40,32,99,Prn:99,guard
0,3170,Prn,0,1,40,32,99,Prn:99,guard
0,3171,Prn,0,1,40,32,99,Prn:99,guard
0,3172,Prn,0,1,40,32,99,Prn:99,guard
0,3173,Prn,0,1,40,32,99,Prn:99,guard
0,3174,Prn,0,1,40,32,99,Prn:99,guard
0,3175,Prn,0,1,40,32,99,Prn:99,guard
0,3176,Prn,0,1,40,32,99,Prn:99,guard
0,3177,Prn,0,1,40,32,99,Prn:99,guard
0,3178,Prn,0,1,40,32,99,Prn:99,guard
0,3179,Prn,0,1,40,32,99,Prn:99,guard
0,3180,Prn,0,1,40,32,99,Prn:99,guard
0,3181,Prn,0,1,40,32,99,Prn:99,guard
0,3182,Prn,0,1,40,32,99,Prn:99,guard
0,3183,Prn,0,1,40,32,99,Prn:99,guard
0,3184,Prn,0,1,40,32,99,Prn:99,guard
0,3185,Prn,0,1,40,32,99,Prn:99,guard
0,3186,Prn,0,1,40,32,99,Prn:99,guard
0,3187,Prn,0,1,40,32,99,Prn:99,guard
0,3188,Prn,0,1,40,32,99,Prn:99,guard
0,3189,Prn,0,1,40,32,99,Prn:99,guard
0,3190,Prn,0,1,40,32,99,Prn:99,guard
0,3191,Prn,0,1,40,32,99,Prn:99,guard
0,3192,Prn,0,1,40,32,99,Prn:99,guard
0,3193,Prn,0,1,40,32,99,Prn:99,guard
0,3194,Prn,0,1,40,32,99,Prn:99,guard
0,3195,Prn,0,1,40,32,99,Prn:99,guard
0,3196,Prn,0,1,40,32,99,Prn:99,guard
0,3197,Prn,0,1,40,32,99,Prn:99,guard
0,3198,Prn,0,1,40,32,99,Prn:99,guard
0,3199,Prn,0,1,40,32,99,Prn:99,guard
0,3200,Prn,0,1,40,32,100,Prn:100,test
0,3201,Prn,0,1,40,32,100,Prn:100,test
0,3202,Prn,0,1,40,32,100,Prn:100,test
0,3203,Prn,0,1,40,32,100,Prn:100,test
0,3204,Prn,0,1,40,32,100,Prn:100,test
0,3205,Prn,0,1,40,32,100,Prn:100,test
0,3206,Prn,0,1,40,32,100,Prn:100,test
0,3207,Prn,0,1,40,32,100,Prn:100,test
0,7403,Spoof,1,1,40,32,231,Spoof:231,test
0,7404,Spoof,1,1,40,32,231,Spoof:231,test
0,7405,Spoof,1,1,40,32,231,Spoof:231,test
0,7406,Spoof,1,1,40,32,231,Spoof:231,test
0,7407,Spoof,1,1,40,32,231,Spoof:231,test
0,7408,Spoof,1,1,40,32,231,Spoof:231,test
0,7409,Spoof,1,1,40,32,231,Spoof:231,test
0,7410,Spoof,1,1,40,32,231,Spoof:231,test
0,7411,Spoof,1,1,40,32,231,Spoof:231,test
0,7412,Spoof,1,1,40,32,231,Spoof:231,test
0,7413,Spoof,1,1,40,32,231,Spoof:231,test
0,7414,Spoof,1,1,40,32,231,Spoof:231,test
0,7415,Spoof,1,1,40,32,231,Spoof:231,test
0,7416,Spoof,1,1,40,32,231,Spoof:231,test
0,7417,Spoof,1,1,40,32,231,Spoof:231,test
0,7418,Spoof,1,1,40,32,231,Spoof:231,test
0,7419,Spoof,1,1,40,32,231,Spoof:231,test
0,7420,Spoof,1,1,40,32,231,Spoof:231,test
0,7421,Spoof,1,1,40,32,231,Spoof:231,test
0,7422,Spoof,1,1,40,32,231,Spoof:231,test
0,7423,Spoof,1,1,40,32,231,Spoof:231,test
0,7424,Spoof,1,1,40,32,232,Spoof:232,guard
0,7425,Spoof,1,1,40,32,232,Spoof:232,guard
0,7426,Spoof,1,1,40,32,232,Spoof:232,guard
0,7427,Spoof,1,1,40,32,232,Spoof:232,guard
0,7428,Spoof,1,1,40,32,232,Spoof:232,guard
0,7429,Spoof,1,1,40,32,232,Spoof:232,guard
0,7430,Spoof,1,1,40,32,232,Spoof:232,guard
0,7431,Spoof,1,1,40,32,232,Spoof:232,guard
0,7432,Spoof,1,1,40,32,232,Spoof:232,guard
0,7433,Spoof,1,1,40,32,232,Spoof:232,guard
0,7434,Spoof,1,1,40,32,232,Spoof:232,guard
0,7435,Spoof,1,1,40,32,232,Spoof:232,guard
0,7436,Spoof,1,1,40,32,232,Spoof:232,guard
0,7437,Spoof,1,1,40,32,232,Spoof:232,guard
0,7438,Spoof,1,1,40,32,232,Spoof:232,guard
0,7439,Spoof,1,1,40,32,232,Spoof:232,guard
0,7440,Spoof,1,1,40,32,232,Spoof:232,guard
0,7441,Spoof,1,1,40,32,232,Spoof:232,guard
0,7442,Spoof,1,1,40,32,232,Spoof:232,guard
0,7443,Spoof,1,1,40,32,232,Spoof:232,guard
0,7444,Spoof,1,1,40,32,232,Spoof:232,guard
0,7445,Spoof,1,1,40,32,232,Spoof:232,guard
0,7446,Spoof,1,1,40,32,232,Spoof:232,guard
0,7447,Spoof,1,1,40,32,232,Spoof:232,guard
0,7448,Spoof,1,1,40,32,232,Spoof:232,guard
0,7449,Spoof,1,1,40,32,232,Spoof:232,guard
0,7450,Spoof,1,1,40,32,232,Spoof:232,guard
0,7451,Spoof,1,1,40,32,232,Spoof:232,guard
0,7452,Spoof,1,1,40,32,232,Spoof:232,guard
0,7453,Spoof,1,1,40,32,232,Spoof:232,guard
0,7454,Spoof,1,1,40,32,232,Spoof:232,guard
0,7455,Spoof,1,1,40,32,232,Spoof:232,guard
0,7456,Spoof,1,1,40,32,233,Spoof:233,train
0,7457,Spoof,1,1,40,32,233,Spoof:233,train
0,7458,Spoof,1,1,40,32,233,Spoof:233,train
0,7459,Spoof,1,1,40,32,233,Spoof:233,train
0,7460,Spoof,1,1,40,32,233,Spoof:233,train
0,7461,Spoof,1,1,40,32,233,Spoof:233,train
0,7462,Spoof,1,1,40,32,233,Spoof:233,train
0,7463,Spoof,1,1,40,32,233,Spoof:233,train
0,7464,Spoof,1,1,40,32,233,Spoof:233,train
0,7465,Spoof,1,1,40,32,233,Spoof:233,train
0,7466,Spoof,1,1,40,32,233,Spoof:233,train
