dataset,scenario,model,status,roc_auc,pauc_fpr_le_0p05,pr_auc,clean_holdout_fpr,pre_onset_fpr,attack_detection_rate,transition_detection_rate,established_detection_rate,onset_delay_s,pull_off_delay_s,persistent_alarm_ratio,maximum_consecutive_alarms,valid_blocks,valid_prns,missing_native_row_rate,slow_fast_code_divergence,slow_fast_doppler_divergence,slow_fast_tap_divergence,full_score_attack_median
TEXBAT,DS3,A0,AVAILABLE,0.9722998025989236,0.9361545904327956,0.9989505344792773,0.29259259259259257,0.0,0.9232812038949543,0.6583442838370565,1.0,6.299999999999997,0.0,0.9232812038949543,3109,3518,4.0,0.0,,,,
TEXBAT,DS3,A1,AVAILABLE,0.973150708745348,0.9378426784329602,0.998982118479778,0.3530864197530864,0.0,0.9306580112127472,0.6911957950065704,1.0,0.8999999999999915,0.0,0.9306580112127472,3113,3518,4.0,0.0,,,,
TEXBAT,DS3,A2,AVAILABLE,0.36240596000283637,0.10483987181510633,0.9593759375686054,0.04691358024691358,0.09302325581395349,0.17527294187075834,0.4204993429697766,0.10426179604261795,1.0,0.0,0.17527294187075834,204,3518,4.0,0.0,,,,
TEXBAT,DS3,A3,AVAILABLE,0.44830859529576994,0.131828693378715,0.9664096797916678,0.024691358024691357,0.08527131782945736,0.19533785777515492,0.3876478318002628,0.13964992389649925,1.0,0.0,0.19533785777515492,390,3518,4.0,0.0,,,,
TEXBAT,DS3,A4,AVAILABLE,0.33113515912173674,0.07636653925948292,0.9556343039586448,0.03209876543209877,0.06976744186046512,0.16789613455296548,0.38370565045992117,0.10540334855403348,0.0,0.0,0.16789613455296548,120,3518,4.0,0.0,,,,
TEXBAT,DS3,Full,AVAILABLE,0.42739963539129106,0.12860805936214062,0.9647094635245685,0.024691358024691357,0.08527131782945736,0.19887872528769548,0.41392904073587383,0.13660578386605784,1.0,0.0,0.19887872528769548,391,3518,4.0,0.0,0.001444716558165349,0.45220947265625,0.012637215209929864,6.151838805350669
TEXBAT,DS3,A5,AVAILABLE,0.5,0.025000000000000005,0.9633314383172257,0.0,0.0,0.0,0.0,0.0,,,0.0,0,3518,4.0,0.0,,,,
TEXBAT,DS7,A0,AVAILABLE,0.9903175591531755,0.9585927770859278,0.9997595421515502,0.29259259259259257,0.0,0.9682440846824408,0.88,0.9975124378109452,2.5,0.0,0.9682440846824408,1180,1646,8.0,0.0,,,,
TEXBAT,DS7,A1,AVAILABLE,0.9918119551681195,0.9791407222914073,0.9997977065653264,0.3530864197530864,0.0,0.9738480697384807,0.9025,0.9975124378109452,2.200000000000003,0.0,0.9738480697384807,1180,1646,8.0,0.0,,,,
TEXBAT,DS7,A2,AVAILABLE,0.988620797011208,0.9402241594022417,0.9997155602138552,0.04691358024691358,0.0,0.8854296388542964,0.665,0.9585406301824212,5.299999999999997,0.0,0.8854296388542964,694,1646,8.0,0.0,,,,
TEXBAT,DS7,A3,AVAILABLE,0.5139321295143213,0.13854296388542964,0.9795547826483479,0.024691358024691357,0.0,0.06351183063511831,0.0375,0.07213930348258707,3.9000000000000057,5.400000000000006,0.06351183063511831,34,1646,8.0,0.0,,,,
TEXBAT,DS7,A4,AVAILABLE,0.9797789539227895,0.912826899128269,0.99948586742932,0.03209876543209877,0.0,0.7889165628891657,0.4575,0.8988391376451078,7.0,0.6999999999999886,0.7889165628891657,367,1646,8.0,0.0,,,,
TEXBAT,DS7,Full,AVAILABLE,0.67920298879203,0.224159402241594,0.9880452257437349,0.024691358024691357,0.0,0.1095890410958904,0.05,0.12935323383084577,3.9000000000000057,4.900000000000006,0.1095890410958904,44,1646,8.0,0.0,0.0008330182758334772,0.5745849609375,0.01263058742859064,7.9479288300684345
TEXBAT,DS7,A5,AVAILABLE,0.5,0.025000000000000005,0.9756986634264885,0.0,0.0,0.0,0.0,0.0,,,0.0,0,1646,8.0,0.0,,,,
OAKBAT,OS3,A0,AVAILABLE,0.9996547619047618,0.9991666666666666,0.9999868789938137,0.009888751545117428,0.0,0.9986111111111111,0.975,1.0,0.5,,0.9986111111111111,3595,3740,9.0,0.0,,,,
OAKBAT,OS3,A1,AVAILABLE,0.9997301587301587,0.9990873015873015,0.9999896509470944,0.012360939431396786,0.0,0.9986111111111111,0.975,1.0,0.5,,0.9986111111111111,3595,3740,9.0,0.0,,,,
OAKBAT,OS3,A2,AVAILABLE,0.9867619047619048,0.8289285714285716,0.9994426744456448,0.003708281829419036,0.0,0.4688888888888889,0.835,0.44735294117647056,0.5,,0.4688888888888889,66,3740,9.0,0.0,,,,
OAKBAT,OS3,A3,AVAILABLE,0.740781746031746,0.1521825396825397,0.985397751287114,0.006180469715698393,0.0,0.03194444444444444,0.075,0.029411764705882353,0.5999999999999943,,0.03194444444444444,6,3740,9.0,0.0,,,,
OAKBAT,OS3,A4,AVAILABLE,0.9795714285714285,0.784047619047619,0.9991296866798002,0.014833127317676144,0.0,0.6913888888888889,0.86,0.6814705882352942,0.5,,0.6913888888888889,88,3740,9.0,0.0,,,,
OAKBAT,OS3,Full,AVAILABLE,0.8100654761904762,0.2203968253968254,0.9897903719342972,0.007416563658838072,0.0,0.05277777777777778,0.125,0.04852941176470588,0.5,,0.05277777777777778,6,3740,9.0,0.0,0.001436606165043583,0.77392578125,0.03001263598659773,20.751958724192267
OAKBAT,OS3,A5,AVAILABLE,0.5,0.025000000000000005,0.9625668449197861,0.0,0.0,0.0,0.0,0.0,,,0.0,0,3740,9.0,0.0,,,,
OAKBAT,OS4,A0,AVAILABLE,1.0,1.0,1.0,0.009888751545117428,0.0,0.9997222222222222,0.995,1.0,0.09999999999999432,,0.9997222222222222,3599,3740,10.0,0.0,,,,
OAKBAT,OS4,A1,AVAILABLE,1.0,1.0,1.0,0.012360939431396786,0.0,0.9997222222222222,0.995,1.0,0.09999999999999432,,0.9997222222222222,3599,3740,10.0,0.0,,,,
OAKBAT,OS4,A2,AVAILABLE,1.0,1.0,1.0,0.003708281829419036,0.0,0.9997222222222222,0.995,1.0,0.09999999999999432,,0.9997222222222222,3599,3740,10.0,0.0,,,,
OAKBAT,OS4,A3,AVAILABLE,1.0,1.0,1.0,0.006180469715698393,0.0,0.9994444444444445,0.99,1.0,0.20000000000000284,,0.9994444444444445,3598,3740,10.0,0.0,,,,
OAKBAT,OS4,A4,AVAILABLE,1.0,1.0,1.0,0.014833127317676144,0.0,0.9997222222222222,0.995,1.0,0.09999999999999432,,0.9997222222222222,3599,3740,10.0,0.0,,,,
OAKBAT,OS4,Full,AVAILABLE,1.0,1.0,1.0,0.007416563658838072,0.04285714285714286,0.9997222222222222,0.995,1.0,0.09999999999999432,,0.9997222222222222,3599,3740,10.0,0.0,0.01580961847978596,0.796875,0.15028209426245281,18431792.710693806
OAKBAT,OS4,A5,AVAILABLE,0.5,0.025000000000000005,0.9625668449197861,0.0,0.0,0.0,0.0,0.0,,,0.0,0,3740,10.0,0.0,,,,
B0,all,B0 exact,UNAVAILABLE,,,,,,,,,,,,,,,,,,,
