case_id,dataset,mode,status,attempts,reason
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.05,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.06,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.07,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.08,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.09,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.10,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.11,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.12,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.13,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.14,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.15,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.16,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.17,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.18,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.19,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.20,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.21,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.22,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.23,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.24,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.25,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.26,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.27,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.28,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.29,OAKBAT.cleanStatic,single_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.30,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.31,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.32,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.33,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.34,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
OAKBAT.cleanStatic.r1.35,OAKBAT.cleanStatic,simultaneous_four_prn,PENDING_PREREGISTRATION_PUSH,0,
