dataset,prn,validated_bits,valid_subframes,valid_words,parity_failures,first_tow_s,last_tow_s,raw_start_sample,raw_end_sample_exclusive,duration_s,sequence_sha256,median_prompt_confidence,status
OAKBAT.cleanStatic,10,21600,72,720,0,381648,382074,210202273,2370200740,431.9996934,dda5b751f9d1afdf553b0beb0aeea19b5bbe237eebcbd5bc1474685469ada709,1.0,PASS
OAKBAT.cleanStatic,11,21300,71,710,0,381654,382074,240268477,2370265638,425.9994322,4cd7b4c6cd8b5abda80308116e00187a95b8702c0df2a733ed7b34a1e7344128,1.0,PASS
OAKBAT.cleanStatic,21,21600,72,720,0,381648,382074,210232455,2370236383,432.0007856,69f3e9f77bb4c66933e9f7df514bf13f7b22ad88641eae07431ff343b047f2b9,1.0,PASS
OAKBAT.cleanStatic,24,21300,71,710,0,381654,382074,240218076,2370221178,426.0006204,ad10ec21c882f0785a48084b4251ca59bf60d96f6ca43f043d3210118a0146f9,1.0,PASS
OAKBAT.cleanStatic,27,21300,71,710,0,381654,382074,240275419,2370278400,426.0005962,4fade08ddd861bfe8164018a3c40658c33d73dbcd111e4f4a0d32266670ac340,1.0,PASS
TEXBAT.cleanStatic,3,21600,72,720,0,477930,478356,1117538686,11917534534,431.99983392,13e045363ae6ede42812e1f86684ca9a3cc6b4b0e0bd3e24fac0d50d8c214cf7,1.0,PASS
TEXBAT.cleanStatic,13,21600,72,720,0,477930,478356,1117517038,11917505201,431.99952652,303cf3d14a10e7e0f658c0f369a428f58d81c62106d32ab1cf942dc84fcee964,1.0,PASS
TEXBAT.cleanStatic,16,21600,72,720,0,477930,478356,1117632068,11917651605,432.00078148,1195750a8d6820d9add649cda807a0da94255b9d6a17da0935819da9e1a61a9e,1.0,PASS
TEXBAT.cleanStatic,19,21600,72,720,0,477930,478356,1117638023,11917620730,431.99930828,3959d0c628eb33ce35eb5c665f82477e718cedeb8864e2b6c6282d1b57f7b7ae,1.0,PASS
TEXBAT.cleanStatic,30,21600,72,720,0,477930,478356,1117815937,11917838699,432.00091048,ac2f6cf17902175a89510097978e54197f7d0287127cabd15ff6454d349009dd,1.0,PASS
