case_id,dataset,ablation,score
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E0_total_energy,1071209308209904.6
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E1_magnitude_distortion,0.20109682718975425
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2422766315212278
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.6951612677893404
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.983818950306752
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E5_500ms_complex_minor,0.7763007101455611
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E6_magnitude_minor,0.20109682718975425
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,E7_single_prn_node,4.521405857923669
OAKBAT.cleanStatic.r1.00,OAKBAT.cleanStatic,Full,3.3701133114266404
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E0_total_energy,1152617600938115.0
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E1_magnitude_distortion,0.19327968585316402
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.22012244747382292
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.7711656307576247
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.5328679530957243
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.1327995514534424
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E6_magnitude_minor,0.19327968585316402
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,E7_single_prn_node,4.174832267643696
OAKBAT.cleanStatic.r1.01,OAKBAT.cleanStatic,Full,1.9786375567889787
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E0_total_energy,1104553867439999.0
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E1_magnitude_distortion,0.2287444482500624
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.3134184237842236
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.429331412454924
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.9317193866959665
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.2578447846360885
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E6_magnitude_minor,0.2287444482500624
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,E7_single_prn_node,4.72413841197774
OAKBAT.cleanStatic.r1.02,OAKBAT.cleanStatic,Full,3.5553002055750893
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E0_total_energy,1190483807254096.8
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E1_magnitude_distortion,0.1684434372723379
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.24938067222474497
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E3_20ms_complex_minor,2.244467412123395
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.5328679530957243
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.4842256960417033
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E6_magnitude_minor,0.1684434372723379
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,E7_single_prn_node,3.2614068731240304
OAKBAT.cleanStatic.r1.03,OAKBAT.cleanStatic,Full,2.9434124897640324
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E0_total_energy,1096065584965460.5
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E1_magnitude_distortion,0.175592468109197
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.23641534101329398
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E3_20ms_complex_minor,1.4112527981552507
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E4_100ms_complex_minor,1.3354778490916503
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E5_500ms_complex_minor,1.274420888294539
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E6_magnitude_minor,0.175592468109197
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,E7_single_prn_node,3.8464424994491573
OAKBAT.cleanStatic.r1.04,OAKBAT.cleanStatic,Full,2.3303925405867245
OAKBAT.cleanStatic.r1.05,OAKBAT.cleanStatic,E0_total_energy,1164392015175613.2
OAKBAT.cleanStatic.r1.05,OAKBAT.cleanStatic,E1_magnitude_distortion,0.1658112685595129
OAKBAT.cleanStatic.r1.05,OAKBAT.cleanStatic,E2_complex_svd_second_energy,0.2527838833751258
