dataset,prn,subframe_start_bit,tow_s,subframe_id,preamble_valid,all_ten_words_parity_valid
OAKBAT.cleanStatic,10,24,381648,3,True,True
OAKBAT.cleanStatic,10,324,381654,4,True,True
OAKBAT.cleanStatic,10,624,381660,5,True,True
OAKBAT.cleanStatic,10,924,381666,1,True,True
OAKBAT.cleanStatic,10,1224,381672,2,True,True
OAKBAT.cleanStatic,10,1524,381678,3,True,True
OAKBAT.cleanStatic,10,1824,381684,4,True,True
OAKBAT.cleanStatic,10,2124,381690,5,True,True
OAKBAT.cleanStatic,10,2424,381696,1,True,True
OAKBAT.cleanStatic,10,2724,381702,2,True,True
OAKBAT.cleanStatic,10,3024,381708,3,True,True
OAKBAT.cleanStatic,10,3324,381714,4,True,True
OAKBAT.cleanStatic,10,3624,381720,5,True,True
OAKBAT.cleanStatic,10,3924,381726,1,True,True
OAKBAT.cleanStatic,10,4224,381732,2,True,True
OAKBAT.cleanStatic,10,4524,381738,3,True,True
OAKBAT.cleanStatic,10,4824,381744,4,True,True
OAKBAT.cleanStatic,10,5124,381750,5,True,True
OAKBAT.cleanStatic,10,5424,381756,1,True,True
OAKBAT.cleanStatic,10,5724,381762,2,True,True
OAKBAT.cleanStatic,10,6024,381768,3,True,True
OAKBAT.cleanStatic,10,6324,381774,4,True,True
OAKBAT.cleanStatic,10,6624,381780,5,True,True
OAKBAT.cleanStatic,10,6924,381786,1,True,True
OAKBAT.cleanStatic,10,7224,381792,2,True,True
OAKBAT.cleanStatic,10,7524,381798,3,True,True
OAKBAT.cleanStatic,10,7824,381804,4,True,True
OAKBAT.cleanStatic,10,8124,381810,5,True,True
OAKBAT.cleanStatic,10,8424,381816,1,True,True
OAKBAT.cleanStatic,10,8724,381822,2,True,True
OAKBAT.cleanStatic,10,9024,381828,3,True,True
OAKBAT.cleanStatic,10,9324,381834,4,True,True
OAKBAT.cleanStatic,10,9624,381840,5,True,True
OAKBAT.cleanStatic,10,9924,381846,1,True,True
OAKBAT.cleanStatic,10,10224,381852,2,True,True
OAKBAT.cleanStatic,10,10524,381858,3,True,True
OAKBAT.cleanStatic,10,10824,381864,4,True,True
OAKBAT.cleanStatic,10,11124,381870,5,True,True
OAKBAT.cleanStatic,10,11424,381876,1,True,True
OAKBAT.cleanStatic,10,11724,381882,2,True,True
OAKBAT.cleanStatic,10,12024,381888,3,True,True
OAKBAT.cleanStatic,10,12324,381894,4,True,True
OAKBAT.cleanStatic,10,12624,381900,5,True,True
OAKBAT.cleanStatic,10,12924,381906,1,True,True
OAKBAT.cleanStatic,10,13224,381912,2,True,True
OAKBAT.cleanStatic,10,13524,381918,3,True,True
OAKBAT.cleanStatic,10,13824,381924,4,True,True
OAKBAT.cleanStatic,10,14124,381930,5,True,True
OAKBAT.cleanStatic,10,14424,381936,1,True,True
OAKBAT.cleanStatic,10,14724,381942,2,True,True
OAKBAT.cleanStatic,10,15024,381948,3,True,True
OAKBAT.cleanStatic,10,15324,381954,4,True,True
OAKBAT.cleanStatic,10,15624,381960,5,True,True
OAKBAT.cleanStatic,10,15924,381966,1,True,True
OAKBAT.cleanStatic,10,16224,381972,2,True,True
OAKBAT.cleanStatic,10,16524,381978,3,True,True
OAKBAT.cleanStatic,10,16824,381984,4,True,True
OAKBAT.cleanStatic,10,17124,381990,5,True,True
OAKBAT.cleanStatic,10,17424,381996,1,True,True
OAKBAT.cleanStatic,10,17724,382002,2,True,True
OAKBAT.cleanStatic,10,18024,382008,3,True,True
OAKBAT.cleanStatic,10,18324,382014,4,True,True
OAKBAT.cleanStatic,10,18624,382020,5,True,True
OAKBAT.cleanStatic,10,18924,382026,1,True,True
OAKBAT.cleanStatic,10,19224,382032,2,True,True
OAKBAT.cleanStatic,10,19524,382038,3,True,True
OAKBAT.cleanStatic,10,19824,382044,4,True,True
OAKBAT.cleanStatic,10,20124,382050,5,True,True
