dataset,prn,subframe_start_bit,tow_s,subframe_id,word_position,previous_d29,previous_d30,d29,d30,parity_valid,transmitted_word_hex
OAKBAT.cleanStatic,10,24,381648,3,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,24,381648,3,2,0,1,0,0,True,0x20f0f480
OAKBAT.cleanStatic,10,24,381648,3,3,0,0,1,1,True,0x000cf693
OAKBAT.cleanStatic,10,24,381648,3,4,1,1,1,1,True,0x1e0fdd17
OAKBAT.cleanStatic,10,24,381648,3,5,1,1,1,1,True,0x3ff7363b
OAKBAT.cleanStatic,10,24,381648,3,6,1,1,1,1,True,0x2b8b4a4f
OAKBAT.cleanStatic,10,24,381648,3,7,1,1,0,0,True,0x39691ae0
OAKBAT.cleanStatic,10,24,381648,3,8,0,0,0,1,True,0x0afbc81d
OAKBAT.cleanStatic,10,24,381648,3,9,0,1,1,0,True,0x0015c3ca
OAKBAT.cleanStatic,10,24,381648,3,10,1,0,0,0,True,0x1a4038ac
OAKBAT.cleanStatic,10,324,381654,4,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,324,381654,4,2,0,1,0,0,True,0x20f0d3c4
OAKBAT.cleanStatic,10,324,381654,4,3,0,0,1,1,True,0x1f2aaa93
OAKBAT.cleanStatic,10,324,381654,4,4,1,1,1,1,True,0x15555543
OAKBAT.cleanStatic,10,324,381654,4,5,1,1,1,1,True,0x15555543
OAKBAT.cleanStatic,10,324,381654,4,6,1,1,1,1,True,0x15555543
OAKBAT.cleanStatic,10,324,381654,4,7,1,1,1,1,True,0x15555543
OAKBAT.cleanStatic,10,324,381654,4,8,1,1,1,1,True,0x15555543
OAKBAT.cleanStatic,10,324,381654,4,9,1,1,1,1,True,0x15555543
OAKBAT.cleanStatic,10,324,381654,4,10,1,1,0,0,True,0x15555510
OAKBAT.cleanStatic,10,624,381660,5,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,624,381660,5,2,0,1,0,0,True,0x20f0b2b4
OAKBAT.cleanStatic,10,624,381660,5,3,0,0,1,1,True,0x158eb653
OAKBAT.cleanStatic,10,624,381660,5,4,1,1,1,0,True,0x1c420ae6
OAKBAT.cleanStatic,10,624,381660,5,5,1,0,0,0,True,0x3f4c000c
OAKBAT.cleanStatic,10,624,381660,5,6,0,0,0,1,True,0x28431b29
OAKBAT.cleanStatic,10,624,381660,5,7,0,1,0,0,True,0x0a3506bc
OAKBAT.cleanStatic,10,624,381660,5,8,0,0,0,1,True,0x33b63cb9
OAKBAT.cleanStatic,10,624,381660,5,9,0,1,0,1,True,0x0724db09
OAKBAT.cleanStatic,10,624,381660,5,10,0,1,0,0,True,0x19bfff34
OAKBAT.cleanStatic,10,924,381666,1,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,924,381666,1,2,0,1,0,0,True,0x20f09648
OAKBAT.cleanStatic,10,924,381666,1,3,0,0,1,1,True,0x03140003
OAKBAT.cleanStatic,10,924,381666,1,4,1,1,0,1,True,0x35555569
OAKBAT.cleanStatic,10,924,381666,1,5,0,1,1,0,True,0x1555556a
OAKBAT.cleanStatic,10,924,381666,1,6,1,0,0,1,True,0x2aaaaa95
OAKBAT.cleanStatic,10,924,381666,1,7,0,1,0,1,True,0x3ffffedd
OAKBAT.cleanStatic,10,924,381666,1,8,0,1,0,0,True,0x25a844ec
OAKBAT.cleanStatic,10,924,381666,1,9,0,0,0,0,True,0x003fe490
OAKBAT.cleanStatic,10,924,381666,1,10,0,0,0,0,True,0x36bf84dc
OAKBAT.cleanStatic,10,1224,381672,2,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,1224,381672,2,2,0,1,0,0,True,0x20f07594
OAKBAT.cleanStatic,10,1224,381672,2,3,0,0,0,0,True,0x1a7ce7f0
OAKBAT.cleanStatic,10,1224,381672,2,4,0,0,1,1,True,0x0be07863
OAKBAT.cleanStatic,10,1224,381672,2,5,1,1,0,1,True,0x3196fd41
OAKBAT.cleanStatic,10,1224,381672,2,6,0,1,0,1,True,0x02a23f75
OAKBAT.cleanStatic,10,1224,381672,2,7,0,1,1,0,True,0x0be1ab76
OAKBAT.cleanStatic,10,1224,381672,2,8,1,0,1,1,True,0x0499286f
OAKBAT.cleanStatic,10,1224,381672,2,9,1,1,0,0,True,0x3ca8dc6c
OAKBAT.cleanStatic,10,1224,381672,2,10,0,0,0,0,True,0x17bb003c
OAKBAT.cleanStatic,10,1524,381678,3,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,1524,381678,3,2,0,1,0,0,True,0x20f0541c
OAKBAT.cleanStatic,10,1524,381678,3,3,0,0,1,1,True,0x000cf693
OAKBAT.cleanStatic,10,1524,381678,3,4,1,1,1,1,True,0x1e0fdd17
OAKBAT.cleanStatic,10,1524,381678,3,5,1,1,1,1,True,0x3ff7363b
OAKBAT.cleanStatic,10,1524,381678,3,6,1,1,1,1,True,0x2b8b4a4f
OAKBAT.cleanStatic,10,1524,381678,3,7,1,1,0,0,True,0x39691ae0
OAKBAT.cleanStatic,10,1524,381678,3,8,0,0,0,1,True,0x0afbc81d
OAKBAT.cleanStatic,10,1524,381678,3,9,0,1,1,0,True,0x0015c3ca
OAKBAT.cleanStatic,10,1524,381678,3,10,1,0,0,0,True,0x1a4038ac
OAKBAT.cleanStatic,10,1824,381684,4,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,1824,381684,4,2,0,1,0,0,True,0x20f033a0
OAKBAT.cleanStatic,10,1824,381684,4,3,0,0,1,0,True,0x1f6aaa9e
OAKBAT.cleanStatic,10,1824,381684,4,4,1,0,0,1,True,0x2aaaaa95
OAKBAT.cleanStatic,10,1824,381684,4,5,0,1,1,0,True,0x1555556a
OAKBAT.cleanStatic,10,1824,381684,4,6,1,0,0,1,True,0x2aaaaa95
OAKBAT.cleanStatic,10,1824,381684,4,7,0,1,1,0,True,0x1555556a
OAKBAT.cleanStatic,10,1824,381684,4,8,1,0,0,1,True,0x2aaaaa95
OAKBAT.cleanStatic,10,1824,381684,4,9,0,1,1,0,True,0x1555556a
OAKBAT.cleanStatic,10,1824,381684,4,10,1,0,0,0,True,0x2aaaaa30
OAKBAT.cleanStatic,10,2124,381690,5,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,2124,381690,5,2,0,1,0,0,True,0x20f01228
OAKBAT.cleanStatic,10,2124,381690,5,3,0,0,0,0,True,0x15dbe74c
OAKBAT.cleanStatic,10,2124,381690,5,4,0,0,1,0,True,0x23804026
OAKBAT.cleanStatic,10,2124,381690,5,5,1,0,1,0,True,0x3f544fce
OAKBAT.cleanStatic,10,2124,381690,5,6,1,0,0,1,True,0x28434b99
OAKBAT.cleanStatic,10,2124,381690,5,7,0,1,1,0,True,0x3eee51e6
OAKBAT.cleanStatic,10,2124,381690,5,8,1,0,0,0,True,0x29bf6cd0
OAKBAT.cleanStatic,10,2124,381690,5,9,0,0,0,1,True,0x332ad8c1
OAKBAT.cleanStatic,10,2124,381690,5,10,0,1,0,0,True,0x043ff618
OAKBAT.cleanStatic,10,2424,381696,1,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,2424,381696,1,2,0,1,0,0,True,0x20eff6ec
OAKBAT.cleanStatic,10,2424,381696,1,3,0,0,1,1,True,0x03140003
OAKBAT.cleanStatic,10,2424,381696,1,4,1,1,0,1,True,0x35555569
OAKBAT.cleanStatic,10,2424,381696,1,5,0,1,1,0,True,0x1555556a
OAKBAT.cleanStatic,10,2424,381696,1,6,1,0,0,1,True,0x2aaaaa95
OAKBAT.cleanStatic,10,2424,381696,1,7,0,1,0,1,True,0x3ffffedd
OAKBAT.cleanStatic,10,2424,381696,1,8,0,1,0,0,True,0x25a844ec
OAKBAT.cleanStatic,10,2424,381696,1,9,0,0,0,0,True,0x003fe490
OAKBAT.cleanStatic,10,2424,381696,1,10,0,0,0,0,True,0x36bf84dc
OAKBAT.cleanStatic,10,2724,381702,2,1,0,0,0,1,True,0x22c3260d
OAKBAT.cleanStatic,10,2724,381702,2,2,0,1,0,0,True,0x20efd584
OAKBAT.cleanStatic,10,2724,381702,2,3,0,0,0,0,True,0x1a7ce7f0
OAKBAT.cleanStatic,10,2724,381702,2,4,0,0,1,1,True,0x0be07863
