dataset,prn,channel,loop_sequence,raw_sample_start,raw_sample_end,sample_count,selection_origin,delay_center_error_chips,doppler_center_error_hz,complex_tap_cosine,magnitude_spearman,prompt_magnitude_ratio,prompt_phase_error_rad,fitted_amplitude_real,fitted_amplitude_imag,native_taps_iq,reconstructed_taps_iq,gate_pass
OAKBAT.cleanStatic,10,10,20,150102318,150107318,5000,legacy_stage0a+temporal,0.0,-2.7284841053187847e-12,0.9999999999997919,1.0,1.0000002952655733,1.86256041834971e-07,0.9999982285599813,-1.9783751164917947e-08,"[[-513302.90625,418514.21875],[-727132.125,413598.84375],[-826094.3125,343851.53125],[-1035719.5625,278067.40625],[-1125173.375,240699.5625],[-1008545.1875,197081.6875],[-832247.0625,175698.59375],[-695171.8125,149385.78125],[-573109.125,203620.90625]]","[[-513304.75,418515.3125],[-727132.9375,413599.65625],[-826094.9375,343852.1875],[-1035721.8125,278067.875],[-1125175.75,240699.828125],[-1008547.0,197081.875],[-832248.5,175698.921875],[-695173.125,149386.078125],[-573109.375,203621.0625]]",True
OAKBAT.cleanStatic,10,10,21,150107318,150112318,5000,legacy_stage0a,0.0,-2.9558577807620168e-12,0.9999999999998261,1.0,0.9999993283133769,-1.0146142726708639e-07,0.9999985069378247,9.634017913437838e-07,"[[-562378.4375,-10660.3125],[-635401.375,53498.77734375],[-912057.5,92046.46875],[-1036858.625,163424.859375],[-1111816.125,270662.15625],[-1046036.75,228408.921875],[-903131.125,238793.265625],[-788344.25,172703.640625],[-573813.5,252161.96875]]","[[-562379.4375,-10659.5859375],[-635403.0,53499.6328125],[-912059.25,92047.5625],[-1036859.875,163426.375],[-1111816.75,270663.5625],[-1046037.625,228410.3125],[-903132.3125,238794.390625],[-788345.625,172704.296875],[-573814.625,252162.53125]]",True
OAKBAT.cleanStatic,10,10,22,150112318,150117318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999998134,1.0,1.0000001392190174,-2.010208953793905e-07,0.9999973857127235,-5.978233942237531e-07,"[[-557035.75,272578.5625],[-683765.9375,311603.46875],[-926255.8125,422053.28125],[-1096647.75,472024.59375],[-1195573.75,524115.8125],[-1168249.75,470013.34375],[-1015818.6875,414924.78125],[-881191.1875,417446.78125],[-684177.5625,384900.78125]]","[[-557037.625,272578.53125],[-683768.0,311603.40625],[-926257.375,422054.4375],[-1096651.25,472025.5625],[-1195577.25,524116.78125],[-1168253.0,470013.9375],[-1015822.0,414925.1875],[-881194.1875,417446.75],[-684179.1875,384900.9375]]",True
OAKBAT.cleanStatic,10,10,23,150117318,150122318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999994154,1.0,1.0000012537412313,1.8252304457864786e-07,0.9999965401676256,-3.936635427752139e-07,"[[-884819.9375,183059.8125],[-1005814.4375,272911.4375],[-1059028.125,217109.0625],[-1232040.125,260485.796875],[-1223254.875,189309.65625],[-1045786.6875,269802.1875],[-833922.6875,118352.4609375],[-678229.9375,4129.78662109375],[-521538.875,-55958.71484375]]","[[-884821.75,183060.09375],[-1005816.8125,272912.0625],[-1059032.0,217109.265625],[-1232046.0,260486.125],[-1223260.75,189309.84375],[-1045790.25,269802.5625],[-833924.875,118352.7421875],[-678232.25,4129.6953125],[-521539.40625,-55958.890625]]",True
OAKBAT.cleanStatic,10,10,24,150122318,150127318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999997805,1.0,1.0000004746201225,1.5540758994494715e-07,0.999998062743085,3.1252515344880174e-08,"[[-627047.375,191122.1875],[-901805.375,215370.0],[-1091899.75,274967.53125],[-1264404.625,325957.53125],[-1225920.375,348153.28125],[-1107443.0,286659.96875],[-905147.5,300385.59375],[-763675.5,248853.65625],[-487722.3125,186242.4375]]","[[-627048.625,191122.828125],[-901806.5625,215370.53125],[-1091900.75,274968.25],[-1264406.75,325958.09375],[-1225923.375,348153.96875],[-1107445.0,286660.8125],[-905150.3125,300385.84375],[-763677.625,248854.015625],[-487723.1875,186242.9375]]",True
OAKBAT.cleanStatic,10,10,25,150127318,150132318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999997378,1.0,1.000000086935924,1.0441558030605745e-06,0.99999877049648,3.4677781432988974e-07,"[[-546220.75,456187.71875],[-665955.625,589437.5625],[-843475.75,562356.8125],[-1049937.25,600749.4375],[-1092543.75,626246.5625],[-996624.125,566005.3125],[-890208.0,397696.84375],[-696486.625,348934.40625],[-672577.75,359543.59375]]","[[-546221.8125,456188.0],[-665956.5,589439.0625],[-843476.375,562357.875],[-1049938.0,600750.75],[-1092545.625,626246.625],[-996625.5625,566007.0625],[-890208.25,397698.0],[-696486.875,348935.1875],[-672578.0,359544.0625]]",True
OAKBAT.cleanStatic,10,10,26,150132318,150137318,5000,legacy_stage0a,0.0,-2.9558577807620168e-12,0.9999999999997664,1.0,1.0000000833760072,1.0781741776751517e-07,0.9999981166944705,8.514789444714981e-07,"[[-625243.3125,126414.421875],[-803216.3125,196493.125],[-944630.1875,294491.09375],[-1077955.125,334622.71875],[-1091697.625,365789.78125],[-907130.5625,414291.15625],[-824874.5625,313005.28125],[-726069.1875,303943.03125],[-506205.03125,288709.65625]]","[[-625244.875,126415.4609375],[-803217.125,196494.4375],[-944632.25,294492.8125],[-1077957.625,334624.625],[-1091699.5,365791.3125],[-907131.75,414292.125],[-824875.625,313006.15625],[-726069.75,303943.875],[-506204.9375,288710.625]]",True
OAKBAT.cleanStatic,10,10,27,150137318,150142318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999994599,1.0,0.9999998650004825,-1.2581833724325743e-07,0.9999988322322618,-1.3519446583191873e-06,"[[-673476.375,-70182.203125],[-830427.5,-98063.0625],[-1013432.75,-154673.28125],[-1219333.5,5605.45263671875],[-1273693.875,150530.65625],[-1221544.125,203878.96875],[-1059389.625,127696.296875],[-883984.5,156307.625],[-857185.625,103561.921875]]","[[-673477.75,-70183.109375],[-830428.8125,-98064.40625],[-1013434.25,-154674.953125],[-1219332.125,5603.79296875],[-1273695.375,150529.25],[-1221546.75,203877.609375],[-1059391.25,127695.015625],[-883986.1875,156306.609375],[-857187.3125,103560.9453125]]",True
OAKBAT.cleanStatic,10,10,28,150142318,150147318,5000,legacy_stage0a,0.0,-2.5011104298755527e-12,0.9999999999998832,1.0,0.9999997799767198,-5.616265093204352e-08,0.9999983604410438,1.0874268531265734e-07,"[[-837980.5625,179921.375],[-1059968.25,244532.0],[-1270228.625,299136.21875],[-1352836.625,461699.15625],[-1384010.375,543676.0],[-1295132.375,413102.21875],[-1031622.1875,466444.3125],[-877327.4375,375872.59375],[-858628.1875,258144.625]]","[[-837981.6875,179922.109375],[-1059970.5,244532.09375],[-1270230.5,299136.625],[-1352838.125,461699.65625],[-1384012.25,543677.0],[-1295135.375,413103.6875],[-1031623.9375,466444.96875],[-877328.9375,375873.40625],[-858629.375,258145.5]]",True
OAKBAT.cleanStatic,10,10,29,150147318,150152318,5000,legacy_stage0a,0.0,-2.7284841053187847e-12,0.9999999999994085,1.0,0.999998773574588,-3.903948879163558e-07,0.999998006146823,-2.934546103520412e-07,"[[-741120.6875,402179.84375],[-838266.9375,547639.625],[-914885.3125,540325.875],[-1139365.875,562251.5],[-1203269.875,499531.78125],[-1174967.875,479554.09375],[-900280.6875,444236.96875],[-762808.0625,336970.0625],[-520551.65625,355829.34375]]","[[-741123.3125,402180.78125],[-838270.0625,547640.875],[-914888.8125,540326.75],[-1139367.875,562252.75],[-1203270.75,499532.28125],[-1174969.375,479554.34375],[-900281.6875,444237.21875],[-762810.375,336970.625],[-520553.5,355830.125]]",True
