dataset,prn,channel,loop_sequence,raw_sample_start,raw_sample_end,receiver_timestamp_s,sample_count,selection_origin,source_dump,record_index,code_frequency_chips_s,carrier_doppler_hz,residual_code_phase_chips,residual_carrier_phase_rad,carrier_phase_accumulator_rad
OAKBAT.cleanStatic,10,10,20,150102318,150107318,30.0204636,5000,legacy_stage0a+temporal,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,20,1023000.6609982721,1189.808837890625,0.10205489393327168,1.104047179222107,-138375.69474908576
OAKBAT.cleanStatic,10,10,21,150107318,150112318,30.0214636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,21,1023000.6324678147,1190.0313720703125,0.101422423272328,2.2980496883392334,-138383.17193671784
OAKBAT.cleanStatic,10,10,22,150112318,150117318,30.0224636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,22,1023000.6688163751,1189.8909912109375,0.10075361050099006,3.4911696910858154,-138390.64824231097
OAKBAT.cleanStatic,10,10,23,150117318,150122318,30.0234636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,23,1023000.6877782672,1189.035888671875,0.10006583410140922,4.678917407989502,-138398.11917513638
OAKBAT.cleanStatic,10,10,24,150122318,150127318,30.0244636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,24,1023000.5681120114,1190.29736328125,0.09949771038473654,5.8745903968811035,-138405.59803404054
OAKBAT.cleanStatic,10,10,25,150127318,150132318,30.0254636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,25,1023000.5800005138,1189.6932373046875,0.09891771102731042,0.7832826375961304,-138413.0730971092
OAKBAT.cleanStatic,10,10,26,150132318,150137318,30.0264636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,26,1023000.6247882075,1188.49853515625,0.09829292715044233,1.9676538705825806,-138420.5406536429
OAKBAT.cleanStatic,10,10,27,150137318,150142318,30.0274636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,27,1023000.5847014013,1189.453369140625,0.09770822189759466,3.158024549484253,-138428.01420957546
OAKBAT.cleanStatic,10,10,28,150142318,150147318,30.0284636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,28,1023000.6665242104,1190.45263671875,0.09704170550215761,4.354673862457275,-138435.49404409138
OAKBAT.cleanStatic,10,10,29,150147318,150152318,30.0294636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,29,1023000.6273414927,1189.197021484375,0.09641436029279456,5.543433666229248,-138442.9659893441
OAKBAT.cleanStatic,10,10,30,150152318,150157318,30.0304636,5000,legacy_stage0a,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,30,1023000.655883417,1189.0975341796875,0.0957584795658029,0.44838273525238037,-138450.43730949968
