dataset,prn,subframe_index,bit_index,raw_start_sample,observed_decoded_preamble,expected_preamble,valid
OAKBAT.cleanStatic,10,0,1,150197318,10001011,10001011,True
OAKBAT.cleanStatic,10,1,301,180197295,10001011,10001011,True
OAKBAT.cleanStatic,11,0,2,150263604,10001011,10001011,True
OAKBAT.cleanStatic,11,1,302,180263561,10001011,10001011,True
OAKBAT.cleanStatic,21,0,2,150227349,10001011,10001011,True
OAKBAT.cleanStatic,21,1,302,180227402,10001011,10001011,True
OAKBAT.cleanStatic,24,0,2,150212952,10001011,10001011,True
OAKBAT.cleanStatic,24,1,302,180212993,10001011,10001011,True
OAKBAT.cleanStatic,27,0,2,150270296,10001011,10001011,True
OAKBAT.cleanStatic,27,1,302,180270337,10001011,10001011,True
TEXBAT.cleanStatic,3,0,135,817513830,10001011,10001011,True
TEXBAT.cleanStatic,3,1,435,967513758,10001011,10001011,True
TEXBAT.cleanStatic,13,0,134,817492386,10001011,10001011,True
TEXBAT.cleanStatic,13,1,434,967492212,10001011,10001011,True
TEXBAT.cleanStatic,16,0,135,817606534,10001011,10001011,True
TEXBAT.cleanStatic,16,1,435,967606801,10001011,10001011,True
TEXBAT.cleanStatic,19,0,135,817613520,10001011,10001011,True
TEXBAT.cleanStatic,19,1,435,967613271,10001011,10001011,True
TEXBAT.cleanStatic,30,0,135,817790304,10001011,10001011,True
TEXBAT.cleanStatic,30,1,435,967790620,10001011,10001011,True
