dataset,prn,bit_start,bit_end_exclusive,reason
OAKBAT.cleanStatic,10,0,1,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,10,601,748,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,11,0,2,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,11,602,749,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,21,0,2,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,21,602,749,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,24,0,2,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,24,602,749,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,27,0,2,edge_bits_outside_two_complete_parity_valid_subframes
OAKBAT.cleanStatic,27,602,749,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,3,0,135,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,3,735,749,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,13,0,134,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,13,734,748,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,16,0,135,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,16,735,749,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,19,0,135,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,19,735,749,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,30,0,135,edge_bits_outside_two_complete_parity_valid_subframes
TEXBAT.cleanStatic,30,735,749,edge_bits_outside_two_complete_parity_valid_subframes
