dataset,prn,first_how_tow_s,second_how_tow_s,delta_s,first_subframe_id,second_subframe_id,tow_continuity_valid,subframe_id_continuity_valid
OAKBAT.cleanStatic,10,381636,381642,6,1,2,True,True
OAKBAT.cleanStatic,11,381636,381642,6,1,2,True,True
OAKBAT.cleanStatic,21,381636,381642,6,1,2,True,True
OAKBAT.cleanStatic,24,381636,381642,6,1,2,True,True
OAKBAT.cleanStatic,27,381636,381642,6,1,2,True,True
TEXBAT.cleanStatic,3,477918,477924,6,3,4,True,True
TEXBAT.cleanStatic,13,477918,477924,6,3,4,True,True
TEXBAT.cleanStatic,16,477918,477924,6,3,4,True,True
TEXBAT.cleanStatic,19,477918,477924,6,3,4,True,True
TEXBAT.cleanStatic,30,477918,477924,6,3,4,True,True
