dataset,prn,trace_path,trace_sha256,trace_record_count,sample_rate_hz,channel,tracking_session_id,trace_row_index,loop_sequence,raw_interval_start_sample,raw_interval_end_sample,data_symbol_boundary,phase_mod20,subset,matches_fitted_phase
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11559,11559,207797275,207802275,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11579,11579,207897274,207902274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11599,11599,207997274,208002274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11619,11619,208097274,208102274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11639,11639,208197274,208202274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11659,11659,208297274,208302274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11679,11679,208397274,208402274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11699,11699,208497274,208502274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11719,11719,208597274,208602274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11739,11739,208697274,208702274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11759,11759,208797274,208802274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11779,11779,208897274,208902274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11799,11799,208997274,209002274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11819,11819,209097274,209102274,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11839,11839,209197273,209202273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11859,11859,209297273,209302273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11879,11879,209397273,209402273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11899,11899,209497273,209502273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11919,11919,209597273,209602273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11939,11939,209697273,209702273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11959,11959,209797273,209802273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11979,11979,209897273,209902273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,11999,11999,209997273,210002273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,12019,12019,210097273,210102273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,12039,12039,210197273,210202273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,12059,12059,210297273,210302273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,12079,12079,210397273,210402273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,12099,12099,210497273,210502273,1,19,fit,True
OAKBAT.cleanStatic,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,14998,5000000,10,1,12119,12119,210597272,210602272,1,19,fit,True
