dataset,prn,channel,trace_path,trace_sha256,trace_scenario_id,receiver_source_base_commit,continuity_start_trace_row,continuity_end_trace_row,rows_observed,first_direct_flag_trace_row,last_direct_flag_trace_row,fitted_phase_mod20,missing_trace_rows,duplicate_trace_rows,nonmonotonic_raw_start_failures,interval_length_contract_failures,causal_source_sequence_failures,causal_action_failures,causal_interval_failures,unexplained_raw_sample_gaps,raw_span_min_samples,raw_span_max_samples,raw_join_min_samples,raw_join_max_samples,channel_reassignments,prn_handovers,tracking_session_changes,tracking_reset_or_reacquisition_events,receiver_state_progression,pull_in_progression,source_file_boundaries,raw_iq_total_complex_samples,raw_iq_max_endpoint_exclusive,raw_iq_bounds_failures,status
OAKBAT.cleanStatic,10,10,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_10.bin,059ca9a4ba66faf8208318ac2f320e15762c281c01e5a877225cec05e627ed09,MCTD.OAKBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,40,14979,14940,11559,14979,19,0,0,0,0,0,0,0,0,4999,5000,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,2400000000,224902262,0,PASS
OAKBAT.cleanStatic,11,2,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_2.bin,653c3fbce4c14e4624f5111ad739a5455e8c16532c8ecaf2d2f77e38cc3051bd,MCTD.OAKBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,53,14992,14940,12232,14992,12,0,0,0,0,0,0,0,0,4999,5000,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,2400000000,224968499,0,PASS
OAKBAT.cleanStatic,21,0,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_0.bin,4ef713eac37560d85ea0e4b8fe01aca5b33eddce51df23e7a1d40f750351156b,MCTD.OAKBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,46,14985,14940,11345,14985,5,0,0,0,0,0,0,0,0,5000,5001,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,2400000000,224932482,0,PASS
OAKBAT.cleanStatic,24,3,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_3.bin,9493ce9e855df4cd63774f6f3122806d780bb1105ed4b11e1e0ba453b120b3bf,MCTD.OAKBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,43,14982,14940,12222,14982,2,0,0,0,0,0,0,0,0,5000,5001,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,2400000000,224918055,0,PASS
OAKBAT.cleanStatic,27,1,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/oakbat_cleanstatic/slow/rep1/trace_native_1ms_ch_1.bin,f7cbf285bffac4d034ee63569094e602f688736dd2e296979958497b8653d40c,MCTD.OAKBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,55,14994,14940,12234,14994,14,0,0,0,0,0,0,0,0,5000,5001,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,2400000000,224975398,0,PASS
TEXBAT.cleanStatic,3,2,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/texbat_cleanstatic/slow/rep1/trace_native_1ms_ch_2.bin,228d8db83103674c25db2a80eb1ca2d0470bff372d503b4cec94040fba507fa0,MCTD.TEXBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,2701,14980,12280,11520,14980,0,0,0,0,0,0,0,0,0,24999,25000,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,12004098048,1124538683,0,PASS
TEXBAT.cleanStatic,13,4,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/texbat_cleanstatic/slow/rep1/trace_native_1ms_ch_4.bin,d2feffd1bbb4c0ce9cd12ca137abc512d168ecc29667e95a2f3b65c923c04325,MCTD.TEXBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,2700,14979,12280,11519,14979,19,0,0,0,0,0,0,0,0,24999,25000,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,12004098048,1124517028,0,PASS
TEXBAT.cleanStatic,16,1,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/texbat_cleanstatic/slow/rep1/trace_native_1ms_ch_1.bin,b3a7a9afa644c48328a0295749cf08203da734912a79cecd614b75d219ea1fa8,MCTD.TEXBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,2705,14984,12280,11524,14984,4,0,0,0,0,0,0,0,0,25000,25001,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,12004098048,1124632080,0,PASS
TEXBAT.cleanStatic,19,0,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/texbat_cleanstatic/slow/rep1/trace_native_1ms_ch_0.bin,c4b5f7e04d9a96cb9e5770b54dad7c0b3674281ac7d1a4859924b91ea77d7fc8,MCTD.TEXBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,2705,14984,12280,11524,14984,4,0,0,0,0,0,0,0,0,24999,25000,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,12004098048,1124638011,0,PASS
TEXBAT.cleanStatic,30,3,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/mctd-stage0-static/dumps/phase_a/texbat_cleanstatic/slow/rep1/trace_native_1ms_ch_3.bin,98e6015ae8473573882b0f0980af1bf244c1759bdfa36398c0002d7bba907bc7,MCTD.TEXBAT.cleanStatic.slow.phase_a,1ddd4562723040fd66cb334b578a5b69455625f4,2712,14991,12280,11531,14991,11,0,0,0,0,0,0,0,0,25000,25001,-1,1,0,0,0,0,2_to_4_once_no_regression,1_to_0_once_no_regression,0,12004098048,1124815951,0,PASS
