case_id,dataset,mode,status,targets,rho_db,delay_chips,doppler_hz,phase_rad,iq_sha256,iq_size_bytes,clipping_ratio
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,11;21;24;27,-10.0,-0.05,-25.0,0.0,d13f6c17451c79fb1842879271b3ae0976cddcdb9522891e98fa8d94c8a67432,1800000000,0.0
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,10;21;24;27,-6.0,0.05,25.0,1.5707963267948966,f8b2c29f5b300acd7224bb085598c701a426f2904f8c8282ec4c7a0cf870a5ca,1800000000,0.0
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,10;11;24;27,-3.0,-0.1,-50.0,3.141592653589793,d73d46e825ab116b328e452a1d983eeeabc97c509e14f97d5eb681a64022ed20,1800000000,0.0
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,10;11;21;27,0.0,0.1,50.0,4.71238898038469,33ab3f9698e5329d9432ecada71310b6ad8f9a68a8f57eb05d280193d341f139,1800000000,0.0
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,10;11;21;24,-10.0,-0.25,0.0,0.0,cfd588e791b759dfcdb15480edca891f71e52c091a59d803abcaed985c0d4540,1800000000,0.0
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,11;21;24;27,-6.0,0.25,-5.0,1.5707963267948966,dff42b63ca5e3406b5df5de142ddb93511d1047cd3d1948302e08d669be46444,1800000000,0.0
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,10;21;24;27,-3.0,0.0,5.0,3.141592653589793,7a7c61936684625c6a647e3895e3e7e020594a175cef02b81fca76fffa853616,1800000000,0.0
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,four_prn_diagnostic_after_single_prn_pass_only,PASS,10;11;24;27,0.0,-0.05,-25.0,4.71238898038469,9455e8a2ea972cd08f5550f2fd9101911233bfb253494f6cbd70bc7514a52275,1800000000,0.0
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,single_prn,PASS,10,-10.0,0.0,0.0,0.0,3c6cfd4f5e07ac414dc216ee50d1f85471cc2e1d5fcba73eae6e300604433957,1800000000,0.0
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,single_prn,PASS,11,0.0,-0.05,5.0,1.5707963267948966,3bd17491686e8a8e4bfbb229199b89d6981487ce7c7352a3e7f83aa2272281ef,1800000000,0.0
