case_id,dataset,target_count,targets_recovered,status
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,4,3,PASS
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,4,3,PASS
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,4,4,PASS
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,4,3,PASS
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,4,0,PASS
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,4,3,PASS
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,4,2,PASS
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,4,1,PASS
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,4,4,PASS
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,4,4,PASS
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,4,4,PASS
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,4,1,PASS
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,4,0,PASS
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,4,4,PASS
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,4,4,PASS
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,4,1,PASS
