case_id,dataset,target_count,targets_recovered,status
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,1,0,PASS
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,1,1,PASS
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,1,0,PASS
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,1,0,PASS
TEXBAT.cleanStatic.single.01,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.02,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.03,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.04,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.05,TEXBAT.cleanStatic,1,0,PASS
TEXBAT.cleanStatic.single.06,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.07,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,1,0,PASS
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.12,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.13,TEXBAT.cleanStatic,1,0,PASS
TEXBAT.cleanStatic.single.14,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.15,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.16,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.17,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.18,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.19,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.20,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.21,TEXBAT.cleanStatic,1,0,PASS
TEXBAT.cleanStatic.single.22,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.23,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.24,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.25,TEXBAT.cleanStatic,1,0,PASS
TEXBAT.cleanStatic.single.26,TEXBAT.cleanStatic,1,1,PASS
TEXBAT.cleanStatic.single.27,TEXBAT.cleanStatic,1,1,PASS
