case_id,dataset,prn,is_target,delta_bic
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,10,False,159.10908744414337
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,11,True,601.0065935398452
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,21,True,1176.5916442014277
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,24,True,492.8695302908309
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,27,True,771.8576068892144
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,10,True,439.17091683112085
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,11,False,186.7747096302919
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,21,True,1070.6650992352515
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,24,True,504.0215267171152
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,27,True,762.106733310502
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,10,True,437.33315243246034
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,11,True,621.1751747764647
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,21,False,265.4462948348373
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,24,True,496.2929163943045
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,27,True,768.0116728669964
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,10,True,401.63940852321684
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,11,True,320.37174671981484
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,21,True,697.5076181772165
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,24,False,-19.934764995239675
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,27,True,322.5254918518476
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,10,True,43.29610783653334
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,11,True,43.237322146305814
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,21,True,106.04575285734609
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,24,True,104.66533313784748
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,27,False,-18.036207013297826
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,10,False,182.17713466100395
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,11,True,829.7467650924809
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,21,True,1172.9018624383025
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,24,True,304.06965837208554
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,27,True,662.3716790447943
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,10,True,634.8906633285806
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,11,False,266.8493308285251
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,21,True,1038.8314991779625
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,24,True,641.4236767929979
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,27,True,502.49173486884683
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,10,True,545.2825989602134
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,11,True,415.0731624774635
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,21,False,177.9066530414857
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,24,True,487.90170515095815
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,27,True,281.31975184287876
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,10,True,41.125291985459626
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,11,False,231.6048217001371
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,21,False,553.6594560572412
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,24,False,-20.091572548728436
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,27,False,-20.433537129545584
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,10,False,1613.5757810364012
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,11,True,589.6716455337591
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,21,False,529.8274352224544
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,24,False,-19.84907019417733
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,27,False,-21.396553937811404
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,10,False,359.82036727434024
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,11,False,377.07974172383547
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,21,True,1174.302165181376
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,24,False,-20.21572893555276
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,27,False,-21.234381760004908
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,10,False,-17.827933837426826
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,11,False,-21.12766526103951
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,21,False,-22.603352640289813
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,24,True,492.96242566779256
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,27,False,126.79773305216804
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,10,False,-22.41029501054436
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,11,False,-20.800853392807767
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,21,False,-21.772269201930612
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,24,False,65.33670796826482
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,27,True,565.5732303648256
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,10,True,621.7492891009897
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,11,False,126.20442993985489
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,21,False,536.0045296913013
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,24,False,-22.651142206508666
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,27,False,-21.564676920883358
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,10,False,959.9658117431682
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,11,True,603.486022782512
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,21,False,607.2419699330349
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,24,False,-20.06566212628968
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,27,False,-19.172410034108907
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,10,False,352.42785353399813
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,11,False,663.7710583014414
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,21,True,82.46645898325369
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,24,False,-19.8535056298133
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,27,False,-18.898695875890553
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,10,False,-18.50548946345225
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,11,False,-20.544391226721928
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,21,False,-22.160997675266117
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,24,True,593.9623517948203
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,27,False,212.39599305135198
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,10,False,-22.580915232189
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,11,False,-21.008965155575424
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,21,False,-21.510829992592335
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,24,False,41.05681421956979
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,27,True,1134.847412421368
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,10,True,435.6367818438448
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,11,False,190.07381802028976
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,21,False,631.2325477118138
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,24,False,-22.7000231849961
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,27,False,-21.206762683345005
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,10,False,1370.8124704917427
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,11,True,740.5459169968963
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,21,False,405.69482897315174
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,24,False,-19.957664024550468
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,27,False,-19.990764206275344
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,10,False,629.7431446411647
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,11,False,749.6506761701312
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,21,True,1127.750945225358
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,24,False,-19.175615213578567
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,27,False,-17.386892427457497
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,10,False,-18.903722987975925
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,11,False,-21.64618591265753
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,21,False,-22.47785201249644
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,24,True,668.8013573661447
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,27,False,437.6381011628546
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,10,False,-22.39073426509276
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,11,False,-21.202858835691586
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,21,False,-22.230274544330314
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,24,False,75.76741574984044
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,27,True,53.98316639335826
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,10,True,230.0665558394976
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,11,False,224.07480746647343
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,21,False,598.75779365981
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,24,False,-21.59904865315184
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,27,False,-21.12627967586741
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,10,False,1753.2953747054562
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,11,True,589.9827598622069
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,21,False,571.3069426969159
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,24,False,-20.695436971262097
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,27,False,-20.018475316930562
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,10,False,347.4814866683446
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,11,False,634.1299790199846
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,21,True,766.7754144989885
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,24,False,-20.525052659446374
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,27,False,-21.406524236314
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,10,False,-18.016167565481737
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,11,False,-21.343808359233662
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,21,False,-21.813193395966664
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,24,True,677.7940913196653
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,27,False,312.19323737127706
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,10,False,-22.19520141975954
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,11,False,-21.393026469973847
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,21,False,-21.35493002086878
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,24,False,85.81212429283187
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,27,True,777.6765224463306
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,10,True,434.51811899384484
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,11,False,364.7867481384892
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,21,False,430.9455115047749
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,24,False,-21.146278868196532
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,27,False,-16.96082414430566
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,10,False,1556.0154698125552
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,11,True,77.66108531225473
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,21,False,460.58210368687287
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,24,False,-20.4073953689076
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,27,False,-16.392960591241717
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,10,False,294.6760823666118
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,11,False,673.7959782592952
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,21,True,1067.2206777194515
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,24,False,-20.147218070924282
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,27,False,-21.88072369643487
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,10,False,-18.15950941038318
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,11,False,-21.33457117783837
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,21,False,-22.49341524578631
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,24,True,465.4319787286222
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,27,False,158.21013236115687
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,10,False,-22.082447767956182
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,11,False,-21.68064337898977
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,21,False,-21.119737054221332
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,24,False,112.67489839089103
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,27,True,782.8310689590871
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,10,True,398.70517294248566
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,11,False,234.30538815888576
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,21,False,529.9452206389979
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,24,False,-22.022617848590016
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,27,False,-18.818213548511267
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,10,False,1122.4213176106568
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,11,True,619.4775403100066
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,21,False,855.6100084269419
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,24,False,-19.643359035020694
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,27,False,-21.22367206448689
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,10,False,352.1695716427639
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,11,False,814.1122075458989
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,21,True,1096.9154452681541
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,24,False,-20.05076154693961
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,27,False,-20.648249592864886
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,3,False,337.3754165796563
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,13,True,354.4995024721138
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,16,True,2651.3130393773317
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,19,True,1032.9023236576468
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,30,True,473.6671263370663
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,3,True,568.2297811373137
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,13,False,388.865618259646
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,16,True,2679.7197842099704
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,19,True,1020.4842760385945
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,30,True,453.0075985584408
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,3,True,586.089731533546
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,13,True,334.570200660266
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,16,False,-18.982838242780417
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,19,True,1044.4840586762875
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,30,True,438.7040833211504
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,3,True,220.73708653068752
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,13,True,408.33289778459584
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,16,True,578.2481107233325
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,19,False,-20.30489041050896
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,30,True,232.7737242549265
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,3,True,28.05639593482192
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,13,True,32.50144014746911
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,16,True,18.660599832543085
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,19,True,8.059019593631092
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,30,False,74.52160570770502
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,3,False,253.85802388750017
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,13,True,238.34511572914198
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,16,True,2848.339231071528
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,19,True,1042.533945393283
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,30,True,443.0167867904529
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,3,True,728.2779151732102
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,13,False,412.52380012720823
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,16,True,1456.2460190281272
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,19,True,861.7415996221825
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,30,True,1208.8944949205033
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,3,True,963.0790659103077
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,13,True,586.6830189770553
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,16,False,-20.963250106666237
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,19,True,456.70274488977157
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,30,True,335.3515116365161
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,3,True,31.212689597625285
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,13,False,889.4760627206415
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,16,False,-17.704394695349038
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,19,False,-6.758045333437622
