awgn_seed,case_id,complex_scalar_imag,complex_scalar_real,control,control_delta_bic,control_recovered_delay_chips,control_recovered_doppler_hz,dataset,injected_delta_bic,paired_difference_delta_bic,residual_rms,strong_resolvable,target_prn
,OAKBAT.cleanStatic.single.00,0.0,0.7190058497039318,GAIN_RMS_MATCHED,-23.163372619077563,-0.35,-75.0,OAKBAT.cleanStatic,41.125291985459626,64.28866460453719,,False,10
20260828,OAKBAT.cleanStatic.single.00,,,AWGN_TAP_DOMAIN,-7.748708876781166,-0.35,20.0,OAKBAT.cleanStatic,41.125291985459626,48.87400086224079,61737.05272115152,False,10
,OAKBAT.cleanStatic.single.01,0.0,1.3600479918251678,GAIN_RMS_MATCHED,-23.00756761408411,-0.35,-75.0,OAKBAT.cleanStatic,589.6716455337591,612.6792131478433,,False,11
20260829,OAKBAT.cleanStatic.single.01,,,AWGN_TAP_DOMAIN,-13.607114808168262,-0.35,20.0,OAKBAT.cleanStatic,589.6716455337591,603.2787603419274,1272431.6615804199,False,11
,OAKBAT.cleanStatic.single.02,0.0,1.187277593607895,GAIN_RMS_MATCHED,-23.17242620140314,-0.35,-75.0,OAKBAT.cleanStatic,1174.302165181376,1197.4745913827792,,True,21
20260839,OAKBAT.cleanStatic.single.02,,,AWGN_TAP_DOMAIN,-14.176386013627052,-0.35,-45.0,OAKBAT.cleanStatic,1174.302165181376,1188.478551195003,609085.4382007972,True,21
,OAKBAT.cleanStatic.single.03,0.0,1.101295790022959,GAIN_RMS_MATCHED,-23.169412892195396,-0.35,-75.0,OAKBAT.cleanStatic,492.96242566779256,516.131838559988,,True,24
20260842,OAKBAT.cleanStatic.single.03,,,AWGN_TAP_DOMAIN,-16.299122213386,0.35,-15.0,OAKBAT.cleanStatic,492.96242566779256,509.26154788117856,441751.7585843015,True,24
,OAKBAT.cleanStatic.single.04,0.0,1.0405738350249114,GAIN_RMS_MATCHED,-23.172091613523662,-0.35,-75.0,OAKBAT.cleanStatic,565.5732303648256,588.7453219783492,,False,27
20260845,OAKBAT.cleanStatic.single.04,,,AWGN_TAP_DOMAIN,-15.672023736871779,-0.35,60.0,OAKBAT.cleanStatic,565.5732303648256,581.2452541016974,237750.3794473609,False,27
,OAKBAT.cleanStatic.single.05,0.0,1.3361388085496553,GAIN_RMS_MATCHED,-22.939200680470094,-0.35,-75.0,OAKBAT.cleanStatic,621.7492891009897,644.6884897814598,,True,10
20260828,OAKBAT.cleanStatic.single.05,,,AWGN_TAP_DOMAIN,-15.176426437217742,-0.125,-10.0,OAKBAT.cleanStatic,621.7492891009897,636.9257155382074,820444.4496776671,True,10
,OAKBAT.cleanStatic.single.06,0.0,1.1799368199945233,GAIN_RMS_MATCHED,-23.16706606419757,-0.35,-75.0,OAKBAT.cleanStatic,603.486022782512,626.6530888467096,,True,11
20260829,OAKBAT.cleanStatic.single.06,,,AWGN_TAP_DOMAIN,-16.682737927883863,-0.35,-5.0,OAKBAT.cleanStatic,603.486022782512,620.1687607103959,584236.7752299071,True,11
,OAKBAT.cleanStatic.single.07,0.0,1.0996356969594103,GAIN_RMS_MATCHED,-23.172760733636096,-0.35,-75.0,OAKBAT.cleanStatic,82.46645898325369,105.63921971688978,,False,21
20260839,OAKBAT.cleanStatic.single.07,,,AWGN_TAP_DOMAIN,-16.39434230932966,0.35,55.0,OAKBAT.cleanStatic,82.46645898325369,98.86080129258335,95425.61415735238,False,21
,OAKBAT.cleanStatic.single.08,0.0,1.042461950829082,GAIN_RMS_MATCHED,-23.17510089254938,-0.35,-75.0,OAKBAT.cleanStatic,593.9623517948203,617.1374526873697,,False,24
20260842,OAKBAT.cleanStatic.single.08,,,AWGN_TAP_DOMAIN,-12.179921885952353,0.35,55.0,OAKBAT.cleanStatic,593.9623517948203,606.1422736807726,250316.84776847073,False,24
,OAKBAT.cleanStatic.single.09,0.0,1.3498949766432133,GAIN_RMS_MATCHED,-23.023849929333664,-0.35,-75.0,OAKBAT.cleanStatic,1134.847412421368,1157.8712623507017,,True,27
