case_id,dataset,rho_db,requested_delay_chips,requested_doppler_hz,strong_resolvable,execution_status,target_prn_count,recovered_prn_count,three_of_four_success,median_target_delta_bic,nontarget_delta_bic,target_minus_nontarget_delta_bic,output_interval_rms,clipping_ratio
OAKBAT.cleanStatic.four.00,OAKBAT.cleanStatic,-10.0,-0.05,-25.0,False,PASS,4,3,True,686.4321002145298,159.10908744414337,527.3230127703864,2633.0961842029437,0.0
OAKBAT.cleanStatic.four.01,OAKBAT.cleanStatic,-6.0,0.05,25.0,True,PASS,4,3,True,633.0641300138086,186.7747096302919,446.2894203835167,2637.0103125613023,0.0
OAKBAT.cleanStatic.four.02,OAKBAT.cleanStatic,-3.0,-0.1,-50.0,True,PASS,4,4,True,558.7340455853846,265.4462948348373,293.2877507505473,2643.5354995681646,0.0
OAKBAT.cleanStatic.four.03,OAKBAT.cleanStatic,0.0,0.1,50.0,True,PASS,4,3,True,362.08245018753223,-19.934764995239675,382.0172151827719,2656.010444208589,0.0
OAKBAT.cleanStatic.four.04,OAKBAT.cleanStatic,-10.0,-0.25,0.0,False,PASS,4,0,False,73.98072048719041,-18.036207013297826,92.01692750048824,2618.699712939147,0.0
OAKBAT.cleanStatic.four.05,OAKBAT.cleanStatic,-6.0,0.25,-5.0,True,PASS,4,3,True,746.0592220686376,182.17713466100395,563.8820874076337,2637.0148704699145,0.0
OAKBAT.cleanStatic.four.06,OAKBAT.cleanStatic,-3.0,0.0,5.0,False,PASS,4,2,False,638.1571700607892,266.8493308285251,371.3078392322641,2643.4244044489433,0.0
OAKBAT.cleanStatic.four.07,OAKBAT.cleanStatic,0.0,-0.05,-25.0,True,PASS,4,1,False,451.4874338142108,177.9066530414857,273.5807807727251,2656.39733929572,0.0
TEXBAT.cleanStatic.four.00,TEXBAT.cleanStatic,-10.0,-0.05,-25.0,False,PASS,4,4,True,753.2847249973565,337.3754165796563,415.90930841770023,2363.6309342237096,0.0
TEXBAT.cleanStatic.four.01,TEXBAT.cleanStatic,-6.0,0.05,25.0,True,PASS,4,4,True,794.3570285879541,388.865618259646,405.4914103283081,2366.3122622491264,0.0
TEXBAT.cleanStatic.four.02,TEXBAT.cleanStatic,-3.0,-0.1,-50.0,True,PASS,4,4,True,512.3969074273482,-18.982838242780417,531.3797456701286,2372.4597667792004,0.0
TEXBAT.cleanStatic.four.03,TEXBAT.cleanStatic,0.0,0.1,50.0,True,PASS,4,1,False,320.55331101976117,-20.30489041050896,340.8582014302701,2385.6593805225107,0.0
TEXBAT.cleanStatic.four.04,TEXBAT.cleanStatic,-10.0,-0.25,0.0,False,PASS,4,0,False,23.358497883682503,74.52160570770502,-51.16310782402252,2349.771075597768,0.0
TEXBAT.cleanStatic.four.05,TEXBAT.cleanStatic,-6.0,0.25,-5.0,True,PASS,4,4,True,742.7753660918679,253.85802388750017,488.91734220436774,2366.8878037858954,0.0
TEXBAT.cleanStatic.four.06,TEXBAT.cleanStatic,-3.0,0.0,5.0,False,PASS,4,4,True,1035.318047271343,412.52380012720823,622.7942471441347,2371.108222181592,0.0
TEXBAT.cleanStatic.four.07,TEXBAT.cleanStatic,0.0,-0.05,-25.0,True,PASS,4,1,False,521.6928819334134,-20.963250106666237,542.6561320400797,2383.389901554664,0.0
