case_id,dataset,target_prn,rho_db,requested_delay_chips,requested_doppler_hz,phase_rad,strong_resolvable,execution_status,physics_recovered,target_delta_bic,target_observable,recovered_delay_chips,recovered_doppler_hz,median_nontarget_delta_bic,target_minus_median_nontarget_delta_bic,requested_scer_db,realized_scer_db,scer_error_db,output_interval_rms,clipping_ratio
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,10,-10.0,0.0,0.0,0.0,False,PASS,True,41.125291985459626,True,0.0,10.0,105.75662457570434,-64.63133259024471,-10.0,-9.999014861485714,0.0009851385142862767,2626.7145304186906,0.0
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,11,0.0,-0.05,5.0,1.5707963267948966,False,PASS,True,589.6716455337591,True,-0.025,0.0,254.98918251413852,334.6824630196206,0.0,0.0004073195728415513,0.0004073195728415513,2637.019444352031,0.0
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,21,-3.0,0.05,25.0,3.141592653589793,True,PASS,False,1174.302165181376,True,0.05,10.0,169.80231916939374,1004.4998460119823,-3.0,-2.9999330352005464,6.69647994535616e-05,2633.6786061023136,0.0
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,24,-6.0,-0.1,50.0,4.71238898038469,True,PASS,True,492.96242566779256,True,-0.1,50.0,-19.47779954923317,512.4402252170257,-6.0,-5.999005169018497,0.000994830981502659,2632.159610298063,0.0
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,27,-10.0,0.1,-5.0,0.0,False,PASS,True,565.5732303648256,True,0.125,-5.0,-21.28656129736919,586.8597916621948,-10.0,-9.997769789502428,0.002230210497572216,2631.138487467225,0.0
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,10,0.0,-0.25,-25.0,1.5707963267948966,True,PASS,True,621.7492891009897,True,-0.225,-20.0,52.319876509485766,569.4294125915039,0.0,0.0004076786534044115,0.0004076786534044115,2636.921492659071,0.0
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,11,-3.0,0.25,-50.0,3.141592653589793,True,PASS,True,603.486022782512,True,0.25,-40.0,294.034779949463,309.45124283304904,-3.0,-3.0002564993362717,-0.0002564993362716983,2633.782839044375,0.0
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,21,-6.0,0.0,0.0,4.71238898038469,False,PASS,False,82.46645898325369,True,0.35,-15.0,166.7645788290538,-84.2981198458001,-6.0,-6.000261772587292,-0.00026177258729198627,2632.1027049964773,0.0
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,24,-10.0,-0.05,5.0,0.0,False,PASS,True,593.9623517948203,True,-0.05,5.0,-19.52494034508709,613.4872921399074,-10.0,-9.998754579445722,0.0012454205542784536,2631.167511368775,0.0
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,27,0.0,0.05,25.0,1.5707963267948966,True,PASS,False,1134.847412421368,True,0.0,-15.0,-21.25989757408388,1156.107309995452,0.0,-0.0007638862162224129,-0.0007638862162224129,2636.815160973539,0.0
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,10,-3.0,-0.1,50.0,3.141592653589793,True,PASS,True,435.6367818438448,True,-0.1,55.0,84.43352766847238,351.2032541753724,-3.0,-2.999312122473334,0.000687877526666103,2633.7030421721993,0.0
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,11,-6.0,0.1,-5.0,4.71238898038469,True,PASS,True,740.5459169968963,True,0.075,5.0,192.86858247430064,547.6773345225956,-6.0,-5.99908057121792,0.0009194287820797342,2632.1327595295525,0.0
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,21,-10.0,-0.25,-25.0,0.0,False,PASS,False,1127.750945225358,True,-0.225,-10.0,306.1781261068536,821.5728191185044,-10.0,-10.002142654393264,-0.0021426543932641096,2631.1349074940977,0.0
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,24,0.0,0.25,-50.0,1.5707963267948966,True,PASS,True,668.8013573661447,True,0.2,-50.0,-20.274954450316727,689.0763118164614,0.0,-0.00022776215864732993,-0.00022776215864732993,2637.1757289576963,0.0
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,27,-3.0,0.0,0.0,3.141592653589793,False,PASS,False,53.98316639335826,True,-0.3,75.0,-21.71656669001095,75.69973308336921,-3.0,-2.999957163783742,4.283621625811307e-05,2643.3939244783583,0.0
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,10,-6.0,-0.05,5.0,4.71238898038469,False,PASS,False,230.0665558394976,True,-0.05,20.0,101.47426389530301,128.59229194419459,-6.0,-5.999141027364571,0.0008589726354291116,2632.1112046184776,0.0
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,11,-10.0,0.05,25.0,0.0,False,PASS,True,589.9827598622069,True,0.05,15.0,275.6442336899927,314.3385261722142,-10.0,-10.001176218710807,-0.0011762187108068645,2631.157194999073,0.0
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,21,0.0,-0.1,50.0,1.5707963267948966,True,PASS,True,766.7754144989885,True,-0.075,50.0,163.4782170044491,603.2971974945394,0.0,0.0004036863681652138,0.0004036863681652138,2636.9052855093687,0.0
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,24,-3.0,0.1,-5.0,3.141592653589793,True,PASS,True,677.7940913196653,True,0.1,-5.0,-19.6799879623577,697.474079282023,-3.0,-2.9994939040032187,0.0005060959967813083,2633.8476662726043,0.0
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,27,-6.0,-0.25,-25.0,4.71238898038469,True,PASS,True,777.6765224463306,True,-0.25,-25.0,-21.373978245421313,799.050500691752,-6.0,-6.0025962817431635,-0.002596281743163509,2632.0910362747222,0.0
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,10,-10.0,0.25,-50.0,0.0,False,PASS,True,434.51811899384484,True,0.25,-45.0,173.91296199709177,260.60515699675307,-10.0,-9.999013770340426,0.0009862296595741782,2631.14882021807,0.0
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,11,0.0,0.0,0.0,1.5707963267948966,False,PASS,False,77.66108531225473,True,-0.35,-60.0,222.09457154781558,-144.43348623556085,0.0,0.00040541545815350353,0.00040541545815350353,2637.0465910392268,0.0
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,21,-3.0,-0.05,5.0,3.141592653589793,False,PASS,False,1067.2206777194515,True,-0.05,-10.0,137.26443214784376,929.9562455716077,-3.0,-2.999932305568552,6.769443144793996e-05,2633.7046224799437,0.0
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,24,-6.0,0.05,25.0,4.71238898038469,True,PASS,True,465.4319787286222,True,0.05,25.0,-19.747040294110775,485.179019022733,-6.0,-5.999003819925232,0.0009961800747682048,2632.1861451604327,0.0
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,27,-10.0,-0.1,50.0,0.0,False,PASS,True,782.8310689590871,True,-0.1,50.0,-21.40019021660555,804.2312591756927,-10.0,-9.997773966135203,0.002226033864797472,2631.1267069175537,0.0
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,10,0.0,0.1,-5.0,1.5707963267948966,True,PASS,False,398.70517294248566,True,-0.025,5.0,107.74358730518725,290.9615856372984,0.0,0.0004069212871958603,0.0004069212871958603,2636.9459053887967,0.0
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,11,-3.0,-0.25,-25.0,3.141592653589793,True,PASS,True,619.4775403100066,True,-0.25,-35.0,417.9833246959606,201.49421561404597,-3.0,-3.0002574407083635,-0.00025744070836353217,2633.773857970595,0.0
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,21,-6.0,0.25,-50.0,4.71238898038469,True,PASS,False,1096.9154452681541,True,0.225,-35.0,166.05940504791215,930.856040220242,-6.0,-6.000261955669969,-0.0002619556699690051,2632.083761454056,0.0
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,3,-10.0,0.0,0.0,0.0,False,PASS,False,31.212689597625285,True,-0.15,65.0,300.8750668533612,-269.6623772557359,-10.0,-10.0009404189388,-0.0009404189388000361,2357.2809813415197,0.0
TEXBAT.cleanStatic.single.01,TEXBAT.cleanStatic,13,0.0,-0.05,5.0,1.5707963267948966,False,PASS,True,450.99216175975744,True,0.0,0.0,-15.318819137755781,466.3109808975132,0.0,0.00021459157819390492,0.00021459157819390492,2370.8631147815313,0.0
TEXBAT.cleanStatic.single.02,TEXBAT.cleanStatic,16,-3.0,0.05,25.0,3.141592653589793,True,PASS,True,2624.942781439051,True,0.05,25.0,-21.64291015267372,2646.5856915917248,-3.0,-2.999294273899781,0.0007057261002190174,2364.8301985688145,0.0
TEXBAT.cleanStatic.single.03,TEXBAT.cleanStatic,19,-6.0,-0.1,50.0,4.71238898038469,True,PASS,True,994.2935716644861,True,-0.1,40.0,49.118083842564374,945.1754878219217,-6.0,-5.998501390949903,0.0014986090500972438,2362.569433899511,0.0
TEXBAT.cleanStatic.single.04,TEXBAT.cleanStatic,30,-10.0,0.1,-5.0,0.0,False,PASS,True,602.408575413283,True,0.1,-15.0,268.45596916018985,333.9526062530931,-10.0,-9.998304480646437,0.0016955193535626023,2361.555994041881,0.0
TEXBAT.cleanStatic.single.05,TEXBAT.cleanStatic,3,0.0,-0.25,-25.0,1.5707963267948966,True,PASS,False,295.70906730846036,True,-0.225,-10.0,187.2524975326378,108.45656977582257,0.0,6.512427123784847e-05,6.512427123784847e-05,2368.5362741244244,0.0
TEXBAT.cleanStatic.single.06,TEXBAT.cleanStatic,13,-3.0,0.25,-50.0,3.141592653589793,True,PASS,True,360.72149603255093,True,0.25,-60.0,3.3708059291820973,357.35069010336883,-3.0,-2.99967952434909,0.00032047565091009034,2366.175048706832,0.0
TEXBAT.cleanStatic.single.07,TEXBAT.cleanStatic,16,-6.0,0.0,0.0,4.71238898038469,False,PASS,True,28.840245556086302,True,0.0,0.0,-20.811261465074494,49.651507021160796,-6.0,-6.000049413900957,-4.941390095680731e-05,2363.145079883446,0.0
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,19,-10.0,-0.05,5.0,0.0,False,PASS,True,822.6774224909022,True,-0.05,15.0,-9.511971877189353,832.1893943680916,-10.0,-9.997701210928899,0.0022987890711014813,2361.8980891832675,0.0
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,30,0.0,0.05,25.0,1.5707963267948966,True,PASS,False,392.4159767529927,True,0.0,0.0,155.07069223443978,237.34528451855294,0.0,0.0014935623484715191,0.0014935623484715191,2362.501933249122,0.0
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,3,-3.0,-0.1,50.0,3.141592653589793,True,PASS,True,597.0405139625072,True,-0.1,40.0,-12.946357938461006,609.9868719009683,-3.0,-2.999438433139769,0.0005615668602310109,2364.991923300929,0.0
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,13,-6.0,0.1,-5.0,4.71238898038469,True,PASS,True,299.06237457925454,True,0.125,5.0,-14.650405022548512,313.71277960180305,-6.0,-5.999059066829807,0.0009409331701926149,2363.823735620307,0.0
