case_id,dataset,target_prn,strong_resolvable,target_delta_bic,median_nontarget_delta_bic,target_minus_median_nontarget_delta_bic
OAKBAT.cleanStatic.single.00,OAKBAT.cleanStatic,10,False,41.125291985459626,105.75662457570434,-64.63133259024471
OAKBAT.cleanStatic.single.01,OAKBAT.cleanStatic,11,False,589.6716455337591,254.98918251413852,334.6824630196206
OAKBAT.cleanStatic.single.02,OAKBAT.cleanStatic,21,True,1174.302165181376,169.80231916939374,1004.4998460119823
OAKBAT.cleanStatic.single.03,OAKBAT.cleanStatic,24,True,492.96242566779256,-19.47779954923317,512.4402252170257
OAKBAT.cleanStatic.single.04,OAKBAT.cleanStatic,27,False,565.5732303648256,-21.28656129736919,586.8597916621948
OAKBAT.cleanStatic.single.05,OAKBAT.cleanStatic,10,True,621.7492891009897,52.319876509485766,569.4294125915039
OAKBAT.cleanStatic.single.06,OAKBAT.cleanStatic,11,True,603.486022782512,294.034779949463,309.45124283304904
OAKBAT.cleanStatic.single.07,OAKBAT.cleanStatic,21,False,82.46645898325369,166.7645788290538,-84.2981198458001
OAKBAT.cleanStatic.single.08,OAKBAT.cleanStatic,24,False,593.9623517948203,-19.52494034508709,613.4872921399074
OAKBAT.cleanStatic.single.09,OAKBAT.cleanStatic,27,True,1134.847412421368,-21.25989757408388,1156.107309995452
OAKBAT.cleanStatic.single.10,OAKBAT.cleanStatic,10,True,435.6367818438448,84.43352766847238,351.2032541753724
OAKBAT.cleanStatic.single.11,OAKBAT.cleanStatic,11,True,740.5459169968963,192.86858247430064,547.6773345225956
OAKBAT.cleanStatic.single.12,OAKBAT.cleanStatic,21,False,1127.750945225358,306.1781261068536,821.5728191185044
OAKBAT.cleanStatic.single.13,OAKBAT.cleanStatic,24,True,668.8013573661447,-20.274954450316727,689.0763118164614
OAKBAT.cleanStatic.single.14,OAKBAT.cleanStatic,27,False,53.98316639335826,-21.71656669001095,75.69973308336921
OAKBAT.cleanStatic.single.15,OAKBAT.cleanStatic,10,False,230.0665558394976,101.47426389530301,128.59229194419459
OAKBAT.cleanStatic.single.16,OAKBAT.cleanStatic,11,False,589.9827598622069,275.6442336899927,314.3385261722142
OAKBAT.cleanStatic.single.17,OAKBAT.cleanStatic,21,True,766.7754144989885,163.4782170044491,603.2971974945394
OAKBAT.cleanStatic.single.18,OAKBAT.cleanStatic,24,True,677.7940913196653,-19.6799879623577,697.474079282023
OAKBAT.cleanStatic.single.19,OAKBAT.cleanStatic,27,True,777.6765224463306,-21.373978245421313,799.050500691752
OAKBAT.cleanStatic.single.20,OAKBAT.cleanStatic,10,False,434.51811899384484,173.91296199709177,260.60515699675307
OAKBAT.cleanStatic.single.21,OAKBAT.cleanStatic,11,False,77.66108531225473,222.09457154781558,-144.43348623556085
OAKBAT.cleanStatic.single.22,OAKBAT.cleanStatic,21,False,1067.2206777194515,137.26443214784376,929.9562455716077
OAKBAT.cleanStatic.single.23,OAKBAT.cleanStatic,24,True,465.4319787286222,-19.747040294110775,485.179019022733
OAKBAT.cleanStatic.single.24,OAKBAT.cleanStatic,27,False,782.8310689590871,-21.40019021660555,804.2312591756927
OAKBAT.cleanStatic.single.25,OAKBAT.cleanStatic,10,True,398.70517294248566,107.74358730518725,290.9615856372984
OAKBAT.cleanStatic.single.26,OAKBAT.cleanStatic,11,True,619.4775403100066,417.9833246959606,201.49421561404597
OAKBAT.cleanStatic.single.27,OAKBAT.cleanStatic,21,True,1096.9154452681541,166.05940504791215,930.856040220242
TEXBAT.cleanStatic.single.00,TEXBAT.cleanStatic,3,False,31.212689597625285,300.8750668533612,-269.6623772557359
TEXBAT.cleanStatic.single.01,TEXBAT.cleanStatic,13,False,450.99216175975744,-15.318819137755781,466.3109808975132
TEXBAT.cleanStatic.single.02,TEXBAT.cleanStatic,16,True,2624.942781439051,-21.64291015267372,2646.5856915917248
TEXBAT.cleanStatic.single.03,TEXBAT.cleanStatic,19,True,994.2935716644861,49.118083842564374,945.1754878219217
TEXBAT.cleanStatic.single.04,TEXBAT.cleanStatic,30,False,602.408575413283,268.45596916018985,333.9526062530931
TEXBAT.cleanStatic.single.05,TEXBAT.cleanStatic,3,True,295.70906730846036,187.2524975326378,108.45656977582257
TEXBAT.cleanStatic.single.06,TEXBAT.cleanStatic,13,True,360.72149603255093,3.3708059291820973,357.35069010336883
TEXBAT.cleanStatic.single.07,TEXBAT.cleanStatic,16,False,28.840245556086302,-20.811261465074494,49.651507021160796
TEXBAT.cleanStatic.single.08,TEXBAT.cleanStatic,19,False,822.6774224909022,-9.511971877189353,832.1893943680916
TEXBAT.cleanStatic.single.09,TEXBAT.cleanStatic,30,True,392.4159767529927,155.07069223443978,237.34528451855294
TEXBAT.cleanStatic.single.10,TEXBAT.cleanStatic,3,True,597.0405139625072,-12.946357938461006,609.9868719009683
TEXBAT.cleanStatic.single.11,TEXBAT.cleanStatic,13,True,299.06237457925454,-14.650405022548512,313.71277960180305
