case_id,prn,is_target,clean_baseline_delta_bic,target_delta_bic,baseline_tap_residual
TEXBAT.cleanStatic.four.03,3,True,-17.051003775093704,220.73708653068752,5774679.9854202345
TEXBAT.cleanStatic.four.03,13,True,-16.795781807799358,408.33289778459584,4884935.964270423
TEXBAT.cleanStatic.four.03,16,True,-17.22121772749233,578.2481107233325,4158983.612739657
TEXBAT.cleanStatic.four.03,19,False,-873550.3948588837,-20.30489041050896,289762.796744835
TEXBAT.cleanStatic.four.03,30,True,-7826.250528224264,232.7737242549265,1550696.1629697273
TEXBAT.cleanStatic.four.07,3,True,-21.672460350207984,963.0790659103077,6116923.756392
TEXBAT.cleanStatic.four.07,13,True,-327238.6348646539,586.6830189770553,6929206.136233678
TEXBAT.cleanStatic.four.07,16,False,-23.173805175349116,-20.963250106666237,246946.0091869636
TEXBAT.cleanStatic.four.07,19,True,-290829.3707669219,456.70274488977157,4879375.890030591
TEXBAT.cleanStatic.four.07,30,True,-21.023107554297894,335.3515116365161,2436462.5058772326
TEXBAT.cleanStatic.four.01,3,True,-23.136256113648415,568.2297811373137,2113490.942041271
TEXBAT.cleanStatic.four.01,13,False,-23.0259854439646,388.865618259646,142011.27958038807
TEXBAT.cleanStatic.four.01,16,True,-23.12688991520554,2679.7197842099704,2059939.2807663772
TEXBAT.cleanStatic.four.01,19,True,-23.15156550053507,1020.4842760385945,1675800.5803123731
TEXBAT.cleanStatic.four.01,30,True,-22.832768531516194,453.0075985584408,829407.8249699177
TEXBAT.cleanStatic.four.02,3,True,-1192352.1953147706,586.089731533546,2986655.098165236
TEXBAT.cleanStatic.four.02,13,True,-22.936711207032204,334.570200660266,3440733.316885306
TEXBAT.cleanStatic.four.02,16,False,-537073.4985959688,-18.982838242780417,175826.02199318664
TEXBAT.cleanStatic.four.02,19,True,-23.05639937799424,1044.4840586762875,2367942.011820339
TEXBAT.cleanStatic.four.02,30,True,-22.8021973320283,438.7040833211504,1165659.2258117124
TEXBAT.cleanStatic.four.05,3,False,-23.077235500328243,253.85802388750017,141423.28322747257
TEXBAT.cleanStatic.four.05,13,True,-22.896337655372918,238.34511572914198,2112814.1478617783
TEXBAT.cleanStatic.four.05,16,True,-23.09534136392176,2848.339231071528,1789035.982038417
TEXBAT.cleanStatic.four.05,19,True,-23.092581783421338,1042.533945393283,1456437.3421667218
TEXBAT.cleanStatic.four.05,30,True,-1195848.4480934255,443.0167867904529,730515.8442890862
OAKBAT.cleanStatic.four.03,10,True,-22.757408580742776,401.63940852321684,859816.700815351
OAKBAT.cleanStatic.four.03,11,True,-22.7805090053007,320.37174671981484,867153.2275976599
OAKBAT.cleanStatic.four.03,21,True,-22.345703701954335,697.5076181772165,870013.9002585544
OAKBAT.cleanStatic.four.03,24,False,-23.17226624954492,-19.934764995239675,48360.479897768986
OAKBAT.cleanStatic.four.03,27,True,-22.829514334909618,322.5254918518476,849172.562794037
OAKBAT.cleanStatic.four.07,10,True,-22.963847612030804,545.2825989602134,1268892.9034711847
OAKBAT.cleanStatic.four.07,11,True,-22.998900121077895,415.0731624774635,1277268.5102255344
OAKBAT.cleanStatic.four.07,21,False,-22.66498045157641,177.9066530414857,56593.286600883584
OAKBAT.cleanStatic.four.07,24,True,-22.937965878285468,487.90170515095815,1303727.4175540565
OAKBAT.cleanStatic.four.07,27,True,-1428478.997994802,281.31975184287876,1257917.0223147622
