hypothesis,metric,failure_median,success_median,median_difference,cliffs_delta,roc_auc_failure_larger
H3,original_projection_ratio,0.01280782396354765,0.0011005798830021874,0.011707244080545463,0.7,0.85
H3,oracle_projection_ratio,0.010616073462673625,0.0009742763939921727,0.009641797068681453,0.8125,0.90625
H3,original_delta_bic,432.5178213371837,470.4546518546995,-37.93683051751577,-0.2125,0.39375
H3,oracle_delta_bic,201.84965056739748,79.13995396066457,122.7096966067329,0.2375,0.61875
H3,oracle_original_projection_gain,0.0010385572004286288,-2.9703297790721264e-06,0.0010415275302077009,0.0,0.5
H3,oracle_original_delta_bic_gain,-187.90116411424606,-344.9491018531844,157.04793773893834,0.25,0.625
H4,lock_loss_fraction,0.8701067615658362,0.6248523929208525,0.24525436864498373,0.2375,0.61875
H4,common_support_loss_fraction,0.6647394520957739,0.04441666666666667,0.6203227854291072,1.0,1.0
H4,cn0_change_db,-15.191207885742188,-10.930085182189941,-4.261122703552246,-0.5625,0.21875
H4,tracking_session_count,1.0,1.0,0.0,0.0,0.5
H4,reacquisition_count,0.5,0.0,0.5,0.11875,0.559375
H4,valid_epoch_fraction,0.1298932384341637,0.3751476070791474,-0.2452543686449837,-0.2375,0.38125
H4,continuous_valid_run_seconds,0.005,0.0695,-0.0645,-0.4,0.3
