method,aggregator,quantile,metric,value,numerator,denominator
B0,median,0.99,mean_attack_pauc,0.9476365128317177,4.738182564158588,5
B0,median,0.995,mean_attack_pauc,0.9476365128317177,4.738182564158588,5
B0,top25_mean,0.99,mean_attack_pauc,0.7310846906738278,3.655423453369139,5
B0,top25_mean,0.995,mean_attack_pauc,0.7310846906738278,3.655423453369139,5
total,median,0.99,mean_attack_pauc,0.9439641158381475,4.7198205791907375,5
total,median,0.995,mean_attack_pauc,0.9439641158381475,4.7198205791907375,5
total,top25_mean,0.99,mean_attack_pauc,0.767781300072539,3.838906500362695,5
total,top25_mean,0.995,mean_attack_pauc,0.767781300072539,3.838906500362695,5
amp_only,median,0.99,mean_attack_pauc,0.9300830530965479,4.6504152654827395,5
amp_only,median,0.995,mean_attack_pauc,0.9300830530965479,4.6504152654827395,5
amp_only,top25_mean,0.99,mean_attack_pauc,0.8924215105465055,4.462107552732528,5
amp_only,top25_mean,0.995,mean_attack_pauc,0.8924215105465055,4.462107552732528,5
shift_only,median,0.99,mean_attack_pauc,0.6808629721209997,3.404314860604998,5
shift_only,median,0.995,mean_attack_pauc,0.6808629721209997,3.404314860604998,5
shift_only,top25_mean,0.99,mean_attack_pauc,0.651166194899091,3.255830974495455,5
shift_only,top25_mean,0.995,mean_attack_pauc,0.651166194899091,3.255830974495455,5
amp_shift,median,0.99,mean_attack_pauc,0.9389304148470844,4.694652074235422,5
amp_shift,median,0.995,mean_attack_pauc,0.9389304148470844,4.694652074235422,5
amp_shift,top25_mean,0.99,mean_attack_pauc,0.8192732134421883,4.096366067210941,5
amp_shift,top25_mean,0.995,mean_attack_pauc,0.8192732134421883,4.096366067210941,5
amp_shift_width,median,0.99,mean_attack_pauc,0.9321120630277303,4.660560315138651,5
amp_shift_width,median,0.995,mean_attack_pauc,0.9321120630277303,4.660560315138651,5
amp_shift_width,top25_mean,0.99,mean_attack_pauc,0.836015242975102,4.18007621487551,5
amp_shift_width,top25_mean,0.995,mean_attack_pauc,0.836015242975102,4.18007621487551,5
TOPI,median,0.99,mean_attack_pauc,0.944506886116449,4.722534430582245,5
TOPI,median,0.995,mean_attack_pauc,0.944506886116449,4.722534430582245,5
TOPI,top25_mean,0.99,mean_attack_pauc,0.7385795624806513,3.692897812403256,5
TOPI,top25_mean,0.995,mean_attack_pauc,0.7385795624806513,3.692897812403256,5
NC_TOPI,median,0.99,mean_attack_pauc,0.9796517609501144,4.898258804750572,5
NC_TOPI,median,0.995,mean_attack_pauc,0.9796517609501144,4.898258804750572,5
NC_TOPI,top25_mean,0.99,mean_attack_pauc,0.840165085782834,4.20082542891417,5
NC_TOPI,top25_mean,0.995,mean_attack_pauc,0.840165085782834,4.20082542891417,5
NC_TOPI_time_shuffle,median,0.99,mean_attack_pauc,0.9382087903426601,4.691043951713301,5
NC_TOPI_time_shuffle,median,0.995,mean_attack_pauc,0.9382087903426601,4.691043951713301,5
NC_TOPI_time_shuffle,top25_mean,0.99,mean_attack_pauc,0.830052118062721,4.1502605903136045,5
NC_TOPI_time_shuffle,top25_mean,0.995,mean_attack_pauc,0.830052118062721,4.1502605903136045,5
NC_TOPI_conditioning_removed,median,0.99,mean_attack_pauc,0.944506886116449,4.722534430582245,5
NC_TOPI_conditioning_removed,median,0.995,mean_attack_pauc,0.944506886116449,4.722534430582245,5
NC_TOPI_conditioning_removed,top25_mean,0.99,mean_attack_pauc,0.7385795624806513,3.692897812403256,5
NC_TOPI_conditioning_removed,top25_mean,0.995,mean_attack_pauc,0.7385795624806513,3.692897812403256,5
