scenario,physical_recording_id,block_recording_id,event_id,window_bin_s,target_source_start_s,history_blocks,cadence_seconds,block_end_s,block_start_s,sample_offset,sample_count,block_features_json,context_features_json,linked_prns,linked_pair_count,history_reducer
cleanStatic,cleanStatic,cleanStatic,cleanStatic@6.5,6.5,6.04025756,4,0.5,4.5099999999999998;5.0099999999999998;5.5099999999999998;6.0099999999999998,4.5;5;5.5;6,112500000;125000000;137500000;150000000,250000;250000;250000;250000,"[[15.523795024571209,7.230166737765153,0.38619952346080894,0.22374289358104638],[15.526953063686712,7.230095767008297,0.3863389657594702,0.22543032761250079],[15.526588916803693,7.2307543503372615,0.3870151155269716,0.22261846543268785],[15.538686964843569,7.238413295310119,0.3912492847262456,0.2232381694068282]]","[15.529005992476295,7.232357537605207,0.3877007223683741,0.2237574640082658]",G03;G06;G07;G13;G16;G19;G23,7,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@7,7.0,6.54025756,4,0.5,5.0099999999999998;5.5099999999999998;6.0099999999999998;6.5099999999999998,5;5.5;6;6.5,125000000;137500000;150000000;162500000,250000;250000;250000;250000,"[[15.526953063686712,7.230095767008297,0.3863389657594702,0.22543032761250079],[15.526588916803693,7.2307543503372615,0.3870151155269716,0.22261846543268785],[15.538686964843569,7.238413295310119,0.3912492847262456,0.2232381694068282],[15.536176729680692,7.23250152649576,0.38670067182250567,0.22461815103522964]]","[15.532101418753665,7.232941234787859,0.38782600945879825,0.2239762783718116]",G03;G06;G07;G13;G16;G19;G23,7,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@7.5,7.5,6.78039548,4,0.5,5.0099999999999998;5.5099999999999998;6.0099999999999998;6.5099999999999998,5;5.5;6;6.5,125000000;137500000;150000000;162500000,250000;250000;250000;250000,"[[15.526953063686712,7.230095767008297,0.3863389657594702,0.22543032761250079],[15.526588916803693,7.2307543503372615,0.3870151155269716,0.22261846543268785],[15.538686964843569,7.238413295310119,0.3912492847262456,0.2232381694068282],[15.536176729680692,7.23250152649576,0.38670067182250567,0.22461815103522964]]","[15.532101418753665,7.232941234787859,0.38782600945879825,0.2239762783718116]",G03;G06;G07;G10;G13;G16;G19;G23,8,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@8,8.0,7.28039548,4,0.5,5.5099999999999998;6.0099999999999998;6.5099999999999998;7.0099999999999998,5.5;6;6.5;7,137500000;150000000;162500000;175000000,250000;250000;250000;250000,"[[15.526588916803693,7.2307543503372615,0.3870151155269716,0.22261846543268785],[15.538686964843569,7.238413295310119,0.3912492847262456,0.2232381694068282],[15.536176729680692,7.23250152649576,0.38670067182250567,0.22461815103522964],[15.53851023285079,7.23639699855254,0.3891233572006147,0.2231448740611514]]","[15.534990711044685,7.23451654267392,0.3885221073190844,0.2234049149839743]",G03;G06;G07;G10;G13;G16;G19;G23,8,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@8.5,8.5,7.78039548,4,0.5,6.0099999999999998;6.5099999999999998;7.0099999999999998;7.5099999999999998,6;6.5;7;7.5,150000000;162500000;175000000;187500000,250000;250000;250000;250000,"[[15.538686964843569,7.238413295310119,0.3912492847262456,0.2232381694068282],[15.536176729680692,7.23250152649576,0.38670067182250567,0.22461815103522964],[15.53851023285079,7.23639699855254,0.3891233572006147,0.2231448740611514],[15.528817043613913,7.231891593578408,0.3877682465911003,0.22336994214437245]]","[15.53554774274724,7.234800853484207,0.3887103900851166,0.22359278416189543]",G03;G06;G07;G10;G13;G16;G19;G23,8,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@9,9.0,8.28039548,4,0.5,6.5099999999999998;7.0099999999999998;7.5099999999999998;8.0099999999999998,6.5;7;7.5;8,162500000;175000000;187500000;200000000,250000;250000;250000;250000,"[[15.536176729680692,7.23250152649576,0.38670067182250567,0.22461815103522964],[15.53851023285079,7.23639699855254,0.3891233572006147,0.2231448740611514],[15.528817043613913,7.231891593578408,0.3877682465911003,0.22336994214437245],[15.536714293425673,7.235980830366007,0.38519569710716384,0.22275811440500956]]","[15.535054574892767,7.234192737248178,0.38719699318034617,0.22347277041144079]",G03;G06;G07;G10;G13;G16;G19;G23;G30,9,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@9.5,9.5,8.78039548,4,0.5,7.0099999999999998;7.5099999999999998;8.0099999999999998;8.5099999999999998,7;7.5;8;8.5,175000000;187500000;200000000;212500000,250000;250000;250000;250000,"[[15.53851023285079,7.23639699855254,0.3891233572006147,0.2231448740611514],[15.528817043613913,7.231891593578408,0.3877682465911003,0.22336994214437245],[15.536714293425673,7.235980830366007,0.38519569710716384,0.22275811440500956],[15.538151579521019,7.236806639321161,0.3866256822175179,0.22426218160992803]]","[15.53554828735285,7.235269015454529,0.3871782457790992,0.22338377805511536]",G03;G06;G07;G10;G13;G16;G19;G23;G30,9,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@10,10.0,9.28039548,4,0.5,7.5099999999999998;8.0099999999999998;8.5099999999999998;9.0099999999999998,7.5;8;8.5;9,187500000;200000000;212500000;225000000,250000;250000;250000;250000,"[[15.528817043613913,7.231891593578408,0.3877682465911003,0.22336994214437245],[15.536714293425673,7.235980830366007,0.38519569710716384,0.22275811440500956],[15.538151579521019,7.236806639321161,0.3866256822175179,0.22426218160992803],[15.536684981710938,7.237749134575321,0.38544663787037337,0.22215800512938244]]","[15.535091974567887,7.235607049460223,0.38625906594653886,0.22313706082217313]",G03;G06;G07;G10;G13;G16;G19;G23;G30,9,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@10.5,10.5,9.78039548,4,0.5,8.0099999999999998;8.5099999999999998;9.0099999999999998;9.5099999999999998,8;8.5;9;9.5,200000000;212500000;225000000;237500000,250000;250000;250000;250000,"[[15.536714293425673,7.235980830366007,0.38519569710716384,0.22275811440500956],[15.538151579521019,7.236806639321161,0.3866256822175179,0.22426218160992803],[15.536684981710938,7.237749134575321,0.38544663787037337,0.22215800512938244],[15.524397401381995,7.229265152765438,0.38745962054957844,0.22137474591233078]]","[15.533987064009906,7.2349504392569814,0.3861819094361584,0.22263826176416268]",G03;G06;G07;G10;G13;G16;G19;G23;G30,9,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@11,11.0,10.28039548,4,0.5,8.5099999999999998;9.0099999999999998;9.5099999999999998;10.01,8.5;9;9.5;10,212500000;225000000;237500000;250000000,250000;250000;250000;250000,"[[15.538151579521019,7.236806639321161,0.3866256822175179,0.22426218160992803],[15.536684981710938,7.237749134575321,0.38544663787037337,0.22215800512938244],[15.524397401381995,7.229265152765438,0.38745962054957844,0.22137474591233078],[15.542330594302692,7.234368924940204,0.38393642592254024,0.22498916439327998]]","[15.53539113922916,7.234547462900531,0.3858670916400025,0.2231960242612303]",G03;G06;G07;G10;G13;G16;G19;G23;G30,9,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@11.5,11.5,10.78039548,4,0.5,9.0099999999999998;9.5099999999999998;10.01;10.51,9;9.5;10;10.5,225000000;237500000;250000000;262500000,250000;250000;250000;250000,"[[15.536684981710938,7.237749134575321,0.38544663787037337,0.22215800512938244],[15.524397401381995,7.229265152765438,0.38745962054957844,0.22137474591233078],[15.542330594302692,7.234368924940204,0.38393642592254024,0.22498916439327998],[15.537087018149693,7.23751075350469,0.38790603741248814,0.22348686100570309]]","[15.535124998886328,7.234723491446414,0.386187180438745,0.22300219411017408]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@12,12.0,11.28039548,4,0.5,9.5099999999999998;10.01;10.51;11.01,9.5;10;10.5;11,237500000;250000000;262500000;275000000,250000;250000;250000;250000,"[[15.524397401381995,7.229265152765438,0.38745962054957844,0.22137474591233078],[15.542330594302692,7.234368924940204,0.38393642592254024,0.22498916439327998],[15.537087018149693,7.23751075350469,0.38790603741248814,0.22348686100570309],[15.539420240437163,7.238044093418198,0.386583831103819,0.22312868178498027]]","[15.535808813567886,7.234797231157133,0.38647147874710647,0.2232448632740735]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@12.5,12.5,11.78039548,4,0.5,10.01;10.51;11.01;11.51,10;10.5;11;11.5,250000000;262500000;275000000;287500000,250000;250000;250000;250000,"[[15.542330594302692,7.234368924940204,0.38393642592254024,0.22498916439327998],[15.537087018149693,7.23751075350469,0.38790603741248814,0.22348686100570309],[15.539420240437163,7.238044093418198,0.386583831103819,0.22312868178498027],[15.52770393484666,7.227439947443297,0.38696219563276607,0.22304544832832865]]","[15.536635446934053,7.2343409298265975,0.3863471225179034,0.223662538878073]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@13,13.0,12.28039548,4,0.5,10.51;11.01;11.51;12.01,10.5;11;11.5;12,262500000;275000000;287500000;300000000,250000;250000;250000;250000,"[[15.537087018149693,7.23751075350469,0.38790603741248814,0.22348686100570309],[15.539420240437163,7.238044093418198,0.386583831103819,0.22312868178498027],[15.52770393484666,7.227439947443297,0.38696219563276607,0.22304544832832865],[15.5272331776603,7.231548095590185,0.3879994456838493,0.22170252302059348]]","[15.532861092773453,7.233635722489092,0.3873628774582306,0.22284087853490137]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@13.5,13.5,12.78039548,4,0.5,11.01;11.51;12.01;12.51,11;11.5;12;12.5,275000000;287500000;300000000;312500000,250000;250000;250000;250000,"[[15.539420240437163,7.238044093418198,0.386583831103819,0.22312868178498027],[15.52770393484666,7.227439947443297,0.38696219563276607,0.22304544832832865],[15.5272331776603,7.231548095590185,0.3879994456838493,0.22170252302059348],[15.539918800202948,7.23521474115245,0.3888451104798461,0.22565323267249976]]","[15.533569038286767,7.233061719401032,0.3875976457250701,0.22338247145160056]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@14,14.0,13.28039548,4,0.5,11.51;12.01;12.51;13.01,11.5;12;12.5;13,287500000;300000000;312500000;325000000,250000;250000;250000;250000,"[[15.52770393484666,7.227439947443297,0.38696219563276607,0.22304544832832865],[15.5272331776603,7.231548095590185,0.3879994456838493,0.22170252302059348],[15.539918800202948,7.23521474115245,0.3888451104798461,0.22565323267249976],[15.525707699248883,7.228359095588732,0.385149851141644,0.22131176025368868]]","[15.530140902989697,7.230640469943666,0.38723915073452636,0.22292824106877765]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
cleanStatic,cleanStatic,cleanStatic,cleanStatic@14.5,14.5,13.78039548,4,0.5,12.01;12.51;13.01;13.51,12;12.5;13;13.5,300000000;312500000;325000000;337500000,250000;250000;250000;250000,"[[15.5272331776603,7.231548095590185,0.3879994456838493,0.22170252302059348],[15.539918800202948,7.23521474115245,0.3888451104798461,0.22565323267249976],[15.525707699248883,7.228359095588732,0.385149851141644,0.22131176025368868],[15.530287262473525,7.23453902782427,0.38898300122747526,0.2237075671698018]]","[15.530786734896413,7.232415240038909,0.3877443521332037,0.22309377077914594]",G03;G06;G07;G10;G13;G16;G19;G20;G23;G30,10,arithmetic_mean_per_feature
