scenario,physical_recording_id,event_id,target_index,availability_time_s,source_start_s,source_end_s,role,phase,label,valid,tracked_prn_count,row_level,prn,prn_target_index,pair_sequence_index,B0,total,amp_only,shift_only,amp_shift,amp_shift_width,TOPI,NC_TOPI,NC_TOPI_time_shuffle,NC_TOPI_conditioning_removed,B0_median,B0_top25_mean,total_median,total_top25_mean,amp_only_median,amp_only_top25_mean,shift_only_median,shift_only_top25_mean,amp_shift_median,amp_shift_top25_mean,amp_shift_width_median,amp_shift_width_top25_mean,TOPI_median,TOPI_top25_mean,NC_TOPI_median,NC_TOPI_top25_mean,NC_TOPI_time_shuffle_median,NC_TOPI_time_shuffle_top25_mean,NC_TOPI_conditioning_removed_median,NC_TOPI_conditioning_removed_top25_mean
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.04056928,6.04056928,7.04056928,normal_train,normal,,True,7,prn,G03,12,18,0.017989591222228332,0.1361648638771662,0.025199762508420386,0.026765924469712214,0.051708589058342136,0.06242826596009138,0.08445627481882399,0.06858479239126573,0.06049199381330973,0.08445627481882399,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.04064176,6.04064176,7.04064176,normal_train,normal,,True,7,prn,G06,12,965,0.029648088219342474,0.2503736478531163,0.008210706213155365,0.10116091708888951,0.10886646291075874,0.13930357460750792,0.14150718494235767,0.11491438524803248,0.10135483449199056,0.14150718494235767,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.04025756,6.04025756,7.04025756,normal_train,normal,,True,7,prn,G07,12,1912,0.03842006314601089,0.5879178289682083,0.1733336239973935,0.01079352521862587,0.18509468663508705,0.22483074459216476,0.4028231423331213,0.3271224269195053,0.28852296748994194,0.4028231423331213,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.08273364,6.08273364,7.08273364,normal_train,normal,,True,7,prn,G13,12,4143,0.02770122231197752,0.39865399405149593,0.08598537081388505,0.0529364212517674,0.1417810557051423,0.14213958797662063,0.25687293834635383,0.20859997892652016,0.18398581077117293,0.25687293834635383,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.08420332,6.08420332,7.08420332,normal_train,normal,,True,7,prn,G16,12,5090,0.022399672152790005,0.1398074040260827,0.01182709289985952,0.0041228246325872055,0.015896518320112404,0.019533680007317887,0.12391088570597027,0.10062487825081844,0.08875144620819371,0.12391088570597027,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.08359512,6.08359512,7.08359512,normal_train,normal,,True,7,prn,G19,12,6055,0.03451118615778224,0.6913437093253603,0.10791035995949876,0.015844953922736275,0.12425521677379935,0.26591829006111367,0.5670884925515612,0.46051813926862756,0.4061783882443071,0.5670884925515612,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.12360144,6.12360144,7.12360144,normal_train,normal,,True,7,prn,G23,12,7938,0.02201708097749049,0.06655589287504107,0.0036113645732892847,0.024646967901091,0.028347598063877395,0.03647454007288711,0.03820829481116373,0.031027984277893696,0.027366775746292787,0.03820829481116373,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@7,1,7.54056928,6.54056928,7.54056928,normal_train,normal,,True,7,prn,G03,13,19,0.015094604712464234,0.23347882511354986,0.008088193105250949,0.0025064695892197063,0.01059224126452099,0.057218458699523383,0.2228865838490288,0.18628168689908828,0.15773980959311246,0.2228865838490288,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@7,1,7.54064176,6.54064176,7.54064176,normal_train,normal,,True,7,prn,G06,13,966,0.017626023138380055,0.0921569560715945,0.003953924995606866,0.00011689281530953572,0.004067767625758113,0.014183887729995829,0.08808918844583635,0.07362220882875976,0.06234189412705907,0.08808918844583635,,,,,,,,,,,,,,,,,,,,
cleanStatic,cleanStatic,cleanStatic@7,1,7.54025756,6.54025756,7.54025756,normal_train,normal,,True,7,prn,G07,13,1913,0.025894820716832717,0.6156974715784965,0.09687701049538576,0.005402564423029227,0.10270094020295428,0.18721807938511625,0.5129965313755425,0.42874657409952277,0.3630544906907272,0.5129965313755425,,,,,,,,,,,,,,,,,,,,
