scenario,method,threshold,threshold_comparison,normal_fpr,normal_fpr_reason,roc_auc,roc_auc_reason,pr_auc,pr_auc_reason,standardized_pauc_max_fpr_0.05,pauc_reason,post_detection_rate,post_detection_reason,three_consecutive_alarm_delay_s,delay_reason,persistent_alarm_ratio,persistent_reason
cleanStatic,B0,0.1077117757998523,strict >,0.03389830508474576,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanStatic,TOPI,2.791986415450573,strict >,0.01694915254237288,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanStatic,NC_TOPI_original,2.531660717784112,strict >,0.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanStatic,IQ_LOW_ONLY,-0.29295328489993194,strict >,0.03389830508474576,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanStatic,IQ_OOD_ONLY,4.2176677782541,strict >,0.025423728813559324,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanStatic,NC_TOPI_clamped,1.8831415464256387,strict >,0.025423728813559324,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanStatic,NC_B0_clamped,1.4292544529575595,strict >,0.03389830508474576,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanStatic,NC_total_clamped,1.7276689232262399,strict >,0.0423728813559322,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,B0,0.1077117757998523,strict >,0.6706586826347305,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,TOPI,2.791986415450573,strict >,0.6706586826347305,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_original,2.531660717784112,strict >,1.0,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_LOW_ONLY,-0.29295328489993194,strict >,0.8862275449101796,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,IQ_OOD_ONLY,4.2176677782541,strict >,0.9880239520958084,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_TOPI_clamped,1.8831415464256387,strict >,0.718562874251497,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_B0_clamped,1.4292544529575595,strict >,0.6766467065868264,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
cleanDynamic,NC_total_clamped,1.7276689232262399,strict >,0.8143712574850299,,,single-class normal diagnostic,,single-class normal diagnostic,,single-class normal diagnostic,,not attack,,not attack,,not attack
