scenario,physical_recording_id,event_id,target_index,availability_time_s,source_start_s,source_end_s,role,phase,label,valid,tracked_prn_count,predicted_TOPI_scale,clamped_TOPI_scale,predicted_B0_scale,clamped_B0_scale,predicted_total_scale,clamped_total_scale,B0,TOPI,NC_TOPI_original,IQ_LOW_ONLY,IQ_OOD_ONLY,NC_TOPI_clamped,NC_B0_clamped,NC_total_clamped,common_iq_scale_equal,original_implementation_denominator
cleanStatic,cleanStatic,cleanStatic@6.5,0,7.12360144,6.04025756,7.12360144,normal_train,normal,,True,7,1.2314140186794453,1.2314140186794453,0.07471392562832893,0.07471392562832893,1.7152105195710887,1.7152105195710887,0.02770122231197752,0.14150718494235767,0.11491438524803248,-0.20816311777274532,0.7545394388614538,0.1149143852480325,0.37076384461150813,0.14597254680768024,True,1.2314140186794453
cleanStatic,cleanStatic,cleanStatic@7,1,7.62360144,6.54025756,7.62360144,normal_train,normal,,True,7,1.1965029282227295,1.1965029282227295,0.07386890398568116,0.07386890398568116,1.659844557226239,1.659844557226239,0.017626023138380055,0.17896502324260444,0.1495734101615922,-0.17940307568693148,0.356938067213504,0.1495734101615922,0.23861221958561488,0.13304307824010056,True,1.1965029282227295
cleanStatic,cleanStatic,cleanStatic@7.5,2,8.12360144,6.78039548,8.12360144,normal_train,normal,,True,8,1.1965029282227295,1.1965029282227295,0.07386890398568116,0.07386890398568116,1.659844557226239,1.659844557226239,0.019084242749389586,0.12569066416552468,0.10504835483539018,-0.17940307568693148,0.356938067213504,0.10504835483539018,0.25835286189015205,0.09451107376052494,True,1.1965029282227295
cleanStatic,cleanStatic,cleanStatic@8,3,8.62360144,7.28039548,8.62360144,normal_train,normal,,True,8,1.213911603060153,1.213911603060153,0.07418311940136009,0.07418311940136009,1.68554543162778,1.68554543162778,0.020307171227407148,0.09168969111299383,0.07553242829366905,-0.19384787537346995,0.47012641149157713,0.07553242829366902,0.27374383001525315,0.08974588091506444,True,1.213911603060153
cleanStatic,cleanStatic,cleanStatic@8.5,4,9.12360144,7.78039548,9.12360144,normal_train,normal,,True,8,1.2069259859796562,1.2069259859796562,0.07417574795176045,0.07417574795176045,1.6785370245028788,1.6785370245028788,0.016042996744743493,0.11336671337922197,0.09393012885309843,-0.18807661958869154,0.4110052884837798,0.09393012885309843,0.2162835857776172,0.08495865244568158,True,1.2069259859796562
cleanStatic,cleanStatic,cleanStatic@9,5,9.62360144,8.28039548,9.62360144,normal_train,normal,,True,9,1.1700580261325164,1.1700580261325164,0.07276253122248498,0.07276253122248498,1.6124674826281042,1.6124674826281042,0.01823885733627617,0.14205307009312623,0.12140685925010514,-0.1570533425649309,0.09727650709389803,0.12140685925010511,0.2506627659846999,0.10009258537229021,True,1.1700580261325164
cleanStatic,cleanStatic,cleanStatic@9.5,6,10.12360144,8.78039548,10.12360144,normal_train,normal,,True,9,1.1691358743871683,1.1691358743871683,0.07284696485265876,0.07284696485265876,1.6174258410381241,1.6174258410381241,0.020033513107721036,0.08986168723238777,0.0768616284907783,-0.1562649070334317,0.09727650709389803,0.0768616284907783,0.27500820587708885,0.11547495400740211,True,1.1691358743871683
cleanStatic,cleanStatic,cleanStatic@10,7,10.62360144,9.28039548,10.62360144,normal_train,normal,,True,9,1.1559881060491923,1.1559881060491923,0.07226421220677534,0.07226421220677534,1.5958669488988209,1.5958669488988209,0.018109929872710206,0.14634971027846275,0.1266013979837911,-0.14495548131247307,0.0891902096625403,0.12660139798379114,0.25060717220428314,0.17199345705061792,True,1.1559881060491923
cleanStatic,cleanStatic,cleanStatic@10.5,8,11.12360144,9.78039548,11.12360144,normal_train,normal,,True,9,1.1830537999825106,1.1830537999825106,0.07259545644438926,0.07259545644438926,1.6285116130823372,1.6285116130823372,0.01886967934378171,0.14082562607787635,0.1190356905830979,-0.16809906154671553,0.20278738738624566,0.11903569058309793,0.2599292058758052,0.15186670717463907,True,1.1830537999825106
cleanStatic,cleanStatic,cleanStatic@11,9,11.62360144,10.28039548,11.62360144,normal_train,normal,,True,9,1.1386674008681317,1.1386674008681317,0.07154996769021689,0.07154996769021689,1.5595023767859157,1.5595023767859157,0.021493288523160597,0.14514172995787444,0.12746630828916053,-0.12985863204851963,0.27446915535750377,0.12746630828916056,0.30039550284939404,0.13190361596080705,True,1.1386674008681317
