namespace,scenario,phase,event_count,predicted_scale_q1,predicted_scale_median,predicted_scale_q99,lower_clamp_hit_ratio,upper_clamp_hit_ratio,iq_only_auc,topi_vs_iq_pearson_correlation,original_nc_iq_low_alarm_overlap,clamp_preserved_direction_ratio,scale_below_clean_q1_highlight
primary,cleanStatic,normal_train,586,1.1120131848275936,1.4006403764298978,1.6518151276633344,0.0,0.5870307167235495,,-0.2374679559401207,,1.0,False
primary,cleanStatic,normal_calibration,157,0.8951824154226214,1.1630844543536325,1.369349963205879,0.006369426751592357,0.006369426751592357,,0.036399881256760996,0.0,1.0,False
primary,cleanStatic,normal_holdout,118,1.2917539521798982,1.5179815719159464,1.8879598854376987,0.0,0.8728813559322034,,-0.2281311730775144,,1.0,False
primary,cleanDynamic,normal_holdout,167,2.5634613685803654e-05,0.14554885825725175,0.18005833544916935,1.0,0.0,,0.15071703228491695,1.0,1.0,False
primary,DS1,stable_pre,97,128947.9830471622,161945.60689452145,243267.44938841753,0.0,1.0,0.045140626563907514,-0.030341517108888976,,1.0,False
primary,DS1,post,721,124639.43164332425,1.3396922130389883e+18,2.1458743521851745e+18,0.0,1.0,0.045140626563907514,-0.851066519395631,0.0,1.0,False
primary,DS1,persistent,641,6.43619961978287e+17,1.3648356039189827e+18,2.2549261085625994e+18,0.0,1.0,0.045140626563907514,-0.05836843588658235,0.0,1.0,False
primary,DS2,stable_pre,97,130510.53424768732,165489.7246240751,215034.83295498736,0.0,1.0,0.9992181165295958,-0.12884708115119456,,1.0,False
primary,DS2,post,712,3.182267178129842e-08,6.309467858855959e-08,126492.69569163489,0.9691011235955056,0.03089887640449438,0.9992181165295958,0.6626889266866628,0.9942363112391931,1.0,False
primary,DS2,persistent,632,4.1413630283402656e-08,6.331425499995427e-08,9.645118281286222e-08,1.0,0.0,0.9992181165295958,0.06021199715573737,1.0,1.0,True
primary,DS3,stable_pre,97,138072.54765899823,162303.3519020482,192937.2981787642,0.0,1.0,0.9698374195038841,-0.20196979942789192,,1.0,False
primary,DS3,post,714,29.959304853989895,46.1474663639038,180778.99287055084,0.0,1.0,0.9698374195038841,0.10274403963133337,0.0,1.0,False
primary,DS3,persistent,634,35.224493711189574,46.092283746352855,77.52496617399359,0.0,1.0,0.9698374195038841,-0.0932878207340261,0.0,1.0,False
primary,DS7,stable_pre,117,1.1120131848275936,1.3837880127550162,1.6518151276633344,0.0,0.5299145299145299,0.9833346729898456,-0.27792896121144145,,1.0,False
primary,DS7,post,319,0.2912345164368933,0.5072452573795664,1.4293791175797967,0.9341692789968652,0.01567398119122257,0.9833346729898456,0.4786960482685497,0.9893992932862191,1.0,False
primary,DS7,persistent,239,0.29068831294770847,0.5479802925969214,0.9163153868385113,0.9832635983263598,0.0,0.9833346729898456,0.7575794146139689,0.9868421052631579,1.0,False
primary,DS8,stable_pre,117,1.1120131848275936,1.3837880127550162,1.6518151276633344,0.0,0.5299145299145299,0.9935718877223055,-0.38217325549060616,,1.0,False
primary,DS8,post,718,0.09119239525302478,0.16063916619601354,1.2526697251848518,0.9805013927576601,0.006963788300835654,0.9935718877223055,0.20628645869849915,1.0,1.0,False
primary,DS8,persistent,638,0.09104855467762571,0.14558850190749267,0.5570287070564083,1.0,0.0,0.9935718877223055,0.08305239431455234,1.0,1.0,True
