budget,clean_residual_variance,delay_chips,doppler_hz,group,index,label,mean_glrt_improvement_contribution,mean_h0_rss_contribution,mean_h1_rss_contribution,stage
3,0.0001830939748271598,0.0,0.0,clean_train,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.13236271947371117,0.2559798412768665,0.12361712180315539,K3
3,0.0005849422997464875,0.25,-100.0,clean_train,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6751713867205044,0.7940394554721807,0.11886806875167642,K3
3,0.0005654000022730033,-0.25,100.0,clean_train,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.9226346322847297,1.0014882368571303,0.07885360457240052,K3
3,0.0001830939748271598,0.0,0.0,clean_selection,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.1806994107544794,0.3080111784495705,0.1273117676950911,K3
3,0.0005849422997464875,0.25,-100.0,clean_selection,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,1.0164101886867098,1.167515570311448,0.15110538162473813,K3
3,0.0005654000022730033,-0.25,100.0,clean_selection,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,1.5984161944204287,1.6561797925579709,0.05776359813754214,K3
3,0.0001830939748271598,0.0,0.0,clean_calibration,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.13551277724136687,0.28545552720516526,0.14994274996379842,K3
3,0.0005849422997464875,0.25,-100.0,clean_calibration,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.7300538728966953,0.8660694882388116,0.13601561534211615,K3
3,0.0005654000022730033,-0.25,100.0,clean_calibration,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.8493680708535849,0.9528312109387441,0.10346314008515921,K3
3,0.0001830939748271598,0.0,0.0,clean_holdout,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.1600265280068599,0.3234381844948906,0.1634116564880306,K3
3,0.0005849422997464875,0.25,-100.0,clean_holdout,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.8248980942554021,0.9712538325521699,0.14635573829676785,K3
3,0.0005654000022730033,-0.25,100.0,clean_holdout,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,1.2005915635262325,1.3097294677078715,0.109137904181639,K3
3,0.0001830939748271598,0.0,0.0,ds3,93,POST_HOC_DIAGNOSTIC,3.163560586184759,4.938938092489259,1.7753775063045,K3
3,0.0005849422997464875,0.25,-100.0,ds3,61,POST_HOC_DIAGNOSTIC,18.504681395865507,19.809190168567813,1.3045087727023057,K3
3,0.0005654000022730033,-0.25,100.0,ds3,125,POST_HOC_DIAGNOSTIC,20.464048183906772,22.061342545665692,1.5972943617589186,K3
3,0.0001830939748271598,0.0,0.0,ds4,93,POST_HOC_DIAGNOSTIC,0.9283235544200498,1.9481718870115532,1.0198483325915035,K3
3,0.0005849422997464875,0.25,-100.0,ds4,61,POST_HOC_DIAGNOSTIC,1.8895475837835771,2.70434127546039,0.8147936916768124,K3
3,0.0005654000022730033,-0.25,100.0,ds4,125,POST_HOC_DIAGNOSTIC,0.9665356821871882,1.8879763069642888,0.921440624777101,K3
3,0.0001830939748271598,0.0,0.0,ds7_ds8,93,POST_HOC_DIAGNOSTIC,0.9290122393641393,1.4589550121669732,0.5299427728028338,K3
3,0.0005849422997464875,0.25,-100.0,ds7_ds8,61,POST_HOC_DIAGNOSTIC,14.194843024172702,14.469981110543902,0.27513808637120124,K3
3,0.0005654000022730033,-0.25,100.0,ds7_ds8,125,POST_HOC_DIAGNOSTIC,5.5451034080641675,6.075373033255819,0.5302696251916514,K3
5,0.0001830939748271598,0.0,0.0,clean_train,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.03361014653404702,0.35279342729647273,0.3191832807624257,K3
5,0.0005849422997464875,0.25,-100.0,clean_train,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.38906148927623774,0.8116931418327595,0.4226316525565219,K3
5,0.0005654000022730033,-0.25,100.0,clean_train,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.41632455430872267,0.9701494705149349,0.5538249162062121,K3
5,0.0012511180291322709,-0.375,-250.0,clean_train,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.2611724588761875,1.0661662069030111,0.8049937480268237,K5_new
5,0.0012122620963386094,0.375,250.0,clean_train,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.38034715665626234,0.9850550867076202,0.6047079300513581,K5_new
5,0.0001830939748271598,0.0,0.0,clean_selection,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.0493177663676873,0.4223057217087586,0.37298795534107126,K3
5,0.0005849422997464875,0.25,-100.0,clean_selection,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6487284678572791,1.219091492818092,0.5703630249608129,K3
5,0.0005654000022730033,-0.25,100.0,clean_selection,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.773613745491102,1.5789477499331364,0.8053340044420347,K3
5,0.0012511180291322709,-0.375,-250.0,clean_selection,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.48597869890015943,1.4455517889841731,0.9595730900840139,K5_new
5,0.0012122620963386094,0.375,250.0,clean_selection,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.3897711841818623,1.168987007432645,0.7792158232507826,K5_new
5,0.0001830939748271598,0.0,0.0,clean_calibration,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.02668137994821168,0.3703469131116377,0.343665533163426,K3
5,0.0005849422997464875,0.25,-100.0,clean_calibration,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.407045785989989,0.8576484830280472,0.45060269703805816,K3
5,0.0005654000022730033,-0.25,100.0,clean_calibration,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.49861459059748753,0.9528615251995748,0.4542469346020872,K3
5,0.0012511180291322709,-0.375,-250.0,clean_calibration,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.3222060837139092,0.8710618489474825,0.5488557652335734,K5_new
5,0.0012122620963386094,0.375,250.0,clean_calibration,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.2489768252972861,0.8461092051455998,0.5971323798483135,K5_new
5,0.0001830939748271598,0.0,0.0,clean_holdout,93,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.025769538703798497,0.4074167899867451,0.3816472512829465,K3
5,0.0005849422997464875,0.25,-100.0,clean_holdout,61,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.3493531000304298,1.0023820642126715,0.6530289641822417,K3
5,0.0005654000022730033,-0.25,100.0,clean_holdout,125,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6287955464038144,1.2886438069888428,0.6598482605850285,K3
5,0.0012511180291322709,-0.375,-250.0,clean_holdout,5,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.6678270810203041,1.593775020959437,0.9259479399391327,K5_new
5,0.0012122620963386094,0.375,250.0,clean_holdout,181,CLEAN_OR_SYNTHETIC_DIAGNOSTIC,0.2794503183615284,1.0049241671615299,0.7254738488000017,K5_new
5,0.0001830939748271598,0.0,0.0,ds3,93,POST_HOC_DIAGNOSTIC,1.4182561089714554,7.305156259984819,5.886900151013363,K3
5,0.0005849422997464875,0.25,-100.0,ds3,61,POST_HOC_DIAGNOSTIC,5.978895918149491,18.60274344287559,12.623847524726095,K3
5,0.0005654000022730033,-0.25,100.0,ds3,125,POST_HOC_DIAGNOSTIC,9.209950170347222,21.538498192272844,12.32854802192562,K3
5,0.0012511180291322709,-0.375,-250.0,ds3,5,POST_HOC_DIAGNOSTIC,-1.0295479284637528,13.140304978702433,14.169852907166183,K5_new
5,0.0012122620963386094,0.375,250.0,ds3,181,POST_HOC_DIAGNOSTIC,-0.14149069279217968,18.025537695932684,18.167028388724862,K5_new
5,0.0001830939748271598,0.0,0.0,ds4,93,POST_HOC_DIAGNOSTIC,0.5569881397361867,2.6663961944865733,2.109408054750387,K3
