budget,final_loss,input_role,mask,median_pairwise_jaccard,seed,synthetic_teacher_spearman
3,0.006370773480545577,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081001,0.9692933401118454
5,0.0062549680719239656,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081001,0.9777539072109156
9,0.005793173421819451,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081001,0.981929252013054
3,0.00620162605158213,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081002,0.9692933401118454
5,0.006155640437829993,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081002,0.9777539072109156
9,0.00597397807788216,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081002,0.981929252013054
3,0.006254417231878421,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081003,0.9692933401118454
5,0.006082189497545578,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081003,0.9777539072109156
9,0.006245703805176901,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081003,0.981929252013054
3,0.00615515385561288,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081004,0.9692933401118454
5,0.005849293260881905,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081004,0.9777539072109156
9,0.0060556458448574125,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081004,0.981929252013054
3,0.006069084127228901,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081005,0.9692933401118454
5,0.005732294488648631,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081005,0.9777539072109156
9,0.006278523913317385,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081005,0.981929252013054
3,0.005836511834217827,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081006,0.9692933401118454
5,0.0059336107049419145,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081006,0.9777539072109156
9,0.006304502474474614,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081006,0.981929252013054
3,0.005762426042720925,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081007,0.9692933401118454
5,0.006227232935118646,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,40,146]",1.0,2026081007,0.979193794381488
9,0.006418862322662578,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081007,0.981929252013054
3,0.005934950895132647,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125]",1.0,2026081008,0.9692933401118454
5,0.006033765748569152,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181]",1.0,2026081008,0.9777539072109156
9,0.0063922070258847575,CLEAN_SYNTHETIC_SELECTION_ONLY,"[93,61,125,5,181,40,146,44,142]",1.0,2026081008,0.981929252013054
