attack_label,attack_metric,budget,mask,number,selection_role,synthetic_teacher_spearman
NOT_USED_FOR_RANKING,,3,"[93,22,162]",0,SYNTHETIC_VALIDATION_ONLY,0.9614985978319693
NOT_USED_FOR_RANKING,,3,"[93,62,126]",1,SYNTHETIC_VALIDATION_ONLY,0.9695852534562212
NOT_USED_FOR_RANKING,,3,"[93,86,186]",2,SYNTHETIC_VALIDATION_ONLY,0.7668186365350871
NOT_USED_FOR_RANKING,,3,"[93,114,169]",3,SYNTHETIC_VALIDATION_ONLY,0.8660325477912437
NOT_USED_FOR_RANKING,,3,"[93,85,91]",4,SYNTHETIC_VALIDATION_ONLY,0.7550721310220793
NOT_USED_FOR_RANKING,,3,"[93,57,89]",5,SYNTHETIC_VALIDATION_ONLY,0.9357582913776232
NOT_USED_FOR_RANKING,,3,"[93,35,160]",6,SYNTHETIC_VALIDATION_ONLY,0.9430025528751277
NOT_USED_FOR_RANKING,,3,"[93,79,115]",7,SYNTHETIC_VALIDATION_ONLY,0.9166177411155026
NOT_USED_FOR_RANKING,,3,"[93,75,168]",8,SYNTHETIC_VALIDATION_ONLY,0.9533015180587217
NOT_USED_FOR_RANKING,,3,"[93,129,131]",9,SYNTHETIC_VALIDATION_ONLY,0.9496192553476448
NOT_USED_FOR_RANKING,,3,"[93,123,183]",10,SYNTHETIC_VALIDATION_ONLY,0.9635802570368063
NOT_USED_FOR_RANKING,,3,"[93,118,168]",11,SYNTHETIC_VALIDATION_ONLY,0.748181008139681
NOT_USED_FOR_RANKING,,3,"[93,3,36]",12,SYNTHETIC_VALIDATION_ONLY,0.8639918876516282
NOT_USED_FOR_RANKING,,3,"[93,8,178]",13,SYNTHETIC_VALIDATION_ONLY,0.9323794217491841
NOT_USED_FOR_RANKING,,3,"[93,116,157]",14,SYNTHETIC_VALIDATION_ONLY,0.961647287775172
NOT_USED_FOR_RANKING,,3,"[93,44,138]",15,SYNTHETIC_VALIDATION_ONLY,0.9691785427292259
NOT_USED_FOR_RANKING,,3,"[93,103,144]",16,SYNTHETIC_VALIDATION_ONLY,0.9573232530298309
NOT_USED_FOR_RANKING,,3,"[93,125,173]",17,SYNTHETIC_VALIDATION_ONLY,0.9338788942278783
NOT_USED_FOR_RANKING,,3,"[93,43,157]",18,SYNTHETIC_VALIDATION_ONLY,0.9617976176809835
NOT_USED_FOR_RANKING,,3,"[93,25,96]",19,SYNTHETIC_VALIDATION_ONLY,0.9590140544795578
NOT_USED_FOR_RANKING,,3,"[93,61,99]",20,SYNTHETIC_VALIDATION_ONLY,0.9465224592879282
NOT_USED_FOR_RANKING,,3,"[93,95,138]",21,SYNTHETIC_VALIDATION_ONLY,0.9284369516375026
NOT_USED_FOR_RANKING,,3,"[93,92,100]",22,SYNTHETIC_VALIDATION_ONLY,0.8726656498898491
NOT_USED_FOR_RANKING,,3,"[93,60,156]",23,SYNTHETIC_VALIDATION_ONLY,0.9576075132153653
NOT_USED_FOR_RANKING,,3,"[93,68,158]",24,SYNTHETIC_VALIDATION_ONLY,0.9236433409318267
NOT_USED_FOR_RANKING,,3,"[93,11,106]",25,SYNTHETIC_VALIDATION_ONLY,0.9756952074826027
NOT_USED_FOR_RANKING,,3,"[93,7,95]",26,SYNTHETIC_VALIDATION_ONLY,0.9599105673723972
NOT_USED_FOR_RANKING,,3,"[93,110,143]",27,SYNTHETIC_VALIDATION_ONLY,0.9316600248181008
NOT_USED_FOR_RANKING,,3,"[93,76,125]",28,SYNTHETIC_VALIDATION_ONLY,0.9417080757225402
NOT_USED_FOR_RANKING,,3,"[93,3,183]",29,SYNTHETIC_VALIDATION_ONLY,0.9657389944842589
NOT_USED_FOR_RANKING,,3,"[93,51,58]",30,SYNTHETIC_VALIDATION_ONLY,0.9322897704599001
NOT_USED_FOR_RANKING,,3,"[93,2,59]",31,SYNTHETIC_VALIDATION_ONLY,0.9412904319114856
NOT_USED_FOR_RANKING,,3,"[93,1,69]",32,SYNTHETIC_VALIDATION_ONLY,0.6656143573259864
NOT_USED_FOR_RANKING,,3,"[93,131,159]",33,SYNTHETIC_VALIDATION_ONLY,0.975271003821113
NOT_USED_FOR_RANKING,,3,"[93,32,106]",34,SYNTHETIC_VALIDATION_ONLY,0.9214004187371193
NOT_USED_FOR_RANKING,,3,"[93,125,131]",35,SYNTHETIC_VALIDATION_ONLY,0.9764419371238335
NOT_USED_FOR_RANKING,,3,"[93,44,135]",36,SYNTHETIC_VALIDATION_ONLY,0.9439843438236274
NOT_USED_FOR_RANKING,,3,"[93,85,181]",37,SYNTHETIC_VALIDATION_ONLY,0.9666010681623125
NOT_USED_FOR_RANKING,,3,"[93,34,92]",38,SYNTHETIC_VALIDATION_ONLY,0.7632260251132941
NOT_USED_FOR_RANKING,,3,"[93,37,164]",39,SYNTHETIC_VALIDATION_ONLY,0.9773832756613148
NOT_USED_FOR_RANKING,,3,"[93,27,80]",40,SYNTHETIC_VALIDATION_ONLY,0.9488730723606169
NOT_USED_FOR_RANKING,,3,"[93,30,155]",41,SYNTHETIC_VALIDATION_ONLY,0.9543707736796935
NOT_USED_FOR_RANKING,,3,"[93,157,186]",42,SYNTHETIC_VALIDATION_ONLY,0.95667656110774
NOT_USED_FOR_RANKING,,3,"[93,121,157]",43,SYNTHETIC_VALIDATION_ONLY,0.8942743438782929
NOT_USED_FOR_RANKING,,3,"[93,13,129]",44,SYNTHETIC_VALIDATION_ONLY,0.9438148810207126
NOT_USED_FOR_RANKING,,3,"[93,45,176]",45,SYNTHETIC_VALIDATION_ONLY,0.967797147558369
NOT_USED_FOR_RANKING,,3,"[93,81,116]",46,SYNTHETIC_VALIDATION_ONLY,0.8532719987317623
NOT_USED_FOR_RANKING,,3,"[93,50,158]",47,SYNTHETIC_VALIDATION_ONLY,0.9698039151374015
NOT_USED_FOR_RANKING,,3,"[93,69,165]",48,SYNTHETIC_VALIDATION_ONLY,0.9632631975990948
NOT_USED_FOR_RANKING,,3,"[93,72,166]",49,SYNTHETIC_VALIDATION_ONLY,0.9580841956803385
NOT_USED_FOR_RANKING,,3,"[93,68,152]",50,SYNTHETIC_VALIDATION_ONLY,0.760948117049598
NOT_USED_FOR_RANKING,,3,"[93,111,169]",51,SYNTHETIC_VALIDATION_ONLY,0.9228605321132012
NOT_USED_FOR_RANKING,,3,"[93,59,185]",52,SYNTHETIC_VALIDATION_ONLY,0.9410919964358145
NOT_USED_FOR_RANKING,,3,"[93,48,121]",53,SYNTHETIC_VALIDATION_ONLY,0.9244720687035002
NOT_USED_FOR_RANKING,,3,"[93,139,162]",54,SYNTHETIC_VALIDATION_ONLY,0.9687696453854185
NOT_USED_FOR_RANKING,,3,"[93,151,178]",55,SYNTHETIC_VALIDATION_ONLY,0.9550256654148286
NOT_USED_FOR_RANKING,,3,"[93,43,152]",56,SYNTHETIC_VALIDATION_ONLY,0.9439477179920298
NOT_USED_FOR_RANKING,,3,"[93,101,133]",57,SYNTHETIC_VALIDATION_ONLY,0.8130234897311006
NOT_USED_FOR_RANKING,,3,"[93,73,148]",58,SYNTHETIC_VALIDATION_ONLY,0.963338635879102
NOT_USED_FOR_RANKING,,3,"[93,6,11]",59,SYNTHETIC_VALIDATION_ONLY,0.968331775368855
NOT_USED_FOR_RANKING,,3,"[93,74,88]",60,SYNTHETIC_VALIDATION_ONLY,0.9171895414117891
NOT_USED_FOR_RANKING,,3,"[93,94,165]",61,SYNTHETIC_VALIDATION_ONLY,0.929044831111184
NOT_USED_FOR_RANKING,,3,"[93,70,136]",62,SYNTHETIC_VALIDATION_ONLY,0.7021221116158552
NOT_USED_FOR_RANKING,,3,"[93,79,166]",63,SYNTHETIC_VALIDATION_ONLY,0.9293591572778807
NOT_USED_FOR_RANKING,,3,"[93,119,138]",64,SYNTHETIC_VALIDATION_ONLY,0.7360245119744603
NOT_USED_FOR_RANKING,,3,"[93,28,112]",65,SYNTHETIC_VALIDATION_ONLY,0.9485286802127577
NOT_USED_FOR_RANKING,,3,"[93,109,154]",66,SYNTHETIC_VALIDATION_ONLY,0.9104585882108555
NOT_USED_FOR_RANKING,,3,"[93,99,159]",67,SYNTHETIC_VALIDATION_ONLY,0.9735648960537033
NOT_USED_FOR_RANKING,,3,"[93,45,124]",68,SYNTHETIC_VALIDATION_ONLY,0.9778479317338231
NOT_USED_FOR_RANKING,,3,"[93,33,68]",69,SYNTHETIC_VALIDATION_ONLY,0.7469182369308647
NOT_USED_FOR_RANKING,,3,"[93,11,20]",70,SYNTHETIC_VALIDATION_ONLY,0.975223991559659
NOT_USED_FOR_RANKING,,3,"[93,47,132]",71,SYNTHETIC_VALIDATION_ONLY,0.9032870317223435
NOT_USED_FOR_RANKING,,3,"[93,89,126]",72,SYNTHETIC_VALIDATION_ONLY,0.9471450984250892
NOT_USED_FOR_RANKING,,3,"[93,75,153]",73,SYNTHETIC_VALIDATION_ONLY,0.9233869601106429
NOT_USED_FOR_RANKING,,3,"[93,13,176]",74,SYNTHETIC_VALIDATION_ONLY,0.970931116103886
NOT_USED_FOR_RANKING,,3,"[93,69,168]",75,SYNTHETIC_VALIDATION_ONLY,0.867597072120089
NOT_USED_FOR_RANKING,,3,"[93,85,123]",76,SYNTHETIC_VALIDATION_ONLY,0.8763468192925201
NOT_USED_FOR_RANKING,,3,"[93,59,87]",77,SYNTHETIC_VALIDATION_ONLY,0.9397789330403267
NOT_USED_FOR_RANKING,,3,"[93,35,120]",78,SYNTHETIC_VALIDATION_ONLY,0.6972503293591572
NOT_USED_FOR_RANKING,,3,"[93,25,146]",79,SYNTHETIC_VALIDATION_ONLY,0.9424635518310182
NOT_USED_FOR_RANKING,,3,"[93,71,105]",80,SYNTHETIC_VALIDATION_ONLY,0.8267576299260377
NOT_USED_FOR_RANKING,,3,"[93,69,170]",81,SYNTHETIC_VALIDATION_ONLY,0.6463098108029803
NOT_USED_FOR_RANKING,,3,"[93,33,116]",82,SYNTHETIC_VALIDATION_ONLY,0.8003793780168478
NOT_USED_FOR_RANKING,,3,"[93,121,167]",83,SYNTHETIC_VALIDATION_ONLY,0.9278711645374486
NOT_USED_FOR_RANKING,,3,"[93,71,95]",84,SYNTHETIC_VALIDATION_ONLY,0.8940349093374004
NOT_USED_FOR_RANKING,,3,"[93,65,126]",85,SYNTHETIC_VALIDATION_ONLY,0.9573095866747572
NOT_USED_FOR_RANKING,,3,"[93,37,146]",86,SYNTHETIC_VALIDATION_ONLY,0.9723048581159016
NOT_USED_FOR_RANKING,,3,"[93,59,126]",87,SYNTHETIC_VALIDATION_ONLY,0.9404141452241556
NOT_USED_FOR_RANKING,,3,"[93,44,132]",88,SYNTHETIC_VALIDATION_ONLY,0.9453761254243404
