method,budget,status,family_macro_low_fpr_pauc,family_macro_roc_auc,worst_external_pre_fpr,worst_clean_holdout_fpr
ai_sparse_k3,3,AVAILABLE,0.8593304843304844,0.8949652777777777,0.5,0.16666666666666666
ai_sparse_k5,5,AVAILABLE,0.7952279202279202,0.8735532407407408,0.16666666666666666,0.08333333333333333
ai_sparse_k9,9,AVAILABLE,0.8860398860398861,0.9230324074074074,0.1,0.0
analytic_sparse_k3,3,AVAILABLE,0.8931623931623932,0.9056712962962963,0.08333333333333333,0.0
analytic_sparse_k5,5,AVAILABLE,0.902065527065527,0.9325810185185185,0.0,0.0
analytic_sparse_k9,9,AVAILABLE,0.8076923076923078,0.8854166666666666,0.0,0.0
dense_one_source_residual,187,AVAILABLE,0.9002849002849004,0.9409722222222223,0.0,0.08333333333333333
dense_two_source_glrt,187,AVAILABLE,0.8913817663817664,0.9331597222222223,0.0,0.0
epl3,3,AVAILABLE,0.902065527065527,0.9021990740740741,0.0,0.0
fixed9,9,AVAILABLE,0.934116809116809,0.9343171296296294,0.16666666666666666,0.0
pg_scc_k3,3,AVAILABLE,0.9216524216524217,0.9305555555555555,0.08333333333333333,0.0
pg_scc_k5,5,AVAILABLE,0.8806980056980057,0.905960648148148,0.3,0.08333333333333333
pg_scc_k9,9,AVAILABLE,0.7720797720797722,0.8804976851851851,0.0,0.08333333333333333
random1_k3,3,AVAILABLE,0.886039886039886,0.9088541666666666,0.08333333333333333,0.08333333333333333
random1_k5,5,AVAILABLE,0.9163105413105413,0.9239004629629629,0.0,0.0
random1_k9,9,AVAILABLE,0.9056267806267805,0.9108796296296297,0.08333333333333333,0.0
random2_k3,3,AVAILABLE,0.8450854700854702,0.8614004629629629,0.08333333333333333,0.0
random2_k5,5,AVAILABLE,0.8771367521367521,0.8885995370370371,0.16666666666666666,0.25
random2_k9,9,AVAILABLE,0.9163105413105413,0.9282407407407408,0.1,0.0
random3_k3,3,AVAILABLE,0.9074074074074074,0.9184027777777778,0.25,0.0
random3_k5,5,AVAILABLE,0.910968660968661,0.9398148148148148,0.0,0.0
random3_k9,9,AVAILABLE,0.9056267806267805,0.9328703703703703,0.0,0.0
random4_k3,3,AVAILABLE,0.780982905982906,0.8833912037037037,0.0,0.0
random4_k5,5,AVAILABLE,0.7507122507122507,0.8709490740740741,0.0,0.08333333333333333
random4_k9,9,AVAILABLE,0.8878205128205128,0.9175347222222222,0.0,0.0
random5_k3,3,AVAILABLE,0.7578347578347578,0.8857060185185185,0.3,0.16666666666666666
random5_k5,5,AVAILABLE,0.8985042735042734,0.8998842592592592,0.25,0.0
random5_k9,9,AVAILABLE,0.9323361823361823,0.9516782407407408,0.1,0.0
raw_power_only,0,AVAILABLE,0.6438746438746438,0.3258101851851852,0.0,0.08333333333333333
shuffled_k3,3,AVAILABLE,0.9358974358974358,0.9337384259259259,0.0,0.0
shuffled_k5,5,AVAILABLE,0.8468660968660968,0.9050925925925926,0.0,0.0
shuffled_k9,9,AVAILABLE,0.8717948717948717,0.9265046296296297,0.1,0.0
uniform_k3,3,AVAILABLE,0.7827635327635328,0.802951388888889,0.4,0.4166666666666667
uniform_k5,5,AVAILABLE,0.8522079772079773,0.8851273148148149,0.1,0.0
uniform_k9,9,AVAILABLE,0.6670227920227921,0.7300347222222222,0.2,0.16666666666666666
B0_exact,0,UNAVAILABLE,,,,
