family,method,budget,negative_events,positive_events,roc_auc,pr_auc,normalized_low_fpr_pauc
ds3,ai_sparse_k3,3,12,48,0.9965277777777778,0.9991666666666668,0.9893162393162394
ds3,ai_sparse_k5,5,12,48,0.9947916666666667,0.9987326388888891,0.9786324786324787
ds3,ai_sparse_k9,9,12,48,0.9965277777777778,0.9991666666666668,0.9893162393162394
ds3,analytic_sparse_k3,3,12,48,0.9722222222222222,0.9939087733384044,0.9679487179487178
ds3,analytic_sparse_k5,5,12,48,0.9756944444444443,0.9947856304691898,0.9572649572649572
ds3,analytic_sparse_k9,9,12,48,0.9965277777777778,0.9991666666666668,0.9893162393162394
ds3,dense_one_source_residual,187,12,48,0.9930555555555556,0.9983974358974361,0.9893162393162394
ds3,dense_two_source_glrt,187,12,48,0.9913194444444444,0.9978972196147965,0.9679487179487178
ds3,epl3,3,12,48,0.9930555555555556,0.9983163265306123,0.9786324786324787
ds3,fixed9,9,12,48,1.0,1.0000000000000002,1.0
ds3,pg_scc_k3,3,12,48,0.9947916666666666,0.9987745098039218,0.9893162393162394
ds3,pg_scc_k5,5,12,48,0.9878472222222222,0.9972511574074076,0.9786324786324787
ds3,pg_scc_k9,9,12,48,0.986111111111111,0.9969144570707072,0.9786324786324787
ds3,random1_k3,3,12,48,0.9809027777777779,0.9953295524201681,0.9465811965811965
ds3,random1_k5,5,12,48,0.9913194444444444,0.9980345911949687,0.9893162393162394
ds3,random1_k9,9,12,48,0.9965277777777778,0.9991666666666668,0.9893162393162394
ds3,random2_k3,3,12,48,0.9583333333333334,0.9901369346528507,0.9252136752136753
ds3,random2_k5,5,12,48,0.9618055555555556,0.9912239305487203,0.9465811965811965
ds3,random2_k9,9,12,48,0.9774305555555556,0.9947339376001975,0.9679487179487178
ds3,random3_k3,3,12,48,0.9930555555555556,0.9983974358974361,0.9893162393162394
ds3,random3_k5,5,12,48,0.9947916666666666,0.9987745098039218,0.9893162393162394
ds3,random3_k9,9,12,48,0.9878472222222222,0.997348484848485,0.9893162393162394
ds3,random4_k3,3,12,48,0.9704861111111112,0.9923811561910401,0.8931623931623931
ds3,random4_k5,5,12,48,0.9340277777777778,0.9829547334238342,0.829059829059829
ds3,random4_k9,9,12,48,0.984375,0.9962880900968422,0.9572649572649572
ds3,random5_k3,3,12,48,0.9878472222222222,0.997348484848485,0.9893162393162394
ds3,random5_k5,5,12,48,0.986111111111111,0.9969144570707072,0.9786324786324787
ds3,random5_k9,9,12,48,0.9965277777777778,0.9991666666666668,0.9893162393162394
ds3,raw_power_only,0,12,48,0.0,0.6058350663147352,0.48717948717948717
ds3,shuffled_k3,3,12,48,0.9826388888888888,0.9964080459770117,0.9893162393162394
ds3,shuffled_k5,5,12,48,0.9583333333333333,0.9898745681758616,0.9145299145299146
ds3,shuffled_k9,9,12,48,0.9930555555555555,0.9982446411921231,0.9572649572649572
ds3,uniform_k3,3,12,48,0.9027777777777779,0.9776983344658055,0.8717948717948718
ds3,uniform_k5,5,12,48,0.9392361111111112,0.9863172568761485,0.9145299145299146
ds3,uniform_k9,9,12,48,0.798611111111111,0.9514755556290703,0.7970085470085471
ds4,ai_sparse_k3,3,12,16,0.984375,0.9882506127450981,0.9038461538461539
ds4,ai_sparse_k5,5,12,16,0.8177083333333334,0.8564933588298527,0.6474358974358974
ds4,ai_sparse_k9,9,12,16,0.9010416666666666,0.9392677005012531,0.8397435897435898
ds4,analytic_sparse_k3,3,12,16,0.9375,0.9636536994660565,0.9038461538461539
ds4,analytic_sparse_k5,5,12,16,0.9427083333333334,0.974537037037037,0.9679487179487178
ds4,analytic_sparse_k9,9,12,16,0.7916666666666667,0.823470999244993,0.6153846153846154
ds4,dense_one_source_residual,187,12,16,0.96875,0.9829545454545454,0.9679487179487178
ds4,dense_two_source_glrt,187,12,16,0.9322916666666666,0.961516106442577,0.8717948717948718
ds4,epl3,3,12,16,0.9583333333333334,0.9791666666666666,0.9679487179487178
ds4,fixed9,9,12,16,0.9635416666666666,0.9809782608695652,0.9679487179487178
ds4,pg_scc_k3,3,12,16,0.984375,0.9901315789473684,0.9679487179487178
ds4,pg_scc_k5,5,12,16,0.9895833333333333,0.9924172794117647,0.9358974358974359
ds4,pg_scc_k9,9,12,16,0.8854166666666667,0.8932244164611618,0.6153846153846154
ds4,random1_k3,3,12,16,0.953125,0.9775,0.9679487179487178
ds4,random1_k5,5,12,16,0.9635416666666666,0.9809782608695652,0.9679487179487178
ds4,random1_k9,9,12,16,0.953125,0.9775,0.9679487179487178
ds4,random2_k3,3,12,16,0.9166666666666666,0.9572303921568628,0.8717948717948718
ds4,random2_k5,5,12,16,0.953125,0.9775,0.9679487179487178
ds4,random2_k9,9,12,16,0.90625,0.948982683982684,0.8717948717948718
