mask,budget,order,index,delay_chips,doppler_hz,is_center,final_source
ai_sparse_k3,3,1,93,0.0,0.0,True,
ai_sparse_k3,3,2,5,-0.375,-250.0,False,
ai_sparse_k3,3,3,125,-0.25,100.0,False,
ai_sparse_k5,5,1,93,0.0,0.0,True,
ai_sparse_k5,5,2,5,-0.375,-250.0,False,
ai_sparse_k5,5,3,22,-0.375,-200.0,False,
ai_sparse_k5,5,4,95,0.25,0.0,False,
ai_sparse_k5,5,5,125,-0.25,100.0,False,
ai_sparse_k9,9,1,93,0.0,0.0,True,
ai_sparse_k9,9,2,5,-0.375,-250.0,False,
ai_sparse_k9,9,3,6,-0.25,-250.0,False,
ai_sparse_k9,9,4,40,-0.25,-150.0,False,
ai_sparse_k9,9,5,78,0.25,-50.0,False,
ai_sparse_k9,9,6,95,0.25,0.0,False,
ai_sparse_k9,9,7,112,0.25,50.0,False,
ai_sparse_k9,9,8,125,-0.25,100.0,False,
ai_sparse_k9,9,9,175,-0.375,250.0,False,
analytic_sparse_k3,3,1,93,0.0,0.0,True,
analytic_sparse_k3,3,2,42,0.0,-150.0,False,
analytic_sparse_k3,3,3,116,0.75,50.0,False,
analytic_sparse_k5,5,1,93,0.0,0.0,True,
analytic_sparse_k5,5,2,42,0.0,-150.0,False,
analytic_sparse_k5,5,3,116,0.75,50.0,False,
analytic_sparse_k5,5,4,36,-0.75,-150.0,False,
analytic_sparse_k5,5,5,132,0.625,100.0,False,
analytic_sparse_k9,9,1,93,0.0,0.0,True,
analytic_sparse_k9,9,2,42,0.0,-150.0,False,
analytic_sparse_k9,9,3,116,0.75,50.0,False,
analytic_sparse_k9,9,4,36,-0.75,-150.0,False,
analytic_sparse_k9,9,5,132,0.625,100.0,False,
analytic_sparse_k9,9,6,125,-0.25,100.0,False,
analytic_sparse_k9,9,7,26,0.125,-200.0,False,
analytic_sparse_k9,9,8,0,-1.0,-250.0,False,
analytic_sparse_k9,9,9,131,0.5,100.0,False,
epl3,3,1,93,0.0,0.0,True,
epl3,3,2,89,-0.5,0.0,False,
epl3,3,3,97,0.5,0.0,False,
fixed9,9,1,93,0.0,0.0,True,
fixed9,9,2,89,-0.5,0.0,False,
fixed9,9,3,90,-0.375,0.0,False,
fixed9,9,4,91,-0.25,0.0,False,
fixed9,9,5,92,-0.125,0.0,False,
fixed9,9,6,94,0.125,0.0,False,
fixed9,9,7,95,0.25,0.0,False,
fixed9,9,8,96,0.375,0.0,False,
fixed9,9,9,97,0.5,0.0,False,
pg_scc_k3,3,1,93,0.0,0.0,True,ai_symmetric_k3
pg_scc_k3,3,2,61,0.25,-100.0,False,ai_symmetric_k3
pg_scc_k3,3,3,125,-0.25,100.0,False,ai_symmetric_k3
pg_scc_k5,5,1,93,0.0,0.0,True,ai_symmetric_k5
pg_scc_k5,5,2,61,0.25,-100.0,False,ai_symmetric_k5
pg_scc_k5,5,3,125,-0.25,100.0,False,ai_symmetric_k5
pg_scc_k5,5,4,5,-0.375,-250.0,False,ai_symmetric_k5
pg_scc_k5,5,5,181,0.375,250.0,False,ai_symmetric_k5
pg_scc_k9,9,1,93,0.0,0.0,True,ai_symmetric_k9
pg_scc_k9,9,2,61,0.25,-100.0,False,ai_symmetric_k9
pg_scc_k9,9,3,125,-0.25,100.0,False,ai_symmetric_k9
pg_scc_k9,9,4,5,-0.375,-250.0,False,ai_symmetric_k9
pg_scc_k9,9,5,181,0.375,250.0,False,ai_symmetric_k9
pg_scc_k9,9,6,40,-0.25,-150.0,False,ai_symmetric_k9
pg_scc_k9,9,7,146,0.25,150.0,False,ai_symmetric_k9
pg_scc_k9,9,8,44,0.25,-150.0,False,ai_symmetric_k9
pg_scc_k9,9,9,142,-0.25,150.0,False,ai_symmetric_k9
random1_k3,3,1,93,0.0,0.0,True,
random1_k3,3,2,132,0.625,100.0,False,
random1_k3,3,3,157,-0.5,200.0,False,
random1_k5,5,1,93,0.0,0.0,True,
random1_k5,5,2,40,-0.25,-150.0,False,
random1_k5,5,3,118,1.0,50.0,False,
random1_k5,5,4,87,-0.75,0.0,False,
random1_k5,5,5,29,0.5,-200.0,False,
random1_k9,9,1,93,0.0,0.0,True,
random1_k9,9,2,5,-0.375,-250.0,False,
random1_k9,9,3,4,-0.5,-250.0,False,
random1_k9,9,4,43,0.125,-150.0,False,
random1_k9,9,5,134,0.875,100.0,False,
random1_k9,9,6,11,0.375,-250.0,False,
random1_k9,9,7,63,0.5,-100.0,False,
random1_k9,9,8,39,-0.375,-150.0,False,
random1_k9,9,9,29,0.5,-200.0,False,
random2_k3,3,1,93,0.0,0.0,True,
random2_k3,3,2,166,0.625,200.0,False,
random2_k3,3,3,85,-1.0,0.0,False,
random2_k5,5,1,93,0.0,0.0,True,
random2_k5,5,2,17,-1.0,-200.0,False,
random2_k5,5,3,30,0.625,-200.0,False,
random2_k5,5,4,131,0.5,100.0,False,
random2_k5,5,5,27,0.25,-200.0,False,
random2_k9,9,1,93,0.0,0.0,True,
random2_k9,9,2,137,-0.875,150.0,False,
random2_k9,9,3,185,0.875,250.0,False,
random2_k9,9,4,27,0.25,-200.0,False,
random2_k9,9,5,161,0.0,200.0,False,
random2_k9,9,6,55,-0.5,-100.0,False,
random2_k9,9,7,158,-0.375,200.0,False,
random2_k9,9,8,116,0.75,50.0,False,
random2_k9,9,9,166,0.625,200.0,False,
random3_k3,3,1,93,0.0,0.0,True,
random3_k3,3,2,10,0.25,-250.0,False,
random3_k3,3,3,107,-0.375,50.0,False,
random3_k5,5,1,93,0.0,0.0,True,
random3_k5,5,2,54,-0.625,-100.0,False,
random3_k5,5,3,1,-0.875,-250.0,False,
random3_k5,5,4,80,0.5,-50.0,False,
random3_k5,5,5,143,-0.125,150.0,False,
random3_k9,9,1,93,0.0,0.0,True,
random3_k9,9,2,55,-0.5,-100.0,False,
random3_k9,9,3,186,1.0,250.0,False,
random3_k9,9,4,136,-1.0,150.0,False,
random3_k9,9,5,56,-0.375,-100.0,False,
random3_k9,9,6,105,-0.625,50.0,False,
random3_k9,9,7,130,0.375,100.0,False,
random3_k9,9,8,137,-0.875,150.0,False,
random3_k9,9,9,59,0.0,-100.0,False,
random4_k3,3,1,93,0.0,0.0,True,
random4_k3,3,2,83,0.875,-50.0,False,
random4_k3,3,3,103,-0.875,50.0,False,
random4_k5,5,1,93,0.0,0.0,True,
random4_k5,5,2,62,0.375,-100.0,False,
random4_k5,5,3,101,1.0,0.0,False,
random4_k5,5,4,28,0.375,-200.0,False,
random4_k5,5,5,138,-0.75,150.0,False,
random4_k9,9,1,93,0.0,0.0,True,
random4_k9,9,2,158,-0.375,200.0,False,
random4_k9,9,3,139,-0.625,150.0,False,
random4_k9,9,4,155,-0.75,200.0,False,
random4_k9,9,5,53,-0.75,-100.0,False,
random4_k9,9,6,185,0.875,250.0,False,
random4_k9,9,7,120,-0.875,100.0,False,
random4_k9,9,8,168,0.875,200.0,False,
random4_k9,9,9,160,-0.125,200.0,False,
random5_k3,3,1,93,0.0,0.0,True,
random5_k3,3,2,41,-0.125,-150.0,False,
random5_k3,3,3,184,0.75,250.0,False,
random5_k5,5,1,93,0.0,0.0,True,
random5_k5,5,2,85,-1.0,0.0,False,
random5_k5,5,3,38,-0.5,-150.0,False,
random5_k5,5,4,168,0.875,200.0,False,
random5_k5,5,5,119,-1.0,100.0,False,
random5_k9,9,1,93,0.0,0.0,True,
random5_k9,9,2,173,-0.625,250.0,False,
random5_k9,9,3,137,-0.875,150.0,False,
random5_k9,9,4,155,-0.75,200.0,False,
random5_k9,9,5,165,0.5,200.0,False,
random5_k9,9,6,174,-0.5,250.0,False,
random5_k9,9,7,15,0.875,-250.0,False,
random5_k9,9,8,22,-0.375,-200.0,False,
random5_k9,9,9,142,-0.25,150.0,False,
shuffled_k3,3,1,93,0.0,0.0,True,
shuffled_k3,3,2,115,0.625,50.0,False,
shuffled_k3,3,3,179,0.125,250.0,False,
shuffled_k5,5,1,93,0.0,0.0,True,
shuffled_k5,5,2,64,0.625,-100.0,False,
shuffled_k5,5,3,113,0.375,50.0,False,
