availability,established_detection_rate,estimated_onset_s,family,finite_epochs,first_alarm_delay_s,longest_alarm_run_epochs,mean_participation,mean_tracked_prns,method,onset_error_s,pauc_fpr_0_05,persistent_alarm_ratio,pr_auc,pre_onset_fpr,pull_off_first_alarm_delay_s,reason,roc_auc,scenario,score_total_prompt_power_pearson_r,score_total_prompt_power_spearman_rho,score_total_residual_energy_pearson_r,score_total_residual_energy_spearman_rho,time_push_first_alarm_delay_s,transition_detection_rate
,0.0,,DS3,914,nan,0,nan,10.736323851203501,A1,,0.5168595387941736,0.0,0.8082680508253023,0.0,nan,,0.595080374768903,DS3,,,,,nan,0.0
,0.048513302034428794,,DS3,914,49.599736199999995,2,nan,10.736323851203501,A2,,0.9329105492737868,0.045655375552282766,0.9957970220339285,0.0,3.4990000399999985,,0.9876852693259801,DS3,,,,,nan,0.0
,0.057902973395931145,,DS3,914,69.59972447999999,14,0.04246375129854342,10.736323851203501,A3,,0.5272459499263623,0.054491899852724596,0.7568989020409083,0.0,4.998156679999994,,0.5272459499263623,DS3,,,,,nan,0.0
,0.26134585289514867,394.0,DS3,914,5.598188839999992,116,0.7929898095155615,10.736323851203501,A4,275.1,0.7622382004922036,0.28865979381443296,0.9643332714632944,0.0,0.499753840000011,,0.8999153949801022,DS3,,,,,nan,0.725
,0.04381846635367762,188.0,DS3,914,55.099729800000006,7,0.13364138148203297,10.736323851203501,A5,69.1,0.520618556701031,0.041237113402061855,0.7534909427237249,0.0,8.999691920000004,,0.520618556701031,DS3,,,,,nan,0.0
,0.001564945226917058,188.0,DS3,914,69.59972447999999,1,0.12750029555977638,10.736323851203501,A6,69.1,0.5007363770250368,0.0014727540500736377,0.7432670647721743,0.0,nan,,0.5007363770250368,DS3,,,,,nan,0.0
,0.11737089201877934,198.5,DS3,914,49.599736199999995,29,0.15226559981226528,10.736323851203501,A7,79.6,0.5552282768777614,0.11045655375552282,0.7712880636023497,0.0,3.4990000399999985,,0.5552282768777614,DS3,,,,,nan,0.0
,0.11737089201877934,198.5,DS3,914,49.599736199999995,29,0.15226559981226528,10.736323851203501,Full,79.6,0.5552282768777614,0.11045655375552282,0.7712880636023497,0.0,3.4990000399999985,,0.5552282768777614,DS3,0.09197251090081957,0.06373821524055422,0.13787443846839337,0.0635668706707316,nan,0.0
,0.003129890453834116,188.0,DS3,914,55.099729800000006,1,0.3455201604503081,10.736323851203501,EPL3,69.1,0.5014727540500736,0.0029455081001472753,0.743645726918528,0.0,nan,,0.5014727540500736,DS3,,,,,nan,0.0
,0.20187793427230047,198.5,DS3,914,49.599736199999995,45,0.1738487113511279,10.736323851203501,No-quotient,79.6,0.5949926362297496,0.18998527245949925,0.7917358195054511,0.0,1.9990005200000098,,0.5949926362297496,DS3,,,,,nan,0.0
,nan,,DS4,255,nan,0,nan,10.384313725490196,A1,,0.5555555555555556,0.0,0.27049169874112855,0.0,nan,,0.601037037037037,DS4,,,,,nan,0.0
