dataset,scenario,metric,estimate,ci_low,ci_high,block_s,replicates,finite_replicates
TEXBAT,DS3,alarm_delay_change_s,83.0,61.0,115.5,10.0,500,500
TEXBAT,DS3,pauc_delta,0.014793321092027911,-0.04846378627305463,0.07415987639132823,10.0,500,500
TEXBAT,DS3,persistent_detection_delta,0.0,-0.11922318084537187,0.11203880485990572,10.0,500,500
TEXBAT,DS3,score_delta,0.625472900721411,-1.2021120172358244,2.609407629614897,10.0,500,500
TEXBAT,DS4,alarm_delay_change_s,,,,10.0,500,0
TEXBAT,DS4,pauc_delta,0.0,0.0,0.0,10.0,500,443
TEXBAT,DS4,persistent_detection_delta,0.0,0.0,0.0,10.0,500,443
TEXBAT,DS4,score_delta,0.0,0.0,0.0,10.0,500,443
TEXBAT,DS7,alarm_delay_change_s,-92.0,-120.0,-62.0,10.0,500,500
TEXBAT,DS7,pauc_delta,0.22710622710622713,0.10765138663911673,0.3461538461538461,10.0,500,500
TEXBAT,DS7,persistent_detection_delta,-0.1459627329192547,-0.48189547163057095,0.21164080459770104,10.0,500,500
TEXBAT,DS7,score_delta,72.26693540149255,1.4146775727800418,164.43890066035183,10.0,500,500
TEXBAT,DS8,alarm_delay_change_s,-92.0,-110.0,-62.0,10.0,500,500
TEXBAT,DS8,pauc_delta,0.24548014846179989,0.13730039569884114,0.36090223081342987,10.0,500,500
TEXBAT,DS8,persistent_detection_delta,-0.26111111111111107,-0.3890465465465465,-0.1188257575757577,10.0,500,500
TEXBAT,DS8,score_delta,57.0218409938609,-22.314185923937888,149.2097944741207,10.0,500,500
