variant,second,panel_size,prns
V0,1,0,
V0,5,1,9
V0,6,1,9
V0,7,1,9
V0,8,1,9
V0,9,1,9
V0,10,1,9
V0,11,1,9
V0,12,2,9;36
V0,13,2,9;36
V0,14,2,9;36
V0,15,2,9;36
V0,16,2,9;36
V0,17,2,9;36
V0,18,2,9;36
V0,19,3,9;30;36
V0,20,3,9;30;36
V0,21,3,9;30;36
V0,22,3,9;30;36
V0,23,3,9;30;36
V0,24,3,9;30;36
V0,25,3,9;30;36
V0,26,3,9;30;36
V0,27,3,9;30;36
V0,28,3,9;30;36
V0,29,3,9;30;36
V0,30,3,9;30;36
V0,31,3,9;30;36
V0,32,3,9;30;36
V0,33,3,9;30;36
V0,34,3,9;30;36
V0,35,3,9;30;36
V0,36,3,9;30;36
V0,37,3,9;30;36
V0,38,3,9;30;36
V0,39,3,9;30;36
V0,40,3,9;30;36
V0,41,3,9;30;36
V0,42,3,9;30;36
V0,43,3,9;30;36
V0,44,3,9;30;36
V0,45,3,9;30;36
V0,46,3,9;30;36
V0,47,3,9;30;36
V0,48,3,9;30;36
V0,49,3,9;30;36
V0,50,3,9;30;36
V0,51,3,9;30;36
V0,52,3,9;30;36
V0,53,3,9;30;36
V0,54,3,9;30;36
V0,55,3,9;30;36
V0,56,3,9;30;36
V0,57,3,9;30;36
V0,58,3,9;30;36
V0,59,3,9;30;36
V0,60,3,9;30;36
V0,61,3,9;30;36
V0,62,3,9;30;36
V0,63,3,9;30;36
V0,64,3,9;30;36
V0,65,3,9;30;36
V0,66,3,9;30;36
V0,67,3,9;30;36
V0,68,3,9;30;36
V0,69,3,9;30;36
V0,70,3,9;30;36
V0,71,3,9;30;36
V0,72,3,9;30;36
V0,73,3,9;30;36
V0,74,3,9;30;36
V0,75,3,9;30;36
V0,76,3,9;30;36
V0,77,3,9;30;36
V0,78,3,9;30;36
V0,79,3,9;30;36
V0,80,3,9;30;36
V0,81,3,9;30;36
V0,82,3,9;30;36
V0,83,3,9;30;36
V0,84,3,9;30;36
V0,85,3,9;30;36
V0,86,3,9;30;36
V0,87,3,9;30;36
V0,88,3,9;30;36
V0,89,3,9;30;36
V0,90,3,9;30;36
V0,91,3,9;30;36
V0,92,3,9;30;36
V0,93,3,9;30;36
V0,94,3,9;30;36
V0,95,3,9;30;36
V0,96,3,9;30;36
V0,97,3,9;30;36
V0,98,3,9;30;36
V0,99,3,9;30;36
V0,100,3,9;30;36
V0,101,3,9;30;36
V0,102,3,9;30;36
V0,103,3,9;30;36
V0,104,3,9;30;36
V0,105,3,9;30;36
V0,106,3,9;30;36
V0,107,3,9;30;36
V0,108,3,9;30;36
V0,109,3,9;30;36
V0,110,3,9;30;36
V0,111,3,9;30;36
V0,112,3,9;30;36
V0,113,3,9;30;36
V0,114,3,9;30;36
V0,115,3,9;30;36
V0,116,3,9;30;36
V0,117,3,9;30;36
V0,118,3,9;30;36
V0,119,3,9;30;36
V0,120,3,9;30;36
V0,121,3,9;30;36
V0,122,3,9;30;36
V0,123,3,9;30;36
V0,124,3,9;30;36
V0,125,3,9;30;36
V0,126,3,9;30;36
V0,127,3,9;30;36
V0,128,3,9;30;36
V0,129,3,9;30;36
V0,130,3,9;30;36
V0,131,3,9;30;36
V0,132,3,9;30;36
V0,133,3,9;30;36
V0,134,3,9;30;36
V0,135,3,9;30;36
V0,136,3,9;30;36
V0,137,3,9;30;36
V0,138,3,9;30;36
V0,139,3,9;30;36
V0,140,3,9;30;36
V0,141,3,9;30;36
V0,142,3,9;30;36
V0,143,3,9;30;36
V0,144,3,9;30;36
V0,145,3,9;30;36
V0,146,3,9;30;36
V0,147,3,9;30;36
V0,148,3,9;30;36
V0,149,3,9;30;36
V1,3,0,
V1,5,1,9
V1,6,2,9;30
V1,7,3,2;9;30
V1,8,3,2;9;30
V1,9,3,2;9;30
V1,10,3,2;9;30
V1,11,3,2;9;30
V1,12,3,2;9;30
V1,13,4,2;9;30;36
V1,14,4,2;9;30;36
V1,15,4,2;9;30;36
V1,16,4,2;9;30;36
V1,17,4,2;9;30;36
V1,18,4,2;9;30;36
V1,19,4,2;9;30;36
V1,20,4,2;9;30;36
V1,21,4,2;9;30;36
V1,22,4,2;9;30;36
V1,23,4,2;9;30;36
V1,24,4,2;9;30;36
V1,25,4,2;9;30;36
V1,26,4,2;9;30;36
V1,27,4,2;9;30;36
V1,28,4,2;9;30;36
V1,29,4,2;9;30;36
V1,30,4,2;9;30;36
V1,31,4,2;9;30;36
V1,32,4,2;9;30;36
V1,33,4,2;9;30;36
V1,34,4,2;9;30;36
V1,35,4,2;9;30;36
V1,36,4,2;9;30;36
V1,37,4,2;9;30;36
V1,38,4,2;9;30;36
V1,39,4,2;9;30;36
V1,40,4,2;9;30;36
V1,41,4,2;9;30;36
V1,42,4,2;9;30;36
V1,43,4,2;9;30;36
V1,44,4,2;9;30;36
V1,45,4,2;9;30;36
V1,46,4,2;9;30;36
V1,47,4,2;9;30;36
V1,48,4,2;9;30;36
V1,49,4,2;9;30;36
V1,50,4,2;9;30;36
V1,51,4,2;9;30;36
V1,52,4,2;9;30;36
V1,53,4,2;9;30;36
V1,54,4,2;9;30;36
V1,55,4,2;9;30;36
V1,56,4,2;9;30;36
V1,57,4,2;9;30;36
V1,58,4,2;9;30;36
V1,59,4,2;9;30;36
V1,60,4,2;9;30;36
V1,61,4,2;9;30;36
V1,62,4,2;9;30;36
V1,63,4,2;9;30;36
V1,64,4,2;9;30;36
V1,65,4,2;9;30;36
V1,66,4,2;9;30;36
V1,67,4,2;9;30;36
V1,68,4,2;9;30;36
V1,69,4,2;9;30;36
V1,70,4,2;9;30;36
V1,71,4,2;9;30;36
V1,72,4,2;9;30;36
V1,73,4,2;9;30;36
V1,74,4,2;9;30;36
V1,75,4,2;9;30;36
V1,76,4,2;9;30;36
V1,77,4,2;9;30;36
V1,78,4,2;9;30;36
V1,79,4,2;9;30;36
V1,80,4,2;9;30;36
V1,81,4,2;9;30;36
V1,82,4,2;9;30;36
V1,83,4,2;9;30;36
V1,84,4,2;9;30;36
V1,85,4,2;9;30;36
V1,86,4,2;9;30;36
V1,87,4,2;9;30;36
V1,88,4,2;9;30;36
V1,89,4,2;9;30;36
V1,90,4,2;9;30;36
V1,91,4,2;9;30;36
V1,92,4,2;9;30;36
V1,93,4,2;9;30;36
V1,94,4,2;9;30;36
V1,95,4,2;9;30;36
V1,96,4,2;9;30;36
V1,97,4,2;9;30;36
V1,98,4,2;9;30;36
V1,99,4,2;9;30;36
V1,100,4,2;9;30;36
V1,101,4,2;9;30;36
V1,102,4,2;9;30;36
V1,103,4,2;9;30;36
V1,104,4,2;9;30;36
V1,105,4,2;9;30;36
V1,106,4,2;9;30;36
V1,107,4,2;9;30;36
V1,108,4,2;9;30;36
V1,109,4,2;9;30;36
V1,110,4,2;9;30;36
V1,111,4,2;9;30;36
V1,112,4,2;9;30;36
V1,113,4,2;9;30;36
V1,114,4,2;9;30;36
V1,115,4,2;9;30;36
V1,116,4,2;9;30;36
V1,117,4,2;9;30;36
V1,118,4,2;9;30;36
V1,119,4,2;9;30;36
V1,120,4,2;9;30;36
V1,121,4,2;9;30;36
V1,122,4,2;9;30;36
V1,123,4,2;9;30;36
V1,124,4,2;9;30;36
V1,125,4,2;9;30;36
V1,126,4,2;9;30;36
V1,127,4,2;9;30;36
V1,128,4,2;9;30;36
V1,129,4,2;9;30;36
V1,130,4,2;9;30;36
V1,131,4,2;9;30;36
V1,132,4,2;9;30;36
V1,133,4,2;9;30;36
V1,134,4,2;9;30;36
V1,135,4,2;9;30;36
V1,136,4,2;9;30;36
V1,137,4,2;9;30;36
V1,138,4,2;9;30;36
V1,139,4,2;9;30;36
V1,140,4,2;9;30;36
V1,141,4,2;9;30;36
V1,142,4,2;9;30;36
V1,143,4,2;9;30;36
V1,144,4,2;9;30;36
V1,145,4,2;9;30;36
V1,146,4,2;9;30;36
V1,147,4,2;9;30;36
V1,148,4,2;9;30;36
V1,149,4,2;9;30;36
V2,2,0,
V2,3,0,
V2,4,1,9
