scenario,detector,pauc
DS3,B0,0.6136871508379889
DS3,A1,0.02932960893854749
DS3,A2,0.044972067039106146
DS3,A3,0.0223463687150838
DS3,A4,0.035195530726256974
DS3,Full R2C-GNSS,0.0164804469273743
DS3,Power-only,0.4187150837988826
DS7,B0,0.9968944099378882
DS7,A1,0.03260869565217391
DS7,A2,0.059006211180124224
DS7,A3,0.06418219461697722
DS7,A4,0.08436853002070394
DS7,Full R2C-GNSS,0.007246376811594203
DS7,Power-only,0.020703933747412008
DS8,B0,0.9828703703703703
DS8,A1,0.013194444444444446
DS8,A2,0.018287037037037036
DS8,A3,0.05231481481481483
DS8,A4,0.020138888888888887
DS8,Full R2C-GNSS,0.010648148148148148
DS8,Power-only,0.00023148148148148163
