scenario,detector,role,status,epochs,available_epochs,total_candidate_epochs,roc_auc,pr_auc,normalized_pauc_fpr_lte_0.05,strict_q99_detection_rate,strict_q995_detection_rate,sustained_q99_detection_rate,first_sustained_alarm_delay_s,persistent_alarm_ratio
cleanStatic,B0,normal,EVALUATED_NORMAL,881,881,881,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.1452894438138479,0.1362088535754824,0.12939841089670828,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanStatic,A1,normal,EVALUATED_NORMAL,881,881,881,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.009080590238365494,0.004540295119182747,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanStatic,A2,normal,EVALUATED_NORMAL,881,881,881,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.02383654937570942,0.0011350737797956867,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanStatic,A3,normal,EVALUATED_NORMAL_LIMITED_COVERAGE,805,805,881,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.02236024844720497,0.018633540372670808,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanStatic,A4,normal,EVALUATED_NORMAL,881,881,881,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.009080590238365494,0.00681044267877412,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanStatic,Full R2C-GNSS,normal,EVALUATED_NORMAL_LIMITED_COVERAGE,805,805,881,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.0012422360248447205,0.0,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanStatic,Power-only,normal,EVALUATED_NORMAL,881,881,881,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.011350737797956867,0.01021566401816118,0.0011350737797956867,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanDynamic,B0,external_normal,EVALUATED_NORMAL,60,60,60,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.016666666666666666,0.0,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanDynamic,A1,external_normal,EVALUATED_NORMAL,60,60,60,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.0,0.0,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
cleanDynamic,A2,external_normal,EVALUATED_NORMAL,60,60,60,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE,0.0,0.0,0.0,UNAVAILABLE_NOT_APPLICABLE,UNAVAILABLE_NOT_APPLICABLE
