scenario,time_bin,availability_time_s,detector,status,reason,score,ll0,ll1,n,k0,k1,epoch_count,prn_count,geometry_valid,geometry_mode,offline_oracle_geometry,causal_deployment_ready
cleanStatic,0,0.49973304,A1,AVAILABLE,,-546.0841004754266,-102367.31289070424,-98904.8853807508,7524,837,1674,3008,7,,,,
cleanStatic,0,0.49973304,A2,AVAILABLE,,-8834.36921008055,,,,,,3008,7,,,,
cleanStatic,0,0.49973304,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,3008,7,,,,
cleanStatic,0,0.49973304,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,3008,7,,,,
cleanStatic,0,0.49973304,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,3008,7,,unavailable,False,False
cleanStatic,0,0.49973304,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,3008,7,,,,
cleanStatic,0,0.49973304,Power-only,AVAILABLE,,17568448794986.344,,,,,,3008,7,,,,
cleanStatic,0,0.49973304,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,3008,7,,,,
cleanStatic,0,0.49973304,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,3008,7,,,,
cleanStatic,1,0.99973244,A1,AVAILABLE,,-2685.8184002430344,-52589.243591063605,-52105.53094459832,3960,441,882,3720,8,,,,
cleanStatic,1,0.99973244,A2,AVAILABLE,,-9934.208647721709,,,,,,3720,8,,,,
cleanStatic,1,0.99973244,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,3720,8,,,,
cleanStatic,1,0.99973244,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,3720,8,,,,
cleanStatic,1,0.99973244,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,3720,8,,unavailable,False,False
cleanStatic,1,0.99973244,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,3720,8,,,,
cleanStatic,1,0.99973244,Power-only,AVAILABLE,,16033978447566.266,,,,,,3720,8,,,,
cleanStatic,1,0.99973244,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,3720,8,,,,
cleanStatic,1,0.99973244,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,3720,8,,,,
cleanStatic,2,1.49973188,A1,AVAILABLE,,-7542.434869439108,-118995.37073880379,-118209.545755436,9000,1001,2002,4000,8,,,,
cleanStatic,2,1.49973188,A2,AVAILABLE,,-15084.869738878217,,,,,,4000,8,,,,
cleanStatic,2,1.49973188,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,4000,8,,,,
cleanStatic,2,1.49973188,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,4000,8,,,,
cleanStatic,2,1.49973188,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,4000,8,,unavailable,False,False
cleanStatic,2,1.49973188,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,4000,8,,,,
cleanStatic,2,1.49973188,Power-only,AVAILABLE,,16145981270458.512,,,,,,4000,8,,,,
cleanStatic,2,1.49973188,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,4000,8,,,,
cleanStatic,2,1.49973188,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,4000,8,,,,
cleanStatic,3,1.99973128,A1,AVAILABLE,,-7260.4443164283875,-119161.14754439176,-118234.32728451861,9000,1001,2002,4000,8,,,,
cleanStatic,3,1.99973128,A2,AVAILABLE,,-14520.888632856775,,,,,,4000,8,,,,
cleanStatic,3,1.99973128,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,4000,8,,,,
cleanStatic,3,1.99973128,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,4000,8,,,,
cleanStatic,3,1.99973128,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,4000,8,,unavailable,False,False
cleanStatic,3,1.99973128,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,4000,8,,,,
cleanStatic,3,1.99973128,Power-only,AVAILABLE,,16116772761939.352,,,,,,4000,8,,,,
cleanStatic,3,1.99973128,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,4000,8,,,,
cleanStatic,3,1.99973128,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,4000,8,,,,
cleanStatic,4,2.49973072,A1,AVAILABLE,,-1956.1099605946697,-38374.278632152345,-38064.89176860446,2898,323,646,4161,9,,,,
cleanStatic,4,2.49973072,A2,AVAILABLE,,-9158.268476411835,,,,,,4161,9,,,,
cleanStatic,4,2.49973072,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,4161,9,,,,
cleanStatic,4,2.49973072,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,4161,9,,,,
cleanStatic,4,2.49973072,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,4161,9,,unavailable,False,False
cleanStatic,4,2.49973072,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,4161,9,,,,
cleanStatic,4,2.49973072,Power-only,AVAILABLE,,14676067020396.64,,,,,,4161,9,,,,
cleanStatic,4,2.49973072,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,4161,9,,,,
cleanStatic,4,2.49973072,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,4161,9,,,,
cleanStatic,5,2.99973012,A1,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,5,2.99973012,A2,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,5,2.99973012,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,5,2.99973012,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,4500,9,,,,
cleanStatic,5,2.99973012,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,4500,9,,unavailable,False,False
cleanStatic,5,2.99973012,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,5,2.99973012,Power-only,AVAILABLE,,14660427079090.607,,,,,,4500,9,,,,
cleanStatic,5,2.99973012,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,4500,9,,,,
cleanStatic,5,2.99973012,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,A1,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,A2,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,4500,9,,unavailable,False,False
cleanStatic,6,3.49972952,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,Power-only,AVAILABLE,,14572926749218.336,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,4500,9,,,,
cleanStatic,6,3.49972952,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,A1,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,A2,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,4500,9,,unavailable,False,False
cleanStatic,7,3.99972896,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,Power-only,AVAILABLE,,14533942571397.352,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,4500,9,,,,
cleanStatic,7,3.99972896,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,A1,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,A2,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,A3,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,A4,UNAVAILABLE_INVALID_FIT,boundary_or_nonconvergence,,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,Full,UNAVAILABLE_INVALID_GEOMETRY,,,,,,,,4500,9,,unavailable,False,False
cleanStatic,8,4.49972836,Neural-with-energy,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,Power-only,AVAILABLE,,14554280683941.117,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,B0-native,UNAVAILABLE_B0_SUPPORT,,,,,,,,4500,9,,,,
cleanStatic,8,4.49972836,Noise-floor-only,UNAVAILABLE_SOURCE_NOT_PRESENT,,,,,,,,4500,9,,,,
cleanStatic,9,4.9997278,A1,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
cleanStatic,9,4.9997278,A2,UNAVAILABLE_INVALID_FIT,,,,,,,,4500,9,,,,
