scenario,detector,threshold,status,threshold_value,normal_fpr,auroc,pr_auc,normalized_pauc_fpr_lte_0.05,attack_detection_rate,sustained_detection_rate,first_sustained_delay_s,persistent_alarm_ratio,causal_time_field
cleanStatic,B0-native,q99,NORMAL_HOLDOUT,0.8615548815839029,0.0743801652892562,,,,,,,,
cleanStatic,B0-native,q99.5,NORMAL_HOLDOUT,0.9169274814058588,0.04132231404958678,,,,,,,,
cleanStatic,A1,q99,NORMAL_HOLDOUT,-143.30977153837728,0.00847457627118644,,,,,,,,
cleanStatic,A1,q99.5,NORMAL_HOLDOUT,-125.3306954743365,0.00847457627118644,,,,,,,,
cleanStatic,A2,q99,NORMAL_HOLDOUT,-379.0884485034219,0.025423728813559324,,,,,,,,
cleanStatic,A2,q99.5,NORMAL_HOLDOUT,-378.1689567025421,0.025423728813559324,,,,,,,,
cleanStatic,A3,q99,NORMAL_HOLDOUT,-3238.9319622973853,0.0,,,,,,,,
cleanStatic,A3,q99.5,NORMAL_HOLDOUT,-3207.519015508078,0.0,,,,,,,,
cleanStatic,A4,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
cleanStatic,A4,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
cleanStatic,Full,q99,NORMAL_HOLDOUT,-3246.6999474626646,0.0,,,,,,,,
cleanStatic,Full,q99.5,NORMAL_HOLDOUT,-3238.9321218317637,0.0,,,,,,,,
cleanStatic,Neural-with-energy,q99,NORMAL_HOLDOUT,-3246.6999621056166,0.0,,,,,,,,
cleanStatic,Neural-with-energy,q99.5,NORMAL_HOLDOUT,-3238.932085618333,0.0,,,,,,,,
cleanStatic,Power-only,q99,NORMAL_HOLDOUT,14034251587623.416,0.0,,,,,,,,
cleanStatic,Power-only,q99.5,NORMAL_HOLDOUT,14169284350885.652,0.0,,,,,,,,
cleanStatic,Noise-floor-only,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
cleanStatic,Noise-floor-only,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
cleanDynamic,B0-native,q99,EXTERNAL_NORMAL,0.8615548815839029,0.48936170212765956,,,,,,,,
cleanDynamic,B0-native,q99.5,EXTERNAL_NORMAL,0.9169274814058588,0.48936170212765956,,,,,,,,
cleanDynamic,A1,q99,EXTERNAL_NORMAL,-143.30977153837728,0.0,,,,,,,,
cleanDynamic,A1,q99.5,EXTERNAL_NORMAL,-125.3306954743365,0.0,,,,,,,,
cleanDynamic,A2,q99,EXTERNAL_NORMAL,-379.0884485034219,0.0,,,,,,,,
cleanDynamic,A2,q99.5,EXTERNAL_NORMAL,-378.1689567025421,0.0,,,,,,,,
cleanDynamic,A3,q99,EXTERNAL_NORMAL,-3238.9319622973853,1.0,,,,,,,,
cleanDynamic,A3,q99.5,EXTERNAL_NORMAL,-3207.519015508078,1.0,,,,,,,,
cleanDynamic,A4,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
cleanDynamic,A4,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
cleanDynamic,Full,q99,EXTERNAL_NORMAL,-3246.6999474626646,1.0,,,,,,,,
cleanDynamic,Full,q99.5,EXTERNAL_NORMAL,-3238.9321218317637,1.0,,,,,,,,
cleanDynamic,Neural-with-energy,q99,EXTERNAL_NORMAL,-3246.6999621056166,1.0,,,,,,,,
cleanDynamic,Neural-with-energy,q99.5,EXTERNAL_NORMAL,-3238.932085618333,1.0,,,,,,,,
cleanDynamic,Power-only,q99,EXTERNAL_NORMAL,14034251587623.416,0.0,,,,,,,,
cleanDynamic,Power-only,q99.5,EXTERNAL_NORMAL,14169284350885.652,0.0,,,,,,,,
cleanDynamic,Noise-floor-only,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
cleanDynamic,Noise-floor-only,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS1,B0-native,q99,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS1,B0-native,q99.5,UNAVAILABLE_NO_SCORE_SUPPORT,,,,,,,,,,
DS1,A1,q99,EVALUATED,-143.30977153837728,,0.08433402346445826,0.6526082772094423,0.003105590062111801,0.003105590062111801,0.0,,0.003105590062111801,availability_time_s
DS1,A1,q99.5,EVALUATED,-125.3306954743365,,0.08433402346445826,0.6526082772094423,0.003105590062111801,0.003105590062111801,0.0,,0.003105590062111801,availability_time_s
DS1,A2,q99,EVALUATED,-379.0884485034219,,0.08433402346445826,0.6526082772094423,0.003105590062111801,0.0015527950310559005,0.0,,0.0015527950310559005,availability_time_s
DS1,A2,q99.5,EVALUATED,-378.1689567025421,,0.08433402346445826,0.6526082772094423,0.003105590062111801,0.0015527950310559005,0.0,,0.0015527950310559005,availability_time_s
DS1,A3,q99,EVALUATED,-3238.9319622973853,,0.043783865141481,0.6684637209951203,0.0,0.0,0.0,,0.0,availability_time_s
DS1,A3,q99.5,EVALUATED,-3207.519015508078,,0.043783865141481,0.6684637209951203,0.0,0.0,0.0,,0.0,availability_time_s
DS1,Full,q99,EVALUATED,-3246.6999474626646,,0.043783865141481,0.6684637209951203,0.0,0.0,0.0,,0.0,availability_time_s
DS1,Full,q99.5,EVALUATED,-3238.9321218317637,,0.043783865141481,0.6684637209951203,0.0,0.0,0.0,,0.0,availability_time_s
