group,agg,scenario,feature_count,rows,pfa10_q90_normal_flag_rate,pfa5_q95_normal_flag_rate,pfa1_q99_normal_flag_rate,pfa0_5_q995_normal_flag_rate,pfa0_1_q999_normal_flag_rate,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,pfa10_q90_pre_fp_rate,pfa10_q90_post_det_rate,pfa10_q90_first_delay_s,pfa5_q95_pre_fp_rate,pfa5_q95_post_det_rate,pfa5_q95_first_delay_s,pfa1_q99_pre_fp_rate,pfa1_q99_post_det_rate,pfa1_q99_first_delay_s,pfa0_5_q995_pre_fp_rate,pfa0_5_q995_post_det_rate,pfa0_5_q995_first_delay_s,pfa0_1_q999_pre_fp_rate,pfa0_1_q999_post_det_rate,pfa0_1_q999_first_delay_s
doppler_only,score_mean,cleanStatic,2,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
doppler_only,score_mean,ds1,2,922,,,,,,179.0,703.0,0.5835962395797738,1.3775340242098595,1.5791967745532576,3.813414247088341,3.177285750830943,0.24022346368715083,0.24039829302987198,19.0,0.2122905027932961,0.2119487908961593,19.5,0.16201117318435754,0.1251778093883357,19.5,0.1340782122905028,0.001422475106685633,222.5,0.00558659217877095,0.0,
doppler_only,score_mean,ds2,2,913,,,,,,179.0,694.0,0.4728398241913931,1.400953661304311,1.3749803113756827,3.2077157899388413,3.015829516887851,0.21787709497206703,0.11095100864553314,49.0,0.16759776536312848,0.08357348703170028,49.5,0.09497206703910614,0.04610951008645533,51.0,0.03910614525139665,0.011527377521613832,76.5,0.0111731843575419,0.0,
doppler_only,score_mean,ds4,2,255,,,,,,179.0,36.0,0.20701427684667909,1.1987231762163224,0.9449275764727196,4.604649780599099,1.2854151311042192,0.09497206703910614,0.0,,0.0782122905027933,0.0,,0.0782122905027933,0.0,,0.0670391061452514,0.0,,0.01675977653631285,0.0,
doppler_only,score_top3,cleanStatic,2,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0,,,,,,,,,,,,,,,,,,,,,,
doppler_only,score_top3,ds1,2,922,,,,,,179.0,703.0,0.5819592011888395,3.1226557530756156,3.547291402916598,12.246035030891019,9.292613005730512,0.2346368715083799,0.2119487908961593,19.5,0.1787709497206704,0.19203413940256045,19.5,0.13966480446927373,0.10953058321479374,26.0,0.1340782122905028,0.0,,0.0,0.0,
doppler_only,score_top3,ds2,2,913,,,,,,179.0,694.0,0.4075716838665014,3.3644756358054786,2.9518426232471633,9.331636129126123,8.527568719373217,0.2011173184357542,0.07492795389048991,76.5,0.1564245810055866,0.04178674351585014,76.5,0.0782122905027933,0.008645533141210375,78.0,0.0446927374301676,0.0,,0.0,0.0,
doppler_only,score_top3,ds4,2,255,,,,,,179.0,36.0,0.1474239602731223,2.5445670782771557,1.7626374164114782,14.047988186297873,2.6752058476528884,0.08379888268156424,0.0,,0.0782122905027933,0.0,,0.0670391061452514,0.0,,0.0670391061452514,0.0,,0.0,0.0,
doppler_only,score_top5,cleanStatic,2,959,0.10010427528675704,0.05005213764337852,0.010427528675703858,0.005213764337851929,0.0010427528675703858,,,,,,,,,,,,,,,,,,,,,,
doppler_only,score_top5,ds1,2,922,,,,,,179.0,703.0,0.5944515524050955,2.2472201482260075,2.6120485302215366,7.785922934932368,6.240197865458455,0.2122905027932961,0.2361308677098151,19.5,0.17318435754189945,0.2147937411095306,19.5,0.1452513966480447,0.1379800853485064,19.5,0.1340782122905028,0.00995732574679943,26.5,0.00558659217877095,0.0,
doppler_only,score_top5,ds2,2,913,,,,,,179.0,694.0,0.4436752370679246,2.3729703737387022,2.260066654823969,6.363082850282774,5.639755811011626,0.21787709497206703,0.06628242074927954,76.5,0.1564245810055866,0.0446685878962536,76.5,0.1005586592178771,0.023054755043227664,76.5,0.0446927374301676,0.0,,0.0111731843575419,0.0,
doppler_only,score_top5,ds4,2,255,,,,,,179.0,36.0,0.15983860955927995,1.952357376292485,1.4177580690508833,8.845190757054002,2.0387325237526435,0.09497206703910614,0.0,,0.0782122905027933,0.0,,0.07262569832402235,0.0,,0.0670391061452514,0.0,,0.01675977653631285,0.0,
doppler_only,score_max,cleanStatic,2,959,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
doppler_only,score_max,ds1,2,922,,,,,,179.0,703.0,0.5591320517812726,3.9609599546698417,4.5662051599887805,20.0,20.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
