group,agg,scenario,feature_count,rows,pfa10_q90_normal_flag_rate,pfa5_q95_normal_flag_rate,pfa1_q99_normal_flag_rate,pfa0_5_q995_normal_flag_rate,pfa0_1_q999_normal_flag_rate,pre_windows_t_lt_90,post_windows_t_ge_110,auc_pre_vs_post_buffered,pre_score_median,post_score_median,pre_score_q95,post_score_q95,pfa10_q90_pre_fp_rate,pfa10_q90_post_det_rate,pfa10_q90_first_delay_s,pfa5_q95_pre_fp_rate,pfa5_q95_post_det_rate,pfa5_q95_first_delay_s,pfa1_q99_pre_fp_rate,pfa1_q99_post_det_rate,pfa1_q99_first_delay_s,pfa0_5_q995_pre_fp_rate,pfa0_5_q995_post_det_rate,pfa0_5_q995_first_delay_s,pfa0_1_q999_pre_fp_rate,pfa0_1_q999_post_det_rate,pfa0_1_q999_first_delay_s
full_no_raw_power,score_mean,ds4,57,255,,,,,,179.0,36.0,0.6464928615766604,2.3711508308820872,2.444257672248276,3.1738115848728468,2.530576058187837,0.664804469273743,0.8055555555555556,10.5,0.3575418994413408,0.7222222222222222,10.5,0.18994413407821228,0.3333333333333333,15.0,0.18435754189944134,0.16666666666666666,17.0,0.11731843575418995,0.0,
tap_cv_only,score_mean,ds4,9,255,,,,,,179.0,36.0,0.17256362507759157,1.1433370700155852,0.9028815033558355,1.6250816125792853,1.3676912574533122,0.0111731843575419,0.05555555555555555,13.5,0.0111731843575419,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0
tap_cv_only,score_top5,ds4,9,255,,,,,,179.0,36.0,0.1301986343885785,1.9660592949266136,1.36461290036276,2.931778460469366,2.1875994534871195,0.0111731843575419,0.027777777777777776,14.0,0.00558659217877095,0.027777777777777776,14.0,0.00558659217877095,0.027777777777777776,14.0,0.00558659217877095,0.027777777777777776,14.0,0.0,0.027777777777777776,14.0
tap_rel_prompt_only,score_mean,ds4,9,255,,,,,,179.0,36.0,0.9072004965859715,1.125149384776077,2.4642342927658323,1.966128538648345,2.672334590255285,0.027932960893854747,0.2777777777777778,15.0,0.0223463687150838,0.05555555555555555,15.5,0.0,0.0,,0.0,0.0,,0.0,0.0,
dmcpd_only,score_mean,ds4,25,255,,,,,,179.0,36.0,0.8876474239602731,1.1822543590303736,2.2688609463124925,1.858608180878757,2.4348631055495082,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_cv_only,score_mean,ds4,27,255,,,,,,179.0,36.0,0.8812849162011173,1.1630128490188307,1.9236522720855598,1.7081831529857792,2.0745417577122556,0.01675977653631285,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
morph_core_no_doppler_no_cn0_no_power,score_mean,ds4,63,255,,,,,,179.0,36.0,0.8761638733705773,1.1796965847256216,1.9961855207740025,1.8123502071036808,2.1342328430382564,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_sum_only,score_mean,ds4,9,255,,,,,,179.0,36.0,0.8730602110490379,1.0227344069237405,1.7827517964942508,1.4970521470214417,2.0362348602658638,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_prompt_only,score_top5,ds4,9,255,,,,,,179.0,36.0,0.8640595903165735,1.5688341441885219,3.4810079578248434,3.1525176290670687,3.7649304125272502,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
dmcpd_only,score_top5,ds4,25,255,,,,,,179.0,36.0,0.8547486033519553,1.762896226008414,3.1227825580270343,3.370000335394771,3.3437963137840265,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_prompt_only,score_top3,ds4,9,255,,,,,,179.0,36.0,0.8522656734947238,1.766803158718343,4.0916121709084745,4.522845617397182,4.4457349222051565,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_cv_only,score_top5,ds4,27,255,,,,,,179.0,36.0,0.8518001241464929,1.6876074299274548,2.5457714964133986,2.985442136696474,2.7583572680096764,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
morph_core_no_doppler_no_cn0_no_power,score_top5,ds4,63,255,,,,,,179.0,36.0,0.8508690254500311,1.7622779233184356,2.698968473006363,3.2609593232355953,2.8928931404018687,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_prompt_only,score_max,ds4,9,255,,,,,,179.0,36.0,0.835350713842334,2.0711647149304424,4.479408798995833,10.726926196683062,5.044721042155626,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,,0.0111731843575419,0.0,
peak_shape_only,score_mean,ds4,8,255,,,,,,179.0,36.0,0.8336436995654872,1.0969449962106284,1.491208558228465,1.7953192819488988,1.6052241334994433,0.01675977653631285,0.0,,0.0111731843575419,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_sum_only,score_top5,ds4,9,255,,,,,,179.0,36.0,0.8313159528243327,1.4443670572794125,2.3355029575796395,2.5244648716943323,2.759609530170547,0.01675977653631285,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
dmcpd_only,score_top3,ds4,25,255,,,,,,179.0,36.0,0.8258845437616388,2.197514158427987,3.6019537956595364,4.773433007864316,3.841615956114137,0.01675977653631285,0.0,,0.0111731843575419,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_sum_only,score_top3,ds4,9,255,,,,,,179.0,36.0,0.8089695841092489,1.691210438654721,2.75449990350891,3.6141127967651756,3.1315123491190304,0.01675977653631285,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
tap_rel_cv_only,score_top3,ds4,27,255,,,,,,179.0,36.0,0.8080384854127871,2.0301801964032844,2.866625871582942,4.03564708512124,3.1219506943542448,0.01675977653631285,0.0,,0.00558659217877095,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
