feature,pre_absz_median,post_absz_median,delta_post_minus_pre,post_absz_q95,pre_absz_q95
dmcpd_curvature_e1l1_mean,0.6676245055078349,3.0973189275635455,2.429694422055711,8.27067099177965,2.4068173762444474
dmcpd_pair1_sum_to_prompt_mean,0.6676245052054315,3.0973189255576936,2.429694420352262,8.270670984910103,2.406817374414892
tap_E_rel_prompt_mean,0.6579459967147145,2.5850222442822584,1.9270762475675438,6.759210174734613,2.543624852163235
dmcpd_second_side_to_prompt_mean,0.6690790735877158,2.557220291600971,1.888141218013255,6.53906619007191,2.361121235989945
tap_L_rel_prompt_mean,0.6701300350026559,2.4104230480111455,1.7402930130084897,6.5904313455048795,2.5962250642147495
dmcpd_width_variance_mean,0.6387730464010014,1.7139709290228289,1.0751978826218274,4.443314537115537,3.0436695984249846
dmcpd_pair2_sum_to_prompt_mean,0.6636421777621824,1.5420942872022976,0.8784521094401152,6.338836589252153,2.2654706186101863
dmcpd_max_side_to_prompt_mean,0.636965344899404,1.5134414738024473,0.8764761289030433,3.8999051696796756,3.0604331417105084
dmcpd_prompt_to_max_side_mean,0.6409734446326893,1.5062137039286083,0.865240259295919,3.8402065329586916,2.7956865943517064
peak_width_mean,0.6630467656339718,1.4741723014998824,0.8111255358659106,3.429490362881024,2.4127975257624055
tap_L_rel_sum_mean,0.6349815409423706,1.413095226524592,0.7781136855822214,2.9317485074168856,2.398487425419615
tap_E4_rel_sum_mean,0.6622711414477414,1.4237336410989898,0.7614624996512485,3.862958894016324,2.149323075282057
tap_E4_rel_prompt_mean,0.6666863757681415,1.42099269276256,0.7543063169944185,4.433049557031757,2.1299131117900525
tap_E3_rel_prompt_mean,0.6635609127192886,1.3683927112601726,0.704831798540884,5.315625772473772,2.293060754472412
tap_E2_rel_prompt_mean,0.6557994483433897,1.3514059887828855,0.6956065404394959,5.707427841213532,2.356237629668058
tap_E_rel_sum_mean,0.6361508235324619,1.3219664071321513,0.6858155835996894,3.0424953295265404,2.2635003674901055
tap_L2_rel_prompt_mean,0.6540654580785715,1.3372326778041697,0.6831672197255981,4.50220870779423,2.6236558899165727
