dataset,scenario,model,status,reason,valid_blocks,valid_prns,roc_auc,pauc_fpr_le_0p05,pr_auc,pre_onset_fpr,delay_s
TEXBAT,DS1,A0,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS1,A1,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS1,A2,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS1,A3,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS1,A4,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS1,Full,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS1,B0-static-retrained,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS3,A0,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS3,A1,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS3,A2,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS3,A3,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS3,A4,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS3,Full,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS3,B0-static-retrained,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
TEXBAT,DS7,A0,UNAVAILABLE,RETAINED_20MS_ROW_ACTION_MAPPING_INVALID_AND_NATIVE_1MS_DUMP_NOT_GENERATED,,,,,,,
