row_type,dataset,scenario,prn,block_start_s,block_end_s,valid_prn_count,pair_count,pairs_1ms,pairs_20ms,pre_onset_pairs_1ms,pre_onset_pairs_20ms,post_onset_pairs_1ms,post_onset_pairs_20ms
prn_summary,TEXBAT,cleanStatic,1,,,,15960,15960,0,,,,
prn_summary,TEXBAT,cleanStatic,3,,,,36300,12941,23359,,,,
prn_summary,TEXBAT,cleanStatic,6,,,,36302,12944,23358,,,,
prn_summary,TEXBAT,cleanStatic,7,,,,36229,12867,23362,,,,
prn_summary,TEXBAT,cleanStatic,8,,,,48876,45712,3164,,,,
prn_summary,TEXBAT,cleanStatic,10,,,,35569,12211,23358,,,,
prn_summary,TEXBAT,cleanStatic,11,,,,29419,27397,2022,,,,
prn_summary,TEXBAT,cleanStatic,12,,,,15960,15960,0,,,,
prn_summary,TEXBAT,cleanStatic,13,,,,36257,12898,23359,,,,
prn_summary,TEXBAT,cleanStatic,16,,,,36259,12901,23358,,,,
prn_summary,TEXBAT,cleanStatic,18,,,,15960,15960,0,,,,
prn_summary,TEXBAT,cleanStatic,19,,,,36260,12902,23358,,,,
prn_summary,TEXBAT,cleanStatic,20,,,,38492,15520,22972,,,,
prn_summary,TEXBAT,cleanStatic,23,,,,36138,12775,23363,,,,
prn_summary,TEXBAT,cleanStatic,24,,,,15959,15959,0,,,,
prn_summary,TEXBAT,cleanStatic,25,,,,15960,15960,0,,,,
prn_summary,TEXBAT,cleanStatic,29,,,,15960,15960,0,,,,
prn_summary,TEXBAT,cleanStatic,30,,,,35797,12533,23264,,,,
prn_summary,TEXBAT,cleanStatic,31,,,,15960,15960,0,,,,
block_support,TEXBAT,cleanStatic,,12.5,13.0,2,7,,,,,,
block_support,TEXBAT,cleanStatic,,13.0,13.5,8,194,,,,,,
block_support,TEXBAT,cleanStatic,,13.5,14.0,8,200,,,,,,
block_support,TEXBAT,cleanStatic,,14.0,14.5,8,200,,,,,,
block_support,TEXBAT,cleanStatic,,14.5,15.0,9,205,,,,,,
block_support,TEXBAT,cleanStatic,,15.0,15.5,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,15.5,16.0,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,16.0,16.5,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,16.5,17.0,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,17.0,17.5,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,17.5,18.0,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,18.0,18.5,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,18.5,19.0,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,19.0,19.5,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,19.5,20.0,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,20.0,20.5,9,225,,,,,,
block_support,TEXBAT,cleanStatic,,20.5,21.0,10,238,,,,,,
block_support,TEXBAT,cleanStatic,,21.0,21.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,21.5,22.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,22.0,22.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,22.5,23.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,23.0,23.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,23.5,24.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,24.0,24.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,24.5,25.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,25.0,25.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,25.5,26.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,26.0,26.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,26.5,27.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,27.0,27.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,27.5,28.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,28.0,28.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,28.5,29.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,29.0,29.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,29.5,30.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,30.0,30.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,30.5,31.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,31.0,31.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,31.5,32.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,32.0,32.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,32.5,33.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,33.0,33.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,33.5,34.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,34.0,34.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,34.5,35.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,35.0,35.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,35.5,36.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,36.0,36.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,36.5,37.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,37.0,37.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,37.5,38.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,38.0,38.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,38.5,39.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,39.0,39.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,39.5,40.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,40.0,40.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,40.5,41.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,41.0,41.5,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,41.5,42.0,10,250,,,,,,
block_support,TEXBAT,cleanStatic,,42.0,42.5,10,250,,,,,,
