dataset,scenario,channel,prn,time_s,dt_s,cadence,reason
TEXBAT,cleanStatic,0,30,14.87257448,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,0,30,14.89257452,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,1,19,12.98557356,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,1,19,13.00557352,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,2,11,268.11810504,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,2,11,268.13810504,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,2,11,308.55805364,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,2,8,338.85893088,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,2,8,416.87672332,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,2,8,416.89672332,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,3,3,12.98156284,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,3,3,13.00156284,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,4,20,20.71128464,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,4,20,20.73128468,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,5,16,12.98522628,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,5,16,13.00522632,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,6,6,12.98464592,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,6,6,13.00464596,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,7,7,12.90724236,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,7,7,12.92724232,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,8,13,12.98071844,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,8,13,13.00071844,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,9,23,12.8986048,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,9,23,12.91860484,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,10,10,12.99139044,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,cleanStatic,10,10,13.0113904,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,0,23,12.35614784,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,0,23,12.37614788,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,1,16,12.36277212,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,1,16,12.38277216,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,2,30,18.19012928,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,2,30,18.21012932,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,3,3,12.3591044,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,3,3,12.3791044,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,4,20,13.70881868,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,4,20,13.72881872,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,5,19,12.36311292,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,5,19,12.38311292,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,6,6,12.36218908,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,6,6,12.38218908,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,7,7,12.36478256,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,7,7,12.38478252,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,8,8,287.79443956,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,8,8,287.81443952,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,9,13,12.35825876,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,9,13,12.37825872,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,10,10,12.36893216,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS1,10,10,12.38893216,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,0,16,33.80194636,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,0,16,33.8219464,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,1,30,18.48926596,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,1,30,18.509266,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,1,30,198.7296468,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,1,9,218.92697912,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,1,30,250.22975616,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,1,30,250.2497562,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,2,8,76.41386556,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,2,8,76.43386552,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,2,8,176.49372916,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,2,10,186.45400376,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,2,10,198.668,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,2,10,198.688,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,3,3,12.65824108,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,3,3,12.67824104,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,4,19,32.42221676,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,4,19,32.44221672,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,5,23,12.65528448,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,5,23,12.67528452,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,6,6,12.66132572,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,6,6,12.68132572,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,6,6,180.66138656,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,6,6,180.68138656,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,7,12.6639192,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,7,12.68391916,0.01999996,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,7,124.88378748,0.02,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,24,126.13309532,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,32,156.67243636,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,32,156.6924364,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,32,179.15247964,0.02000004,approximately_20_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,20,179.25926684,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
TEXBAT,DS3,7,20,192.668292,0.001,approximately_1_ms,adjacent_to_1ms_20ms_transition
