repetition,dataset,channel,prn,record_count,first_raw_interval_start_sample,last_raw_interval_end_sample,tracking_session_ids
rep1,TEXBAT.cleanStatic,0,19,44915,2089879,1124963011,1
rep1,TEXBAT.cleanStatic,1,17,15961,142316430,541341096,1
rep1,TEXBAT.cleanStatic,2,3,44958,1014233,1124963682,1
rep1,TEXBAT.cleanStatic,3,30,20210,619714885,1124965952,1
rep1,TEXBAT.cleanStatic,4,13,44918,2018342,1124967029,1
rep1,TEXBAT.cleanStatic,5,6,44959,991044,1124966415,1
rep1,TEXBAT.cleanStatic,6,7,44958,1006440,1124955115,1
rep1,TEXBAT.cleanStatic,7,20,42503,61081256,1124958261,1;2
rep1,TEXBAT.cleanStatic,8,10,44708,7259892,1124959439,1
rep1,TEXBAT.cleanStatic,9,23,44876,3065036,1124965343,1
rep1,TEXBAT.cleanStatic,10,16,44917,2030083,1124957081,1
rep2,TEXBAT.cleanStatic,0,19,44915,2064879,1124938011,1
rep2,TEXBAT.cleanStatic,1,16,44917,2030083,1124957081,1
rep2,TEXBAT.cleanStatic,2,3,44959,989233,1124963682,1
rep2,TEXBAT.cleanStatic,3,10,44245,18834887,1124959439,1
rep2,TEXBAT.cleanStatic,4,24,734,1106600165,1124950140,1
rep2,TEXBAT.cleanStatic,5,6,44958,991044,1124941415,1
rep2,TEXBAT.cleanStatic,6,7,44958,1006440,1124955115,1
rep2,TEXBAT.cleanStatic,7,30,32061,322489257,1124015950,1
rep2,TEXBAT.cleanStatic,8,13,44916,2068342,1124967029,1
rep2,TEXBAT.cleanStatic,9,20,43406,39806215,1124958261,1
rep2,TEXBAT.cleanStatic,10,23,44875,3090036,1124965343,1
