channel,prn,first_raw_interval_start_sample,carrier_doppler_hz,source_first_absolute_raw_sample,code_epoch_residue_samples,code_phase_convention,carrier_phase_convention,acquisition_sample_stamp,acquisition_metric
0,27,150003722,-2300.0,451088722,3722,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
1,21,150000897,-2800.0,450625897,897,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
2,18,150004877,-3700.0,450429877,4877,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
3,20,150002952,-1000.0,450627952,2952,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
4,24,150001382,-2200.0,450626382,1382,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
5,25,150001913,3100.0,450846913,1913,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
6,14,150004024,2200.0,450414024,4024,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
7,8,150002208,-1100.0,450207208,2208,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
8,15,150001999,-3200.0,450416999,1999,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
9,10,150000107,1100.0,450210107,107,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
10,11,150001197,2100.0,450206197,1197,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
