channel,prn,first_raw_interval_start_sample,carrier_doppler_hz,source_first_absolute_raw_sample,code_epoch_residue_samples,code_phase_convention,carrier_phase_convention,acquisition_sample_stamp,acquisition_metric
0,19,750014879,2600.0,2089879,14879,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
1,17,750016430,1600.0,142316430,16430,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
2,3,750014233,900.0,1014233,14233,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
3,30,750014885,-3300.0,619714885,14885,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
4,13,750018342,1800.0,2018342,18342,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
5,6,750016044,-500.0,991044,16044,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
6,7,750006440,1900.0,1006440,6440,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
7,20,750006256,-2800.0,61081256,6256,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
8,10,750009892,600.0,7259892,9892,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
9,23,750015036,-400.0,3065036,15036,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
10,16,750005083,-2800.0,2030083,5083,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
